phase,n,raw_brier,cal_brier,raw_logloss,cal_logloss,version
pp,43551,0.17379287202767926,0.17039679346526224,0.5189705921537339,0.5075945362251159,v14_original
mid,62736,0.1336427454990589,0.13327265104325645,0.4080393476611622,0.40689954953403307,v14_original
death,20972,0.07999875463999809,0.07790017796364769,0.25731062889761563,0.24740117900242706,v14_original
overall,127259,0.13854264557804521,0.13685213871167456,0.42116285121679975,0.41507474766221664,v14_original
pp,43551,0.17314402564374098,0.16997862625479096,0.5179530595694238,0.5070483639801059,v15_add_context_resource
mid,62736,0.13336482875345135,0.1329862623187005,0.4072323041090939,0.40605763020395974,v15_add_context_resource
death,20972,0.07992548569204817,0.07777038105295846,0.25683643249788785,0.24666230986758056,v15_add_context_resource
overall,127259,0.13817151355441049,0.13654645829600295,0.4203386258751192,0.4143510223301779,v15_add_context_resource
pp,43551,0.17313734728803196,0.1699058950005834,0.518201135008436,0.5068982623535159,v15_replace_resource
mid,62736,0.1336723071132841,0.1332660016763644,0.4079131809512457,0.40666904506135954,v15_replace_resource
death,20972,0.07999875463999809,0.07790017796364769,0.25731062889761563,0.24740117900242706,v15_replace_resource
overall,127259,0.13833288296395627,0.13668086380210773,0.4208373274986488,0.41472283265440024,v15_replace_resource
