bucket,n,mean_pred,actual_wr,cal_error,version,phase
50-60,707,0.5524475845313634,0.5643564356435643,0.011908851112200858,v14_original,pp
60-70,501,0.6432818333616256,0.720558882235529,0.07727704887390341,v14_original,pp
70-80,1008,0.7502231666420275,0.8680555555555556,0.1178323889135281,v14_original,pp
80+,1265,0.9204313234895679,0.9233201581027668,0.0028888346131988873,v14_original,pp
50-60,536,0.5544502683728523,0.5783582089552238,0.023907940582371556,v14_original,mid
60-70,659,0.653624837607827,0.6995447647951442,0.04591992718731719,v14_original,mid
70-80,876,0.7537987559647261,0.8915525114155252,0.13775375545079904,v14_original,mid
80+,2979,0.9288769850121025,0.9442766028868748,0.015399617874772287,v14_original,mid
50-60,93,0.5598685789056431,0.5698924731182796,0.010023894212636497,v14_original,death
60-70,139,0.6545423312898498,0.841726618705036,0.1871842874151861,v14_original,death
70-80,81,0.7378818310908642,0.8395061728395061,0.10162434174864188,v14_original,death
80+,1203,0.9673063510663318,0.9600997506234414,0.007206600442890343,v14_original,death
50-60,1336,0.5537676376869367,0.5703592814371258,0.016591643750189067,v14_original,overall
60-70,1299,0.6497339111216486,0.7228637413394919,0.07312983021784336,v14_original,overall
70-80,1965,0.7513084430120222,0.87735368956743,0.12604524655540783,v14_original,overall
80+,5447,0.9354029195700667,0.9429043510189095,0.007501431448842744,v14_original,overall
50-60,701,0.5477381032528558,0.5848787446504993,0.037140641397643503,v15_add_context_resource,pp
60-70,474,0.6460396538144133,0.7130801687763713,0.06704051496195795,v15_add_context_resource,pp
70-80,935,0.7469992634539007,0.8470588235294118,0.10005956007551109,v15_add_context_resource,pp
80+,1371,0.9122804897819378,0.925601750547046,0.0133212607651082,v15_add_context_resource,pp
50-60,553,0.5544337087225336,0.569620253164557,0.015186544442023386,v15_add_context_resource,mid
60-70,674,0.6549788488476862,0.7106824925816023,0.05570364373391612,v15_add_context_resource,mid
70-80,850,0.7534497219363548,0.888235294117647,0.13478557218129217,v15_add_context_resource,mid
80+,2973,0.9292586832226417,0.9441641439623276,0.014905460739685905,v15_add_context_resource,mid
50-60,101,0.5598145893182802,0.6138613861386139,0.05404679682033364,v15_add_context_resource,death
60-70,133,0.653868580605591,0.8646616541353384,0.2107930735297473,v15_add_context_resource,death
70-80,79,0.7513665670205419,0.8354430379746836,0.08407647095414161,v15_add_context_resource,death
80+,1203,0.9682245803135836,0.9600997506234414,0.008124829690142166,v15_add_context_resource,death
50-60,1355,0.5513708670294903,0.5808118081180812,0.029440941088590855,v15_add_context_resource,overall
60-70,1281,0.6515558635846339,0.7275565964090555,0.07600073282442155,v15_add_context_resource,overall
70-80,1864,0.7501258228379408,0.865343347639485,0.11521752480154412,v15_add_context_resource,overall
80+,5547,0.9335130316980694,0.9430322696953308,0.009519237997261398,v15_add_context_resource,overall
50-60,667,0.5494282946129805,0.553223388305847,0.003795093692866569,v15_replace_resource,pp
60-70,583,0.6483246790496346,0.725557461406518,0.07723278235688336,v15_replace_resource,pp
70-80,995,0.7581227472451001,0.8603015075376884,0.10217876029258832,v15_replace_resource,pp
80+,1236,0.925935649773065,0.9288025889967637,0.002866939223698739,v15_replace_resource,pp
50-60,557,0.5534692723504949,0.5960502692998204,0.04258099694932549,v15_replace_resource,mid
60-70,656,0.6524702138365931,0.6859756097560976,0.03350539591950452,v15_replace_resource,mid
70-80,860,0.7532969144357112,0.8848837209302326,0.13158680649452137,v15_replace_resource,mid
80+,2977,0.9306354485735204,0.9442391669465905,0.013603718373070062,v15_replace_resource,mid
50-60,93,0.5598685789056431,0.5698924731182796,0.010023894212636497,v15_replace_resource,death
60-70,139,0.6545423312898498,0.841726618705036,0.1871842874151861,v15_replace_resource,death
70-80,81,0.7378818310908642,0.8395061728395061,0.10162434174864188,v15_replace_resource,death
80+,1203,0.9673063510663318,0.9600997506234414,0.007206600442890343,v15_replace_resource,death
50-60,1317,0.5518745900108645,0.5725132877752468,0.02063869776438232,v15_replace_resource,overall
60-70,1378,0.6509253499361619,0.7184325108853411,0.06750716094917919,v15_replace_resource,overall
70-80,1936,0.7551321840092697,0.8703512396694215,0.11521905566015178,v15_replace_resource,overall
80+,5416,0.937708222646912,0.9442392909896603,0.006531068342748303,v15_replace_resource,overall
