phase,n,raw_brier,cal_brier,raw_logloss,cal_logloss,version
pp,3481,0.14039937433960914,0.14382286331547456,0.4482440233201106,0.49928495134254086,v14_original
mid,5050,0.10268284345929343,0.10369643442532964,0.33494836112386844,0.33743639485447835,v14_original
death,1516,0.06377339959316633,0.06493365551031245,0.2077752367352594,0.2101839796801359,v14_original
overall,10047,0.10987947201441736,0.11175015455386834,0.355012832461779,0.37431110011282837,v14_original
pp,3481,0.14136619623487715,0.14314794951391258,0.4531200669653505,0.5010158562266651,v15_add_context_resource
mid,5050,0.10367030316570693,0.10458694472933122,0.3383083642938852,0.34030000142513495,v15_add_context_resource
death,1516,0.0636111980271733,0.06448459273487148,0.2078036317057252,0.20931606952880583,v15_add_context_resource
overall,10047,0.1106863079814494,0.11189616061780804,0.3583953915055624,0.37621920614388604,v15_add_context_resource
pp,3481,0.14289578665860583,0.14434338338525066,0.45540046426751835,0.5037310085826169,v15_replace_resource
mid,5050,0.10409067985843448,0.10497816198666424,0.33984116981659385,0.34156615602105,v15_replace_resource
death,1516,0.06377339959316633,0.06493365551031245,0.2077752367352594,0.2101839796801359,v15_replace_resource
overall,10047,0.11145203945724506,0.1125747444361845,0.35995164552400555,0.3779273058602048,v15_replace_resource
