phase,n,raw_brier,cal_brier,raw_logloss,cal_logloss,version
pp,43551,0.17379287202767926,0.17039679346526224,0.5189705921537339,0.5075945362251159,v14_original
mid,62736,0.1336427454990589,0.13327265104325645,0.4080393476611622,0.40689954953403307,v14_original
death,20972,0.07999875463999809,0.07790017796364769,0.25731062889761563,0.24740117900242706,v14_original
overall,127259,0.13854264557804521,0.13685213871167456,0.42116285121679975,0.41507474766221664,v14_original
pp,43551,0.17205482784839538,0.16900675237145701,0.5148222345292739,0.504321446081717,v16_A_add_interaction_prob
mid,62736,0.13347772344222653,0.13309382065879286,0.40733135339195065,0.4061575877872291,v16_A_add_interaction_prob
death,20972,0.08006142792263778,0.07787536520179449,0.2571932943896319,0.24699009369523398,v16_A_add_interaction_prob
overall,127259,0.1378768223221191,0.13628418551451282,0.41937482372422535,0.4135211024029807,v16_A_add_interaction_prob
pp,43551,0.1737602420714921,0.17055727765840917,0.5193251775778437,0.5083686005401097,v16_B_replace_resource
mid,62736,0.13415086370808862,0.13372252854192762,0.408855711144329,0.40761728264225816,v16_B_replace_resource
death,20972,0.07999875463999809,0.07790017796364769,0.25731062889761563,0.24740117900242706,v16_B_replace_resource
overall,127259,0.1387819703938915,0.13712884025618124,0.4216866485850439,0.4156934778051526,v16_B_replace_resource
pp,43551,0.17146623052493257,0.1685289073953913,0.5138821356732098,0.5034422992024505,v16_C_both_plus_regimes
mid,62736,0.133311855248024,0.13292264698211465,0.406934752223089,0.40573808903441266,v16_C_both_plus_regimes
death,20972,0.0800773943407193,0.07802287298077577,0.25796923529853527,0.24798205630984285,v16_C_both_plus_regimes
overall,127259,0.1375962522929218,0.1360605797562409,0.41898545728673464,0.413176907025506,v16_C_both_plus_regimes
