bucket,n,mean_pred,actual_wr,cal_error,version,phase
50-60,707,0.5524475845313634,0.5643564356435643,0.011908851112200858,v14_original,pp
60-70,501,0.6432818333616256,0.720558882235529,0.07727704887390341,v14_original,pp
70-80,1008,0.7502231666420275,0.8680555555555556,0.1178323889135281,v14_original,pp
80+,1265,0.9204313234895679,0.9233201581027668,0.0028888346131988873,v14_original,pp
50-60,536,0.5544502683728523,0.5783582089552238,0.023907940582371556,v14_original,mid
60-70,659,0.653624837607827,0.6995447647951442,0.04591992718731719,v14_original,mid
70-80,876,0.7537987559647261,0.8915525114155252,0.13775375545079904,v14_original,mid
80+,2979,0.9288769850121025,0.9442766028868748,0.015399617874772287,v14_original,mid
50-60,93,0.5598685789056431,0.5698924731182796,0.010023894212636497,v14_original,death
60-70,139,0.6545423312898498,0.841726618705036,0.1871842874151861,v14_original,death
70-80,81,0.7378818310908642,0.8395061728395061,0.10162434174864188,v14_original,death
80+,1203,0.9673063510663318,0.9600997506234414,0.007206600442890343,v14_original,death
50-60,1336,0.5537676376869367,0.5703592814371258,0.016591643750189067,v14_original,overall
60-70,1299,0.6497339111216486,0.7228637413394919,0.07312983021784336,v14_original,overall
70-80,1965,0.7513084430120222,0.87735368956743,0.12604524655540783,v14_original,overall
80+,5447,0.9354029195700667,0.9429043510189095,0.007501431448842744,v14_original,overall
50-60,610,0.5442403626422093,0.6081967213114754,0.06395635866926608,v16_A_add_interaction_prob,pp
60-70,522,0.6346319788908402,0.6954022988505747,0.060770319959734476,v16_A_add_interaction_prob,pp
70-80,1044,0.7470003851206102,0.8371647509578544,0.09016436583724419,v16_A_add_interaction_prob,pp
80+,1305,0.9203137157442569,0.9233716475095786,0.003057931765321653,v16_A_add_interaction_prob,pp
50-60,547,0.5527580660135639,0.6069469835466179,0.05418891753305399,v16_A_add_interaction_prob,mid
60-70,690,0.6538260082071533,0.6855072463768116,0.03168123816965829,v16_A_add_interaction_prob,mid
70-80,859,0.7520431463196137,0.8719441210710128,0.11990097475139916,v16_A_add_interaction_prob,mid
80+,2954,0.9292204554412771,0.9461746784021665,0.016954222960889442,v16_A_add_interaction_prob,mid
50-60,89,0.5535937059634338,0.651685393258427,0.09809168729499318,v16_A_add_interaction_prob,death
60-70,151,0.6481316010493713,0.8211920529801324,0.17306045193076114,v16_A_add_interaction_prob,death
70-80,65,0.739881545627523,0.8615384615384616,0.12165691591093863,v16_A_add_interaction_prob,death
80+,1211,0.9677104653724651,0.9595375722543352,0.008172893118129854,v16_A_add_interaction_prob,death
50-60,1246,0.5486477713899781,0.6107544141252006,0.062106642735222484,v16_A_add_interaction_prob,overall
60-70,1363,0.6458442482776299,0.7043286867204696,0.05848443844283968,v16_A_add_interaction_prob,overall
70-80,1968,0.7489663441159827,0.853150406504065,0.10418406238808231,v16_A_add_interaction_prob,overall
80+,5470,0.9356168186445781,0.9436928702010969,0.008076051556518804,v16_A_add_interaction_prob,overall
50-60,702,0.550902939320932,0.5712250712250713,0.02032213190413923,v16_B_replace_resource,pp
60-70,517,0.6464928341501802,0.7137330754352031,0.06724024128502293,v16_B_replace_resource,pp
70-80,1006,0.7512589618248703,0.8648111332007953,0.11355217137592499,v16_B_replace_resource,pp
80+,1256,0.9258278525304499,0.9243630573248408,0.0014647952056090485,v16_B_replace_resource,pp
50-60,518,0.5525056606216908,0.6003861003861004,0.04788043976440959,v16_B_replace_resource,mid
60-70,670,0.6529543117383491,0.6791044776119403,0.026150165873591202,v16_B_replace_resource,mid
70-80,849,0.7519163105853525,0.872791519434629,0.1208752088492765,v16_B_replace_resource,mid
80+,3013,0.9279411265398407,0.9452373050116163,0.01729617847177556,v16_B_replace_resource,mid
50-60,93,0.5598685789056431,0.5698924731182796,0.010023894212636497,v16_B_replace_resource,death
60-70,139,0.6545423312898498,0.841726618705036,0.1871842874151861,v16_B_replace_resource,death
70-80,81,0.7378818310908642,0.8395061728395061,0.10162434174864188,v16_B_replace_resource,death
80+,1203,0.9673063510663318,0.9600997506234414,0.007206600442890343,v16_B_replace_resource,death
50-60,1313,0.552170276803926,0.5826351865955827,0.030464909791656614,v16_B_replace_resource,overall
