phase,n,raw_brier,cal_brier,raw_logloss,cal_logloss,version
pp,3481,0.14039937433960914,0.14382286331547456,0.4482440233201106,0.49928495134254086,v14_original
mid,5050,0.10268284345929343,0.10369643442532964,0.33494836112386844,0.33743639485447835,v14_original
death,1516,0.06377339959316633,0.06493365551031245,0.2077752367352594,0.2101839796801359,v14_original
overall,10047,0.10987947201441736,0.11175015455386834,0.355012832461779,0.37431110011282837,v14_original
pp,3481,0.14381188625521532,0.14579910421895428,0.4591802089709087,0.5059905667093659,v16_A_add_interaction_prob
mid,5050,0.105012433127554,0.10593789379471553,0.3414297087485721,0.34348308173200176,v16_A_add_interaction_prob
death,1516,0.06366648071167003,0.0647562803091112,0.20869667780490375,0.21137968896262077,v16_A_add_interaction_prob
overall,10047,0.11221661671219707,0.11353474334608399,0.3621987160505879,0.37985411903346716,v16_A_add_interaction_prob
pp,3481,0.14143211335039263,0.1440028040958775,0.45161769559578974,0.5158095229015264,v16_B_replace_resource
mid,5050,0.1041374469163057,0.1050159320338596,0.3387878111641124,0.34076003883550776,v16_B_replace_resource
death,1516,0.06377339959316633,0.06493365551031245,0.2077752367352594,0.2101839796801359,v16_B_replace_resource
overall,10047,0.11096842513021804,0.11247572803646601,0.35811156600361954,0.38170698303320527,v16_B_replace_resource
pp,3481,0.14392077653403554,0.14445454665792118,0.45631622408943295,0.4984097939845708,v16_C_both_plus_regimes
mid,5050,0.10518418147261463,0.10585449387865736,0.3408479132091916,0.34243111195640774,v16_C_both_plus_regimes
death,1516,0.0634463135544885,0.06512672796001993,0.20885475326712216,0.21274943176388625,v16_C_both_plus_regimes
overall,10047,0.11230745007467764,0.11308286957209449,0.3609378464929522,0.3769055187413359,v16_C_both_plus_regimes
