method,segment,brier,ece,logloss,n_samples
raw,overall,0.18503162710865256,0.010416002892910566,0.5402875308843383,278954
raw,innings_1,0.22248819850148221,0.017475974788822953,0.6345025368571136,144340
raw,innings_2,0.14486877989483354,0.015401394089566804,0.43926539379525115,134614
raw,inn1_powerplay,0.24056295647429604,0.010730090763592078,0.6739282622167396,36260
raw,inn1_middle,0.220486804505349,0.016643669939386978,0.6304013849135189,64842
raw,inn1_death,0.2103318468062845,0.03278803385600134,0.6075898695918959,43238
raw,inn2_powerplay,0.187043070164807,0.010246294863268538,0.5512989767229356,36276
raw,inn2_middle,0.14785293710158348,0.020594883121183773,0.44943238985373835,63812
raw,inn2_death,0.09504141519835309,0.036218996096192634,0.3027622771072808,34526
combined,overall,0.184668286798433,9.388901490001847e-18,0.5385211894484914,278954
combined,innings_1,0.22196678843173195,0.01150719896627601,0.6330702711991347,144340
combined,innings_2,0.14467493004690368,0.012338605930975095,0.43714083926286523,134614
combined,inn1_powerplay,0.24016534672889941,0.009094837747558326,0.673013455159586,36260
combined,inn1_middle,0.2200618472021335,0.013790401702940276,0.629252921365263,64842
combined,inn1_death,0.20956197034010726,0.028343883708964523,0.6052980511038929,43238
combined,inn2_powerplay,0.18691148884674816,0.014203430966342101,0.551412836131333,36276
combined,inn2_middle,0.14763061422914459,0.01448495426124417,0.44728021168683896,63812
combined,inn2_death,0.09483476535767485,0.027500195048780148,0.2983369062408199,34526
innings_specific,overall,0.18424096068913048,1.509236910630805e-17,0.537296409336334,278954
innings_specific,innings_1,0.22158023743893238,9.701183246560058e-18,0.631832429379369,144340
innings_specific,innings_2,0.14420388277697865,1.2214482145021e-17,0.43593006458013006,134614
innings_specific,inn1_powerplay,0.24000354157735357,0.002966461394904533,0.6726516787847655,36260
innings_specific,inn1_middle,0.2200107111997373,0.014160707919611906,0.6288106131573923,64842
innings_specific,inn1_death,0.2084839381730721,0.02000081022732574,0.602132503944005,43238
innings_specific,inn2_powerplay,0.18693391794960815,0.01426881138790133,0.5511871719852459,36276
innings_specific,inn2_middle,0.14696203595824475,0.010457144755175079,0.4456956617931614,63812
innings_specific,inn2_death,0.09421031193977601,0.025740602968082758,0.29678191195353154,34526
innings_phase,overall,0.18342910126690176,6.2047423424314366e-18,0.535044109206092,278954
innings_phase,innings_1,0.220777100297871,1.1205347382346071e-17,0.6299076235294467,144340
innings_phase,innings_2,0.14338267087979417,9.036325025112936e-18,0.4333266083708667,134614
innings_phase,inn1_powerplay,0.239620658466236,6.288635727253154e-17,0.6717138697419012,36260
innings_phase,inn1_middle,0.2193360071812083,4.0750297625117554e-19,0.6271254766909357,64842
innings_phase,inn1_death,0.20713576491431304,8.21091746537029e-17,0.5990205676443259,43238
innings_phase,inn2_powerplay,0.18619078192665903,4.2641794580720883e-17,0.5483755440932522,36276
innings_phase,inn2_middle,0.14662730109398153,3.9749992859667386e-17,0.44463450813120875,63812
innings_phase,inn2_death,0.09240794517847364,6.725055546907944e-17,0.29154664857905177,34526
brier_optimized,overall,0.18170573647680294,0.0,0.5301106487128042,278954
brier_optimized,innings_1,0.21903010417354135,0.0,0.6255535712827011,144340
brier_optimized,innings_2,0.14168464481213786,0.0,0.4277718767890897,134614
brier_optimized,inn1_powerplay,0.23839107751600014,6.869543237862662e-17,0.669031091933318,36260
brier_optimized,inn1_middle,0.2172068372771472,1.4313970090167343e-18,0.6217677820902813,64842
brier_optimized,inn1_death,0.20552798517401394,1.6730504816830945e-17,0.5947700763019784,43238
brier_optimized,inn2_powerplay,0.18476816621011094,0.0,0.5440296748577023,36276
brier_optimized,inn2_middle,0.14464809131173403,6.69227240052132e-18,0.43792790410266386,63812
brier_optimized,inn2_death,0.09094024145625815,1.0450746770641716e-17,0.28685070730317214,34526
ece_optimized,overall,0.1840156907403313,0.0018202139448714257,0.5370799183356888,278954
ece_optimized,innings_1,0.22145170615858584,0.003137311237951672,0.6317767861625031,144340
ece_optimized,innings_2,0.14387488469139986,0.0037811727312986,0.4355411043778361,134614
ece_optimized,inn1_powerplay,0.24025465121083273,0.002390242924902386,0.6731774180733662,36260
ece_optimized,inn1_middle,0.21995704776597402,0.0036134379424999836,0.6289440300797497,64842
ece_optimized,inn1_death,0.2079247588413941,0.0070166243582160115,0.6013057804922594,43238
ece_optimized,inn2_powerplay,0.1867910363461221,0.005399439830664431,0.550528295123155,36276
ece_optimized,inn2_middle,0.1470858676319571,0.004853769456882027,0.44691383854262656,63812
ece_optimized,inn2_death,0.09284883009980102,0.005712608071966276,0.2937061902840867,34526
logloss_optimized,overall,0.1852274544822353,0.016355325278784937,0.5428988557884403,278954
logloss_optimized,innings_1,0.22210151872117895,0.009610331108157451,0.6338042225490224,144340
logloss_optimized,innings_2,0.14568920116349338,0.027194787869198645,0.4454254827498081,134614
logloss_optimized,inn1_powerplay,0.24030434875112214,0.00553876083213969,0.6733106176612397,36260
logloss_optimized,inn1_middle,0.22038106673324145,0.011220076255101226,0.6303321224967688,64842
logloss_optimized,inn1_death,0.2094164484338415,0.022801402203304882,0.6058805448770493,43238
logloss_optimized,inn2_powerplay,0.18759943323181444,0.019280949683308412,0.5536303373902455,36276
logloss_optimized,inn2_middle,0.1489727635262315,0.034490852890351975,0.4568549995422144,63812
logloss_optimized,inn2_death,0.09558590915163387,0.030156607574162445,0.31061172985362756,34526
resource_win_prob,overall,0.21134371255338036,0.11329922122769286,0.6154347627477083,278954
resource_win_prob,innings_1,0.25069458446133674,0.1336357256531607,0.7086291127563014,144340
resource_win_prob,innings_2,0.16914969966323204,0.09161532506654656,0.5155070250663355,134614
resource_win_prob,inn1_powerplay,0.24509665155766083,0.03600730874217427,0.683639051047569,36260
resource_win_prob,inn1_middle,0.2676938621603181,0.18946531236660247,0.756465441810019,64842
resource_win_prob,inn1_death,0.2298960711751056,0.13241436203246626,0.657848234571776,43238
