method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,24341,0.04271418066213877,0.03114087342344193,0.011573307238696841,0.029355893184483624
raw,0.1-0.2,0.1,0.2,20013,0.15216289462237553,0.17478638884724929,0.022623494224873753,0.14461942632002986
raw,0.2-0.3,0.2,0.30000000000000004,24670,0.25275799974794877,0.26992298338062426,0.01716498363267549,0.1963832722151228
raw,0.3-0.4,0.30000000000000004,0.4,35107,0.35369743666173387,0.35651009770131314,0.0028126610395792784,0.22857307624925052
raw,0.4-0.5,0.4,0.5,44957,0.4505208202061374,0.4641323931757012,0.013611572969563834,0.24831425126016407
raw,0.5-0.6,0.5,0.6000000000000001,37823,0.547615175646624,0.5386933876212886,0.008921788025335387,0.24797548863615873
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,28046,0.6479608142359145,0.6388076731084646,0.009153141127449804,0.22987542645320447
raw,0.7-0.8,0.7000000000000001,0.8,22347,0.7477219343565699,0.728509419608896,0.019212514747673826,0.19716204425939113
raw,0.8-0.9,0.8,0.9,18739,0.8492419627865917,0.8349965312983617,0.014245431488229987,0.1369361874408931
raw,0.9-1.0,0.9,1.0,22911,0.9465211949763394,0.9585352014316267,0.012014006455287385,0.039022553924331585
combined,0.0-0.1,0.0,0.1,23997,0.029753719214901858,0.02975371921490186,3.469446951953614e-18,0.027874086096995394
combined,0.1-0.2,0.1,0.2,19659,0.17284704206724655,0.17284704206724655,0.0,0.1425364500772936
combined,0.2-0.3,0.2,0.30000000000000004,17608,0.2521013175829169,0.2521013175829169,0.0,0.18753770314532936
combined,0.3-0.4,0.30000000000000004,0.4,42485,0.3463340002353772,0.3463340002353772,0.0,0.22521695169886713
combined,0.4-0.5,0.4,0.5,46519,0.46378898944517294,0.46378898944517294,0.0,0.24792709101165653
combined,0.5-0.6,0.5,0.6000000000000001,36459,0.5407443978167257,0.5407443978167257,0.0,0.24773342947182014
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,34578,0.6474058650008675,0.6474058650008676,1.1102230246251565e-16,0.22703238175941523
combined,0.7-0.8,0.7000000000000001,0.8,19548,0.7531716799672602,0.7531716799672601,1.1102230246251565e-16,0.18509883224378662
combined,0.8-0.9,0.8,0.9,16589,0.8489360419555126,0.8489360419555126,0.0,0.12728155782230913
combined,0.9-1.0,0.9,1.0,21512,0.9636017106731127,0.9636017106731127,0.0,0.03437796620434974
innings_specific,0.0-0.1,0.0,0.1,23961,0.029548015525228497,0.029548015525228497,0.0,0.0276107631118834
innings_specific,0.1-0.2,0.1,0.2,16925,0.16555391432791727,0.16555391432791727,0.0,0.13764073974803567
innings_specific,0.2-0.3,0.2,0.30000000000000004,21830,0.24823637196518547,0.24823637196518553,5.551115123125783e-17,0.18565029474692632
innings_specific,0.3-0.4,0.30000000000000004,0.4,41572,0.34949004137400175,0.34949004137400175,0.0,0.2262705265652117
innings_specific,0.4-0.5,0.4,0.5,43699,0.4614522071443282,0.4614522071443282,0.0,0.24785129458626973
innings_specific,0.5-0.6,0.5,0.6000000000000001,46546,0.5497572294074679,0.5497572294074679,0.0,0.24639556879468547
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,22537,0.6530150419310468,0.6530150419310468,0.0,0.2259611642516725
innings_specific,0.7-0.8,0.7000000000000001,0.8,25901,0.7495077410138604,0.7495077410138604,0.0,0.18663293285653035
innings_specific,0.8-0.9,0.8,0.9,10247,0.8375134185615302,0.8375134185615302,0.0,0.1356052744108289
innings_specific,0.9-1.0,0.9,1.0,25736,0.9539944047248989,0.9539944047248989,0.0,0.042733735071692466
innings_phase,0.0-0.1,0.0,0.1,24153,0.028981907009481223,0.028981907009481223,0.0,0.027005658588495973
innings_phase,0.1-0.2,0.1,0.2,15511,0.16059570627296757,0.16059570627296757,0.0,0.13432012393121773
innings_phase,0.2-0.3,0.2,0.30000000000000004,23486,0.24371966277782509,0.24371966277782509,0.0,0.18329929186241267
innings_phase,0.3-0.4,0.30000000000000004,0.4,40414,0.3508932548126887,0.3508932548126887,0.0,0.22693842797685088
innings_phase,0.4-0.5,0.4,0.5,47051,0.462349365582028,0.462349365582028,0.0,0.24779355051932622
innings_phase,0.5-0.6,0.5,0.6000000000000001,39434,0.5435918243140437,0.5435918243140437,0.0,0.24721083762677296
innings_phase,0.6-0.7,0.6000000000000001,0.7000000000000001,31687,0.6565152901820935,0.6565152901820936,1.1102230246251565e-16,0.22471940951725
innings_phase,0.7-0.8,0.7000000000000001,0.8,18641,0.7507644439675983,0.7507644439675983,0.0,0.18618086202807274
innings_phase,0.8-0.9,0.8,0.9,16481,0.8513439718463686,0.8513439718463686,0.0,0.12572917683314033
innings_phase,0.9-1.0,0.9,1.0,22096,0.9667360608254888,0.9667360608254888,0.0,0.031180269551523733
brier_optimized,0.0-0.1,0.0,0.1,24163,0.024334726648181104,0.024334726648181104,0.0,0.02273672195375399
brier_optimized,0.1-0.2,0.1,0.2,16595,0.15709551069599276,0.15709551069599276,0.0,0.1316058956061311
brier_optimized,0.2-0.3,0.2,0.30000000000000004,24673,0.24873343330766426,0.24873343330766426,0.0,0.1859268062483708
brier_optimized,0.3-0.4,0.30000000000000004,0.4,33327,0.344225402826537,0.344225402826537,0.0,0.2248383200869439
brier_optimized,0.4-0.5,0.4,0.5,53887,0.45745727169818323,0.45745727169818323,0.0,0.24741595989934848
brier_optimized,0.5-0.6,0.5,0.6000000000000001,38248,0.5489960259359966,0.5489960259359966,0.0,0.24668776563748868
brier_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,28013,0.6525898689893977,0.6525898689893977,0.0,0.2257137666756313
brier_optimized,0.7-0.8,0.7000000000000001,0.8,21016,0.7528073848496384,0.7528073848496384,0.0,0.1851866494381268
brier_optimized,0.8-0.9,0.8,0.9,15824,0.8494059656218403,0.8494059656218402,1.1102230246251565e-16,0.12701091225000694
brier_optimized,0.9-1.0,0.9,1.0,23208,0.9686315063771114,0.9686315063771114,0.0,0.029329479015562415
ece_optimized,0.0-0.1,0.0,0.1,22864,0.03379335888581633,0.02685444366689993,0.006938915218916403,0.025284099529783766
ece_optimized,0.1-0.2,0.1,0.2,17498,0.15495556070478347,0.15893244942279117,0.003976888718007693,0.1330553959817089
ece_optimized,0.2-0.3,0.2,0.30000000000000004,24066,0.24868265960061298,0.2503947477769467,0.001712088176333726,0.18649920906460074
ece_optimized,0.3-0.4,0.30000000000000004,0.4,36777,0.3534925831680092,0.3487505778067814,0.0047420053612277635,0.2265023617614223
ece_optimized,0.4-0.5,0.4,0.5,49800,0.45764561057975767,0.46052208835341363,0.002876477773655961,0.24747526155318858
ece_optimized,0.5-0.6,0.5,0.6000000000000001,38286,0.5456014460778442,0.5428355012276028,0.0027659448502413975,0.24718763759382792
ece_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,29778,0.6482244760927275,0.6499429108737994,0.0017184347810719203,0.22663937975224316
ece_optimized,0.7-0.8,0.7000000000000001,0.8,21665,0.7457794085494627,0.7434571890145396,0.0023222195349230645,0.18961574826457753
ece_optimized,0.8-0.9,0.8,0.9,15688,0.8480421883371606,0.8497577766445691,0.0017155883074084777,0.1269508674303822
ece_optimized,0.9-1.0,0.9,1.0,22532,0.959417939684925,0.9639623646369607,0.004544424952035775,0.033828206312525845
logloss_optimized,0.0-0.1,0.0,0.1,21544,0.06325100200757665,0.03304864463423691,0.03020235737333974,0.03207845871327077
logloss_optimized,0.1-0.2,0.1,0.2,23819,0.15156714584741612,0.16541416516226543,0.013847019314849301,0.1371958659049649
logloss_optimized,0.2-0.3,0.2,0.30000000000000004,26379,0.25028231842416143,0.27146593881496645,0.021183620390805014,0.19665674556744264
logloss_optimized,0.3-0.4,0.30000000000000004,0.4,34975,0.3538404355998056,0.36434596140100073,0.010505525801195126,0.23092430097059896
logloss_optimized,0.4-0.5,0.4,0.5,44349,0.4501209918650684,0.4651288642359467,0.015007872370878306,0.24854970381358588
logloss_optimized,0.5-0.6,0.5,0.6000000000000001,34737,0.5471164657981228,0.5432248035236203,0.0038916622745024387,0.24720850911271722
logloss_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,25819,0.6484739158523709,0.6246949920601108,0.023778923792260098,0.23408669319473305
logloss_optimized,0.7-0.8,0.7000000000000001,0.8,22907,0.748644593090537,0.7261972322870738,0.022447360803463212,0.19857809065306462
logloss_optimized,0.8-0.9,0.8,0.9,23011,0.852907093257732,0.8271261570553213,0.02578093620241062,0.14145904485387292
logloss_optimized,0.9-1.0,0.9,1.0,21414,0.9357313023203737,0.9631549453628467,0.027423643042473023,0.03606690349380909
