feature,importance
resource_win_prob,0.10984212
run_rate_diff,0.089851655
dls_pressure_index,0.046714786
bowling_team_situation_wr,0.045738153
inn1_death_rr,0.041401997
target_above_par,0.04132668
bowling_team_win_rate,0.037239254
venue_chase_success,0.036576908
team_strength_diff,0.036299013
inn1_defendability,0.03259129
batting_team_win_rate,0.03257041
inn1_pp_runs,0.032134246
projected_score,0.03204367
batting_team_situation_wr,0.031377528
score_vs_par,0.030911826
situation_advantage,0.030250007
required_run_rate,0.029826794
inn1_wickets_lost,0.029184962
projected_vs_venue_avg,0.027429726
pressure_index,0.02686896
score_per_wicket,0.023487985
rrr_times_wickets,0.023072094
chase_difficulty,0.020849181
expected_final_score,0.020504113
wickets_times_balls,0.019694246
batting_won_toss,0.01821468
runs_last_12,0.0143198315
wickets_last_12,0.009706462
is_powerplay,0.0096812155
runs_last_18,0.007934264
boundary_pct_last_18,0.0064310534
overs_remaining,0.0059249266
