feature,importance
resource_win_prob,0.22792614
dls_pressure_index,0.20039172
expected_final_score,0.03501515
score_vs_par,0.033296075
required_run_rate,0.028211344
score_per_wicket,0.02819313
run_rate_diff,0.024548227
bowling_team_situation_wr,0.021516373
target_above_par,0.020018512
team_strength_diff,0.019560808
bowling_team_win_rate,0.018720213
inn1_death_rr,0.018581113
is_powerplay,0.018432805
batting_team_venue_wr,0.018350866
situation_advantage,0.018291539
batting_team_win_rate,0.018145742
venue_chase_success,0.01796461
chase_difficulty,0.017889233
batting_team_situation_wr,0.017816259
batting_recent_nrr_l5,0.017770855
inn1_defendability,0.01770228
pressure_index,0.016488725
overs_remaining,0.015174298
inn1_pp_runs,0.014732562
inn1_wickets_lost,0.0146118505
rrr_times_wickets,0.014056885
batting_won_toss,0.013539462
projected_score,0.013434996
wickets_times_balls,0.011828805
runs_last_12,0.009929088
balls_since_wicket,0.008778202
current_run_rate,0.007119431
score_vs_venue_over_par,0.0048163044
is_low_target,0.0043583326
projected_vs_venue_avg,0.0037033525
dot_pct_last_12,0.0035297507
wickets_last_12,0.0024695543
boundary_pct_last_18,0.0016477528
runs_last_18,0.00092316244
set_batter_exposure,0.00051448407
wickets_last_6,0.0
