method,segment,brier,ece,logloss,n_samples
raw,overall,0.17848486661575935,0.00939383757484811,0.5249653828368076,332156
raw,innings_1,0.21851907423692624,0.012348911809673783,0.6254211177821203,173356
raw,innings_2,0.13478102469904016,0.013920266959477649,0.4153016272500343,158800
raw,inn1_powerplay,0.23997869735101002,0.019647001999059478,0.6725242009756106,43998
raw,inn1_middle,0.21683061696729614,0.01688887870014383,0.6222576787826988,78278
raw,inn1_death,0.20262221754895926,0.018338204657074048,0.5896964941260813,51080
raw,inn2_powerplay,0.17923091124094165,0.027736886995538095,0.534622814776616,44057
raw,inn2_middle,0.1328058085355795,0.01917307503592237,0.4129190431279598,76541
raw,inn2_death,0.08747607650237217,0.04064608597601934,0.2824664828185671,38202
combined,overall,0.17818290473698878,1.1291673355748887e-17,0.5237643886601834,332156
combined,innings_1,0.21815365722507657,0.008658491573258474,0.6246121622177375,173356
combined,innings_2,0.1345483344074865,0.00945215028446977,0.4136726592342179,158800
combined,inn1_powerplay,0.2395393789026046,0.017221583981755596,0.6715695706728438,43998
combined,inn1_middle,0.21644486674151187,0.013709257608956811,0.6213599556531311,78278
combined,inn1_death,0.20235161570402346,0.0159201927245061,0.5891490488319991,51080
combined,inn2_powerplay,0.17874744883991237,0.024730336699882536,0.5329917021277915,44057
combined,inn2_middle,0.13267089032164392,0.017554277748310945,0.411586106367638,76541
combined,inn2_death,0.08733669792837787,0.03715424907671751,0.2802468639930978,38202
innings_specific,overall,0.17791905835112903,3.528951357702387e-17,0.5229070197036721,332156
innings_specific,innings_1,0.21793005744571214,3.8366532365612704e-17,0.6237194131498006,173356
innings_specific,innings_2,0.13424055231183094,0.0,0.41285391341748173,158800
innings_specific,inn1_powerplay,0.23938630073270092,0.013061622930707532,0.6712198514273572,43998
innings_specific,inn1_middle,0.21619202129546314,0.007116050049617055,0.6202850407941978,78278
innings_specific,inn1_death,0.20211208958408827,0.013319964196336416,0.5880677200393059,51080
innings_specific,inn2_powerplay,0.17837769720045887,0.019588235741724355,0.5323790845294242,44057
innings_specific,inn2_middle,0.13208878377390332,0.012086613916635364,0.4102352776086597,76541
innings_specific,inn2_death,0.08765001577717924,0.03944926993841934,0.2802564719160995,38202
innings_phase,overall,0.17710307905310516,1.037671268906417e-17,0.5199154829311609,332156
innings_phase,innings_1,0.2174428121674593,1.9825937221138654e-17,0.6224383881523384,173356
innings_phase,innings_2,0.1330657064222992,1.4308453666233282e-17,0.40799507513819827,158800
innings_phase,inn1_powerplay,0.23863934527391512,1.869549158927175e-17,0.669527838528659,43998
innings_phase,inn1_middle,0.2158839222573232,6.889430417379977e-17,0.6193964610727274,78278
innings_phase,inn1_death,0.20157401265234168,1.3908216786562993e-17,0.5865392951664425,51080
innings_phase,inn2_powerplay,0.17752289836010732,3.0550851939630677e-17,0.528096379674202,44057
innings_phase,inn2_middle,0.1316536161023425,1.8145686675194613e-17,0.40873806876239893,76541
innings_phase,inn2_death,0.08462406200514297,2.6306839481982402e-17,0.26799788522843837,38202
brier_optimized,overall,0.17541415424336632,0.0,0.5148616103956075,332156
brier_optimized,innings_1,0.2157864847774591,0.0,0.6179720873868947,173356
brier_optimized,innings_2,0.13134119623286125,0.0,0.4022997725536581,158800
brier_optimized,inn1_powerplay,0.23745893788543512,8.151457649295227e-17,0.6668558256021209,43998
brier_optimized,inn1_middle,0.21395633475108972,0.0,0.6140559856724721,78278
brier_optimized,inn1_death,0.1999234442903686,8.782020616675696e-18,0.5818671127590179,51080
brier_optimized,inn2_powerplay,0.17586895360529473,1.3360879035255646e-17,0.523163351759001,44057
brier_optimized,inn2_middle,0.12964332873314607,1.6902612855798787e-17,0.4018998074441182,76541
brier_optimized,inn2_death,0.08339075043783482,6.395799490717274e-18,0.2637134948823192,38202
ece_optimized,overall,0.17757907225751315,0.002055530671622615,0.5217870551336324,332156
ece_optimized,innings_1,0.21792180029588756,0.0023003214067185774,0.6238148363682349,173356
ece_optimized,innings_2,0.1335384301805582,0.0031932894511757536,0.410407155614075,158800
ece_optimized,inn1_powerplay,0.23923916519460986,0.004381692634739803,0.6709704312301419,43998
ece_optimized,inn1_middle,0.21626644857499963,0.002647632600687293,0.6205224206572307,78278
ece_optimized,inn1_death,0.20209674550328155,0.002896645217636597,0.5882426330458346,51080
