method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,38033,0.044853402948950315,0.0463281886782531,0.0014747857293027841,0.04339422096536372
raw,0.1-0.2,0.1,0.2,22338,0.14933872931943168,0.1522965350523771,0.0029578057329454344,0.1283077386648727
raw,0.2-0.3,0.2,0.30000000000000004,25338,0.2529172673786309,0.2704633357013182,0.01754606832268729,0.1966792668247448
raw,0.3-0.4,0.30000000000000004,0.4,34145,0.3524208464490657,0.37024454532142337,0.017823698872357685,0.23319793640436054
raw,0.4-0.5,0.4,0.5,45864,0.4515154433083727,0.4503968253968254,0.0011186179115472705,0.2472313076112243
raw,0.5-0.6,0.5,0.6000000000000001,45331,0.5482308471928737,0.5456530850852618,0.0025777621076119583,0.24708632039950468
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,38472,0.6485798448984519,0.6301466001247661,0.018433244773685797,0.23280060453263388
raw,0.7-0.8,0.7000000000000001,0.8,31478,0.7483788824460293,0.7342906156680856,0.014088266777943725,0.19447657510620173
raw,0.8-0.9,0.8,0.9,24806,0.8486336454252502,0.8410868338305248,0.007546811594725367,0.13250002188927293
raw,0.9-1.0,0.9,1.0,26351,0.9467994475630616,0.9633789988994725,0.01657955133641098,0.034827716896942605
combined,0.0-0.1,0.0,0.1,39510,0.04796254112882814,0.04796254112882815,6.938893903907228e-18,0.044761289124947305
combined,0.1-0.2,0.1,0.2,19896,0.1533474065138721,0.15334740651387213,2.7755575615628914e-17,0.12927609755076855
combined,0.2-0.3,0.2,0.30000000000000004,23778,0.2633947346286483,0.2633947346286483,0.0,0.1930943744500117
combined,0.3-0.4,0.30000000000000004,0.4,36424,0.36648912804744127,0.36648912804744127,0.0,0.2315450724088688
combined,0.4-0.5,0.4,0.5,46286,0.4500496910512898,0.4500496910512898,0.0,0.24695880957458938
combined,0.5-0.6,0.5,0.6000000000000001,49911,0.5492777143315101,0.5492777143315101,0.0,0.24666835028230763
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,41525,0.6473931366646598,0.6473931366646598,0.0,0.22748018744906018
combined,0.7-0.8,0.7000000000000001,0.8,27261,0.753494002421041,0.753494002421041,0.0,0.18517796154946342
combined,0.8-0.9,0.8,0.9,21226,0.8504664091208894,0.8504664091208894,0.0,0.1261842900856576
combined,0.9-1.0,0.9,1.0,26339,0.9635141804928055,0.9635141804928053,1.1102230246251565e-16,0.034317588239471834
innings_specific,0.0-0.1,0.0,0.1,37613,0.04503761997181825,0.04503761997181825,0.0,0.04215626853464853
innings_specific,0.1-0.2,0.1,0.2,21374,0.1480303172078226,0.1480303172078226,0.0,0.12519380159151994
innings_specific,0.2-0.3,0.2,0.30000000000000004,25841,0.2620254634108587,0.2620254634108587,0.0,0.1924558220853813
innings_specific,0.3-0.4,0.30000000000000004,0.4,28619,0.36339494741255807,0.36339494741255807,0.0,0.23054552072244133
innings_specific,0.4-0.5,0.4,0.5,51843,0.4445344598113534,0.44453445981135353,1.1102230246251565e-16,0.2462817514515687
innings_specific,0.5-0.6,0.5,0.6000000000000001,53736,0.5515855292541312,0.5515855292541313,1.1102230246251565e-16,0.24621215995566845
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,35210,0.6472593013348481,0.6472593013348481,0.0,0.22755405966599912
innings_specific,0.7-0.8,0.7000000000000001,0.8,30540,0.7473804846103471,0.7473804846103471,0.0,0.1880864099754682
innings_specific,0.8-0.9,0.8,0.9,18140,0.8409040793825799,0.8409040793825799,0.0,0.13323394378221676
innings_specific,0.9-1.0,0.9,1.0,29240,0.9601231190150479,0.9601231190150479,0.0,0.0373628911224806
