feature,importance
resource_win_prob,0.29688016
score_vs_par,0.10463343
dls_pressure_index,0.08658443
score_per_wicket,0.05582905
run_rate_diff,0.039813425
team_strength_diff,0.029575989
pressure_index,0.020787096
wickets_times_balls,0.019922612
situation_advantage,0.017382586
rrr_times_wickets,0.0172992
required_run_rate,0.017217597
is_powerplay,0.017134812
bowling_team_win_rate,0.016430914
inn1_defendability,0.016410777
batting_recent_nrr_l5,0.016377153
bowling_team_situation_wr,0.015078295
inn1_wickets_lost,0.015037234
target_above_par,0.014947202
overs_remaining,0.014704418
batting_team_venue_wr,0.014363001
expected_final_score,0.012479638
batting_won_toss,0.012288044
venue_chase_success,0.01190678
batting_team_win_rate,0.011642624
chase_difficulty,0.011429256
projected_score,0.011301928
batting_team_situation_wr,0.011007622
inn1_death_rr,0.0104843015
inn1_pp_runs,0.009720109
projected_vs_venue_avg,0.008906112
score_vs_venue_over_par,0.008896877
is_low_target,0.008211271
dot_pct_last_12,0.006065901
balls_since_wicket,0.005762571
current_run_rate,0.0051671686
runs_last_18,0.004027272
wickets_last_12,0.0028190971
runs_last_12,0.00080693816
boundary_pct_last_18,0.0006671217
wickets_last_6,0.0
set_batter_exposure,0.0
