method,segment,brier,ece,logloss,n_samples
raw,overall,0.160659399697073,0.004562497790930769,0.4803465191707925,1618829
raw,innings_1,0.19694778636432114,0.006988589279059071,0.5764991736015078,872711
raw,innings_2,0.11821400337000296,0.009035432930694035,0.36787975225070224,746118
raw,inn1_powerplay,0.217521550909633,0.010602695225046845,0.6240729666535307,167424
raw,inn1_middle,0.1942968212352835,0.012094601507783274,0.5702710024645025,435548
raw,inn1_setup,0.185607940343521,0.015345444617647017,0.5500342549319879,102465
raw,inn1_death,0.19020446658544987,0.026011973358673075,0.5613109234604869,167274
raw,inn2_powerplay,0.15386851898598586,0.01799331267651354,0.46796804294472416,167243
raw,inn2_middle,0.11635345390108986,0.011271915093453617,0.3627024499176496,410362
raw,inn2_setup,0.0923579785684804,0.025876726384508095,0.2934155980583039,80233
raw,inn2_death,0.08281569213188378,0.03924840799519323,0.27000916573931266,88280
combined,overall,0.16055324232006338,5.85013545810353e-18,0.4797382811876316,1618829
combined,innings_1,0.19681353056809503,0.005987469731094973,0.5760800198827143,872711
combined,innings_2,0.11814071183932445,0.007003356971006794,0.3670503482891833,746118
combined,inn1_powerplay,0.2172512810396282,0.011219884398436651,0.6234699800212579,167424
combined,inn1_middle,0.19421039525294967,0.012577294701254625,0.5699142708940027,435548
combined,inn1_setup,0.18544427290350238,0.012978499839756415,0.549625558063646,102465
combined,inn1_death,0.19009982390655442,0.024874875586794683,0.5609068273040151,167274
combined,inn2_powerplay,0.15378881991013427,0.017319365897186384,0.46780625487827887,167243
combined,inn2_middle,0.1162778149409753,0.01023815940906225,0.36171658260169354,410362
combined,inn2_setup,0.09223337468156603,0.023238032907737002,0.2919873600014347,80233
combined,inn2_death,0.0828120863419562,0.03864453317013629,0.26918654458121466,88280
innings_specific,overall,0.16040046939681285,2.720745225185421e-17,0.4791924417455226,1618829
innings_specific,innings_1,0.1966985962987905,2.7861148518062914e-17,0.5756081514882186,872711
innings_specific,innings_2,0.11794368022036653,6.345275202996115e-18,0.36641798721519625,746118
innings_specific,inn1_powerplay,0.21725185834229582,0.013030534969939202,0.6234877787978933,167424
innings_specific,inn1_middle,0.1939722473282074,0.008270935122949031,0.5690403019983624,435548
innings_specific,inn1_setup,0.18540417377701307,0.010271641441105338,0.5493418515113888,102465
innings_specific,inn1_death,0.19014425731461848,0.021863317485537742,0.5608765818123501,167274
innings_specific,inn2_powerplay,0.15367408457202117,0.017153433147352334,0.46747474333918204,167243
innings_specific,inn2_middle,0.11600908197653895,0.0066992523824135125,0.36095377152333813,410362
innings_specific,inn2_setup,0.09202074719272182,0.020996465645298133,0.2913128791226745,80233
innings_specific,inn2_death,0.08280661944960084,0.03817841015852362,0.268628901951103,88280
innings_phase,overall,0.15970672467853106,0.0,0.47716151610216395,1618829
innings_phase,innings_1,0.196176991783184,1.464885641244201e-18,0.5741515261350403,872711
innings_phase,innings_2,0.11704858846526615,1.7976593342672e-17,0.36371532039880133,746118
innings_phase,inn1_powerplay,0.21663534975234428,5.367314672264211e-17,0.6218096335099474,167424
innings_phase,inn1_middle,0.19373247095166907,3.2656204882651365e-17,0.5683842081523182,435548
innings_phase,inn1_setup,0.18468848627598294,7.574226113224329e-17,0.5473238645190392,102465
innings_phase,inn1_death,0.1891027049919991,7.374440434948899e-17,0.5579011177696381,167274
innings_phase,inn2_powerplay,0.1529773594606026,1.0608467346927712e-17,0.46511524732794374,167243
