method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,208348,0.04015839538109659,0.04087872213796149,0.0007203267568648974,0.03798217036251447
raw,0.1-0.2,0.1,0.2,134731,0.149721403651488,0.1547231149475622,0.005001711296074185,0.1300868950784645
raw,0.2-0.3,0.2,0.30000000000000004,144689,0.25089387416171605,0.2531291252272115,0.002235251065495436,0.18836290828693278
raw,0.3-0.4,0.30000000000000004,0.4,156975,0.35033794257063916,0.3452651696129957,0.005072772957643468,0.22496362678141715
raw,0.4-0.5,0.4,0.5,165771,0.45043840784085415,0.4492583141804055,0.0011800936604486334,0.24667979970749349
raw,0.5-0.6,0.5,0.6000000000000001,167222,0.5496770852082405,0.555489110284532,0.005812025076291416,0.2460047572095326
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,161023,0.6493153775137179,0.6533538687019866,0.004038491188268711,0.2255520307915513
raw,0.7-0.8,0.7000000000000001,0.8,149904,0.7495466180663495,0.7414945565161704,0.008052061550179124,0.1909956624236817
raw,0.8-0.9,0.8,0.9,142666,0.8503711645055883,0.8438520740751125,0.006519090430475716,0.1312050329325319
raw,0.9-1.0,0.9,1.0,187500,0.9556889480740921,0.9636213333333333,0.007932385259241226,0.03399361205174759
combined,0.0-0.1,0.0,0.1,201860,0.03859110274447637,0.03859110274447637,0.0,0.03594201069216978
combined,0.1-0.2,0.1,0.2,137525,0.15131794219232866,0.15131794219232866,0.0,0.12765460279852278
combined,0.2-0.3,0.2,0.30000000000000004,170603,0.25775631143649286,0.2577563114364929,5.551115123125783e-17,0.1903638916004866
combined,0.3-0.4,0.30000000000000004,0.4,124005,0.34887302931333414,0.34887302931333414,0.0,0.22638909082481748
combined,0.4-0.5,0.4,0.5,168882,0.4437299416160396,0.4437299416160396,0.0,0.2461050265102632
combined,0.5-0.6,0.5,0.6000000000000001,151615,0.544860337037892,0.544860337037892,0.0,0.2473022616790701
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,168530,0.6422120690678218,0.6422120690678218,0.0,0.22890590512460265
combined,0.7-0.8,0.7000000000000001,0.8,174213,0.7410181788959492,0.7410181788959492,0.0,0.1909784873792093
combined,0.8-0.9,0.8,0.9,144245,0.8500814586294152,0.8500814586294152,0.0,0.12679657644440082
combined,0.9-1.0,0.9,1.0,177351,0.9678321520600391,0.9678321520600391,0.0,0.03017518877177885
innings_specific,0.0-0.1,0.0,0.1,199516,0.03703963591892379,0.03703963591892379,0.0,0.034577884005480425
innings_specific,0.1-0.2,0.1,0.2,135313,0.1487809744813876,0.1487809744813876,0.0,0.12601828817671953
innings_specific,0.2-0.3,0.2,0.30000000000000004,162245,0.2532897778051712,0.2532897778051712,0.0,0.18816764485803522
innings_specific,0.3-0.4,0.30000000000000004,0.4,136302,0.3435239394873149,0.3435239394873149,0.0,0.22431966792908326
