method,segment,brier,ece,logloss,n_samples
raw,overall,0.14537779422641783,0.014821590019509823,0.4474399426203978,291106
raw,innings_1,0.17781346515657662,0.02721868065526299,0.539638902763635,158563
raw,innings_2,0.10657455837315694,0.011383413685635842,0.33714106816311135,132543
raw,inn1_powerplay,0.20051202010592892,0.041613491296310146,0.5936083255430596,30687
raw,inn1_middle,0.17653125731322578,0.031592626561600945,0.5377718751615758,79666
raw,inn1_setup,0.16725898532477435,0.04350796941734029,0.5131685381162179,18656
raw,inn1_death,0.16436358324751912,0.04662637218308377,0.5053427014702618,29554
raw,inn2_powerplay,0.13829794517648736,0.01602744682340133,0.4330368526403512,30620
raw,inn2_middle,0.10027243690229842,0.015818330902469025,0.3178881399216613,73985
raw,inn2_setup,0.08643334956522182,0.02817554430433991,0.27628881217970314,13503
raw,inn2_death,0.09042347390048888,0.04149451254609537,0.28932582658324035,14435
combined,overall,0.14476628003870382,3.6617154246326265e-17,0.4438180140125669,291106
combined,innings_1,0.17659844396328506,0.01722122095012265,0.5323272054527822,158563
combined,innings_2,0.10668502785357611,0.020601981677752096,0.3379332602169317,132543
combined,inn1_powerplay,0.19952187157046686,0.042809164361979,0.5891613137976746,30687
combined,inn1_middle,0.17546958777412075,0.022853378296983095,0.5309618338418479,79666
combined,inn1_setup,0.1658672201346574,0.028281641812934126,0.5034207952480696,18656
combined,inn1_death,0.16261326246268465,0.03299484473723615,0.49524198520361473,29554
combined,inn2_powerplay,0.13829868945675153,0.018307037696980503,0.43277034358621325,30620
combined,inn2_middle,0.10053793075822592,0.02621200346106659,0.31959635287091775,73985
combined,inn2_setup,0.08618850164379406,0.037993565693839534,0.27742961488090473,13503
combined,inn2_death,0.09030451200466315,0.03611894180836813,0.2873427039439713,14435
innings_specific,overall,0.1441043673582269,2.518583032012683e-17,0.4407619394806609,291106
innings_specific,innings_1,0.1760823495442911,1.8440321806423007e-17,0.5297480995280744,158563
innings_specific,innings_2,0.10584867079659106,1.4981054295904668e-18,0.33430658163001603,132543
innings_specific,inn1_powerplay,0.19848115469857988,0.035509664445882154,0.5855611369088736,30687
innings_specific,inn1_middle,0.17492436361960173,0.014798888073128437,0.5281504536325308,79666
innings_specific,inn1_setup,0.16589874676471952,0.026584952373136444,0.5022575150046661,18656
innings_specific,inn1_death,0.16237473860710264,0.030011681624473995,0.49345547330754613,29554
innings_specific,inn2_powerplay,0.13861486414017152,0.02288093994047486,0.4327823059880559,30620
innings_specific,inn2_middle,0.09940852855803016,0.01011536267947421,0.31484997400885056,73985
innings_specific,inn2_setup,0.08480736346073776,0.02477531450470727,0.2713550261207512,13503
innings_specific,inn2_death,0.08903494418041662,0.03846611981754758,0.2840263799708783,14435
innings_phase,overall,0.14258546945235018,3.979920676532621e-17,0.43603100174224707,291106
innings_phase,innings_1,0.1745400046291149,1.2451963112411965e-17,0.5252970000073464,158563
innings_phase,innings_2,0.10435782286797114,0.0,0.3292408696122294,132543
innings_phase,inn1_powerplay,0.1963048239552553,5.5060723471731535e-17,0.5795033162857707,30687
innings_phase,inn1_middle,0.1742896031262688,5.0377139704735756e-17,0.5262669454902307,79666
innings_phase,inn1_setup,0.1632547688010203,3.6598797177555275e-17,0.49501765265821596,18656
innings_phase,inn1_death,0.15973959977946342,5.839621343235453e-17,0.48551188123052735,29554
innings_phase,inn2_powerplay,0.1371777548933426,3.962466467869374e-17,0.4275034663708164,30620
innings_phase,inn2_middle,0.09903209878507291,6.168989463045237e-18,0.31352662758881716,73985
innings_phase,inn2_setup,0.0806360384731833,4.9953047368067386e-17,0.2582599302440319,13503
innings_phase,inn2_death,0.08422568794169284,1.782048318709032e-17,0.26774264360897326,14435
brier_optimized,overall,0.13897503309618234,0.0,0.4247103569852847,291106
brier_optimized,innings_1,0.17089719638385864,0.0,0.5149141573044991,158563
brier_optimized,innings_2,0.1007861134445688,1.8922114427983588e-18,0.3167983194577231,132543
brier_optimized,inn1_powerplay,0.19370574180315717,1.6924506498505824e-17,0.5723767664781255,30687
brier_optimized,inn1_middle,0.16983494435997648,2.1974238260097743e-17,0.5138120685795824,79666
brier_optimized,inn1_setup,0.16078882470787015,3.850312483557441e-18,0.4877676759766101,18656
brier_optimized,inn1_death,0.15645858632903772,0.0,0.475355676838276,29554
brier_optimized,inn2_powerplay,0.13437824165777146,0.0,0.41782897773251554,30620
brier_optimized,inn2_middle,0.09497587665947926,0.0,0.2995759194211905,73985
brier_optimized,inn2_setup,0.07869106077379828,1.3977480129325084e-18,0.25014848747740853,13503
brier_optimized,inn2_death,0.07997758548267045,1.0921487322256475e-17,0.2531068190461474,14435
ece_optimized,overall,0.14347185635102333,0.00437371403684967,0.44043273448396675,291106
ece_optimized,innings_1,0.17549636840184207,0.005239248389905205,0.5286913154174172,158563
ece_optimized,innings_2,0.10516049547708822,0.005102419854436,0.33484778945819627,132543
ece_optimized,inn1_powerplay,0.1974308315698192,0.013727000825352838,0.5822638946221351,30687
ece_optimized,inn1_middle,0.17493212673344108,0.00461111130074894,0.5286428963272842,79666
ece_optimized,inn1_setup,0.16480278872053827,0.00940353260738331,0.500727468515474,18656
ece_optimized,inn1_death,0.16099232252153908,0.008990162749474133,0.49084767817650243,29554
ece_optimized,inn2_powerplay,0.1379745144236964,0.004459141412258054,0.43152059682005517,30620
ece_optimized,inn2_middle,0.09958268831750318,0.005019363771134574,0.3182179569161876,73985
ece_optimized,inn2_setup,0.08224225905262326,0.014459127848634087,0.26686317093665424,13503
ece_optimized,inn2_death,0.08558126090807604,0.00994344238587557,0.2786117730464728,14435
logloss_optimized,overall,0.14586632319859674,0.018946209978162692,0.4489348125060216,291106
logloss_optimized,innings_1,0.17677947336081443,0.010524022296263933,0.5327072650653116,158563
logloss_optimized,innings_2,0.10888449972114622,0.04067477882867349,0.3487166840861221,132543
logloss_optimized,inn1_powerplay,0.19909782034286758,0.03432575332177899,0.5870603485961718,30687
logloss_optimized,inn1_middle,0.1754710180237624,0.012593880905451186,0.5300803474348013,79666
logloss_optimized,inn1_setup,0.16679976873270255,0.028941831663503767,0.5069916127924181,18656
logloss_optimized,inn1_death,0.16343230067980255,0.02969799118012684,0.4995846472959348,29554
logloss_optimized,inn2_powerplay,0.13895839148205918,0.027003206582592906,0.4351528921984892,30620
logloss_optimized,inn2_middle,0.10337196900902659,0.044570313191562086,0.33234729530535284,73985
logloss_optimized,inn2_setup,0.08962710250353831,0.050272025971724046,0.29351549439331087,13503
logloss_optimized,inn2_death,0.09135867039287313,0.047581229847769656,0.300901942206424,14435
resource_win_prob,overall,0.17190712490786894,0.04906041345628363,0.5096963695237249,291106
resource_win_prob,innings_1,0.2108376381951628,0.08230634427364684,0.6091266449991064,158563
resource_win_prob,innings_2,0.12533402049365486,0.014688723115911004,0.39074657383324757,132543
resource_win_prob,inn1_powerplay,0.24664518762695414,0.07624990053802637,0.6864297873400815,30687
resource_win_prob,inn1_middle,0.21239122699033552,0.10467289877480979,0.6143043334164736,79666
resource_win_prob,inn1_setup,0.19003855223795776,0.0792515535236725,0.5641127690253267,18656
resource_win_prob,inn1_death,0.18259893186938683,0.05918929685036716,0.5433180104891029,29554
resource_win_prob,inn2_powerplay,0.1548595188915872,0.06748521287545664,0.47142325351748865,30620
resource_win_prob,inn2_middle,0.11814154639587172,0.0303445019498423,0.3699160628052866,73985
resource_win_prob,inn2_setup,0.1014007191665155,0.07530983577690199,0.3113189091072096,13503
resource_win_prob,inn2_death,0.12195582880679369,0.1271308819703419,0.4006764098753617,14435
