method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,55962,0.038245349606131296,0.06357885708159108,0.025333507475459788,0.058578654437442174
raw,0.1-0.2,0.1,0.2,27083,0.14769484163335939,0.15411881992393753,0.006423978290578142,0.1298147330181115
raw,0.2-0.3,0.2,0.30000000000000004,22971,0.24969501001931269,0.2677724086892168,0.018077398669904127,0.1962083562794505
raw,0.3-0.4,0.30000000000000004,0.4,20411,0.34978263009930954,0.34305031600607516,0.006732314093234382,0.2250811424279568
raw,0.4-0.5,0.4,0.5,20459,0.4502088198046636,0.45339459406618116,0.00318577426151756,0.246376141824194
raw,0.5-0.6,0.5,0.6000000000000001,21203,0.5501821106859259,0.5443097674857331,0.005872343200192809,0.24642329389556342
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,21114,0.651527263617969,0.6699820024628209,0.018454738844851937,0.22101879372463012
raw,0.7-0.8,0.7000000000000001,0.8,25990,0.750379842748819,0.7340515582916506,0.016328284457168385,0.19557172441548362
raw,0.8-0.9,0.8,0.9,28894,0.8510157344374186,0.8270229113310722,0.023992823106346428,0.14288419822083734
raw,0.9-1.0,0.9,1.0,47019,0.9579813926007313,0.9479146727918502,0.010066719808881186,0.04852602573903553
combined,0.0-0.1,0.0,0.1,41348,0.04350875495791817,0.04350875495791816,1.3877787807814457e-17,0.040384794116020924
combined,0.1-0.2,0.1,0.2,36069,0.13213562893343314,0.13213562893343314,0.0,0.11446633825851366
combined,0.2-0.3,0.2,0.30000000000000004,29324,0.2563770290546993,0.2563770290546992,5.551115123125783e-17,0.1896501227642536
combined,0.3-0.4,0.30000000000000004,0.4,23633,0.35251555028984893,0.35251555028984893,0.0,0.2275683493412766
combined,0.4-0.5,0.4,0.5,22455,0.4721888220886215,0.4721888220886217,1.6653345369377348e-16,0.24852639302910298
combined,0.5-0.6,0.5,0.6000000000000001,14972,0.5674592572802566,0.5674592572802565,1.1102230246251565e-16,0.2446859713056739
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,15085,0.6557507457739477,0.6557507457739477,0.0,0.22543149016109693
combined,0.7-0.8,0.7000000000000001,0.8,36457,0.7344268590394163,0.7344268590394163,0.0,0.19435601035430414
combined,0.8-0.9,0.8,0.9,27527,0.8377956188469504,0.8377956188469503,1.1102230246251565e-16,0.13514507636436457
combined,0.9-1.0,0.9,1.0,44236,0.9528438375983362,0.9528438375983362,0.0,0.044169562387287545
innings_specific,0.0-0.1,0.0,0.1,39992,0.032756551310262054,0.032756551310262054,0.0,0.030843886549775313
innings_specific,0.1-0.2,0.1,0.2,43151,0.1467636902968645,0.1467636902968645,0.0,0.12456662616635929
innings_specific,0.2-0.3,0.2,0.30000000000000004,23284,0.2674798144648685,0.26747981446486857,5.551115123125783e-17,0.19569904386839604
innings_specific,0.3-0.4,0.30000000000000004,0.4,22595,0.3523788448771852,0.35237884487718524,5.551115123125783e-17,0.22721927750749418
innings_specific,0.4-0.5,0.4,0.5,18180,0.45726072607260726,0.45726072607260726,0.0,0.24727699438402714
innings_specific,0.5-0.6,0.5,0.6000000000000001,20559,0.5515832482124617,0.5515832482124617,0.0,0.24609175548757556
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,17921,0.6528653534958987,0.6528653534958987,0.0,0.2260005231236034
innings_specific,0.7-0.8,0.7000000000000001,0.8,43099,0.7538225944917515,0.7538225944917516,1.1102230246251565e-16,0.18473420588175715
innings_specific,0.8-0.9,0.8,0.9,16650,0.8475075075075075,0.8475075075075075,0.0,0.12879392712846358
innings_specific,0.9-1.0,0.9,1.0,45675,0.9547016967706623,0.9547016967706623,0.0,0.04245115916829134
innings_phase,0.0-0.1,0.0,0.1,40330,0.030547979171832385,0.030547979171832385,0.0,0.028762706193269
innings_phase,0.1-0.2,0.1,0.2,37147,0.13731929900126524,0.13731929900126524,0.0,0.11759006007800687
innings_phase,0.2-0.3,0.2,0.30000000000000004,27669,0.24550941486862554,0.24550941486862554,0.0,0.18418237195447038
innings_phase,0.3-0.4,0.30000000000000004,0.4,22172,0.3471495580010824,0.34714955800108244,5.551115123125783e-17,0.2259910292165591
innings_phase,0.4-0.5,0.4,0.5,15411,0.4396859386152749,0.43968593861527483,5.551115123125783e-17,0.24570504290984102
innings_phase,0.5-0.6,0.5,0.6000000000000001,24048,0.541708250166334,0.541708250166334,0.0,0.2475346982952432
innings_phase,0.6-0.7,0.6000000000000001,0.7000000000000001,21923,0.658668977785887,0.658668977785887,0.0,0.2237118867417584
innings_phase,0.7-0.8,0.7000000000000001,0.8,37111,0.7567298105682951,0.7567298105682951,0.0,0.18336153443800646
innings_phase,0.8-0.9,0.8,0.9,22513,0.8492870785768223,0.8492870785768223,0.0,0.1271141534025372
innings_phase,0.9-1.0,0.9,1.0,42782,0.9612220092562295,0.9612220092562292,2.220446049250313e-16,0.03651982713520829
brier_optimized,0.0-0.1,0.0,0.1,46523,0.031317842787438474,0.031317842787438474,0.0,0.02929732501592643
brier_optimized,0.1-0.2,0.1,0.2,34132,0.14848236259228875,0.14848236259228875,0.0,0.1256663993937954
brier_optimized,0.2-0.3,0.2,0.30000000000000004,27184,0.24117127722189524,0.24117127722189524,0.0,0.1821672242235052
brier_optimized,0.3-0.4,0.30000000000000004,0.4,15939,0.35033565468348077,0.35033565468348077,0.0,0.22677249841937933
brier_optimized,0.4-0.5,0.4,0.5,20377,0.4420179614270992,0.4420179614270992,0.0,0.2460474059700136
brier_optimized,0.5-0.6,0.5,0.6000000000000001,22673,0.546200326379394,0.546200326379394,0.0,0.2470206278044972
brier_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,19699,0.6525204325092644,0.6525204325092644,0.0,0.2257272644375896
brier_optimized,0.7-0.8,0.7000000000000001,0.8,36136,0.751162275846801,0.751162275846801,0.0,0.18604778813079356
brier_optimized,0.8-0.9,0.8,0.9,21964,0.8448370060098342,0.8448370060098342,0.0,0.13034148122847583
brier_optimized,0.9-1.0,0.9,1.0,46479,0.9634888874545494,0.9634888874545494,0.0,0.03422640503580167
ece_optimized,0.0-0.1,0.0,0.1,43172,0.04369589223015997,0.03796442138423052,0.005731470845929447,0.03584933613589618
ece_optimized,0.1-0.2,0.1,0.2,34207,0.14382234724548135,0.14102376706522057,0.0027985801802607735,0.12028336557873359
ece_optimized,0.2-0.3,0.2,0.30000000000000004,27953,0.2491582439025298,0.2433728043501592,0.005785439552370597,0.1831145125970526
ece_optimized,0.3-0.4,0.30000000000000004,0.4,21825,0.3495015655452261,0.34822451317296677,0.0012770523722593352,0.22663803922466916
ece_optimized,0.4-0.5,0.4,0.5,18918,0.44645014409260386,0.454752087958558,0.00830194386595412,0.24692361086827813
ece_optimized,0.5-0.6,0.5,0.6000000000000001,21790,0.5509974415546441,0.5452042221202387,0.005793219434405472,0.24727041917076165
ece_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,19238,0.6555307141369605,0.661763177045431,0.00623246290847046,0.2231701526511877
ece_optimized,0.7-0.8,0.7000000000000001,0.8,36514,0.7532218229070156,0.7517664457468368,0.001455377160178739,0.18585283356630647
ece_optimized,0.8-0.9,0.8,0.9,26054,0.8487135741842753,0.8469716742150918,0.0017418999691835024,0.12840134119733035
ece_optimized,0.9-1.0,0.9,1.0,41435,0.9546582213924534,0.9604199348376976,0.005761713445244232,0.03750579951660767
logloss_optimized,0.0-0.1,0.0,0.1,43855,0.06221277476085716,0.03901493558317182,0.023197839177685343,0.03742049747240502
logloss_optimized,0.1-0.2,0.1,0.2,43316,0.14352259749735377,0.16885215624711422,0.02532955874976045,0.13989104656710247
logloss_optimized,0.2-0.3,0.2,0.30000000000000004,24436,0.2472426602627169,0.2791782615812735,0.031935601318556606,0.20151425674688883
logloss_optimized,0.3-0.4,0.30000000000000004,0.4,18147,0.34943517134437724,0.349369041714884,6.612962949326118e-05,0.22673258683586706
logloss_optimized,0.4-0.5,0.4,0.5,17030,0.4499478534172457,0.46112742219612446,0.011179568778878768,0.24789483716703956
logloss_optimized,0.5-0.6,0.5,0.6000000000000001,17541,0.5513611013236749,0.5353172567128442,0.016043844610830638,0.24832068149125125
logloss_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,18935,0.6515011301033599,0.6565091101135463,0.00500798001018643,0.22447021314400503
logloss_optimized,0.7-0.8,0.7000000000000001,0.8,28188,0.7525993218511954,0.7218674613310628,0.030731860520132548,0.20195030877249917
logloss_optimized,0.8-0.9,0.8,0.9,43760,0.8543978965206672,0.8409277879341864,0.013470108586480789,0.13191154876322925
