method,segment,brier,ece,logloss,n_samples
raw,overall,0.16210969220829358,0.004064668228236225,0.48365340498647186,1587026
raw,innings_1,0.19864980023129603,0.008884550728042312,0.5797886849154458,855626
raw,innings_2,0.11936336124399291,0.010819780401315265,0.3711898487593618,731400
raw,inn1_powerplay,0.22031993226580052,0.009753176074283219,0.62993588069871,164104
raw,inn1_middle,0.19598386470768578,0.011029005100142089,0.5734761349665869,426979
raw,inn1_setup,0.18676456795271487,0.015641027211069837,0.5521809077907359,100466
raw,inn1_death,0.19119113681500474,0.03280691968984781,0.5629649605933786,164077
raw,inn2_powerplay,0.1585480821428452,0.01956234843062747,0.4807709910322629,163932
raw,inn2_middle,0.11740918299014183,0.01359368811073472,0.36647641965680455,402250
raw,inn2_setup,0.09097813099316882,0.026239988787294354,0.2896642444170748,78564
raw,inn2_death,0.08004025747090335,0.03503745050461245,0.2596785350400864,86654
combined,overall,0.16201087010150442,4.658558005183957e-18,0.4830327219140892,1587026
combined,innings_1,0.19851619967638653,0.007251776478200162,0.579534466898106,855626
combined,innings_2,0.11930522459584667,0.00848346800784309,0.3701404576897326,731400
combined,inn1_powerplay,0.22012961516196325,0.010333762625163563,0.6295127924652828,164104
combined,inn1_middle,0.19587606570062124,0.010788449721500358,0.5732777027899375,426979
combined,inn1_setup,0.18667081185729945,0.014915188238380207,0.5519701549159408,100466
combined,inn1_death,0.19102272138647142,0.03219978821840463,0.5627078544592261,164077
combined,inn2_powerplay,0.1585211973132811,0.018335181431010397,0.4801426494341462,163932
combined,inn2_middle,0.11733259309659334,0.009973458244299745,0.3652356244344691,402250
combined,inn2_setup,0.09088349286900903,0.02192488974349784,0.2882842178384157,78564
combined,inn2_death,0.08004175277051215,0.03277604929015969,0.2590208729915461,86654
innings_specific,overall,0.16183020252645183,1.0734708373127199e-17,0.4823603873659688,1587026
innings_specific,innings_1,0.1983762490116072,3.898514805068343e-17,0.5789220299833175,855626
innings_specific,innings_2,0.11907692447079478,9.902111830340557e-18,0.36939805208279736,731400
innings_specific,inn1_powerplay,0.2202457093666284,0.012206714193712788,0.6298807591507606,164104
innings_specific,inn1_middle,0.1957278775060086,0.008290011341220318,0.5726618251965494,426979
innings_specific,inn1_setup,0.18647914244969396,0.0103558651939295,0.5511524220811901,100466
innings_specific,inn1_death,0.19067978822086737,0.024511707314728175,0.5612495110796958,164077
innings_specific,inn2_powerplay,0.15821262503834335,0.01369360217315412,0.4792306154731895,163932
innings_specific,inn2_middle,0.11708159699722132,0.005393359915851489,0.3644418146567866,402250
innings_specific,inn2_setup,0.09085007565769691,0.021159019038190046,0.2879343739367351,78564
innings_specific,inn2_death,0.07989397805121551,0.03168238898500266,0.2584820774338062,86654
innings_phase,overall,0.16122078322381392,1.638916278949558e-17,0.48066866211965203,1587026
