method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,192529,0.04255472467417976,0.037459291846942536,0.005095432827237227,0.034992291973516866
raw,0.1-0.2,0.1,0.2,131636,0.14952200044569067,0.14677595794463522,0.0027460425010554512,0.12427292351578746
raw,0.2-0.3,0.2,0.30000000000000004,145213,0.25117092655259193,0.25520442384634984,0.004033497293757904,0.18900003079799457
raw,0.3-0.4,0.30000000000000004,0.4,158671,0.3511109104103836,0.35018371347001026,0.0009271969403733538,0.22675333363235356
raw,0.4-0.5,0.4,0.5,169507,0.4499761439869678,0.4545417003427587,0.004565556355790923,0.247242292087452
raw,0.5-0.6,0.5,0.6000000000000001,168499,0.549766168293047,0.5479557742182446,0.001810394074802435,0.2467711118845634
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,161253,0.6492448482289991,0.6460530966865733,0.0031917515424257914,0.22799351821483363
raw,0.7-0.8,0.7000000000000001,0.8,143984,0.7493611121729096,0.7465412823647072,0.00281982980820239,0.18867308085862416
raw,0.8-0.9,0.8,0.9,137374,0.8502642462221739,0.8479552171444378,0.0023090290777361133,0.12809011810801374
raw,0.9-1.0,0.9,1.0,178360,0.9544036318997243,0.9659452792105854,0.011541647310861047,0.032155499180857486
combined,0.0-0.1,0.0,0.1,195668,0.03818202260972668,0.03818202260972668,0.0,0.03558276679474727
combined,0.1-0.2,0.1,0.2,131314,0.14893309167339355,0.14893309167339355,0.0,0.1258029680827718
combined,0.2-0.3,0.2,0.30000000000000004,133185,0.2535195404887938,0.25351954048879377,5.551115123125783e-17,0.18821101894614517
combined,0.3-0.4,0.30000000000000004,0.4,161942,0.34537673982042955,0.34537673982042955,0.0,0.2252470752122399
combined,0.4-0.5,0.4,0.5,177630,0.45344817879862637,0.45344817879862637,0.0,0.24697773480395238
combined,0.5-0.6,0.5,0.6000000000000001,171718,0.550105405373927,0.550105405373927,0.0,0.24650455034126295
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,155743,0.6478236582061473,0.6478236582061473,0.0,0.22745474417846823
combined,0.7-0.8,0.7000000000000001,0.8,151347,0.7490468922410091,0.7490468922410091,0.0,0.18725114328221223
combined,0.8-0.9,0.8,0.9,123270,0.8477001703577512,0.8477001703577512,0.0,0.12843529417426916
combined,0.9-1.0,0.9,1.0,185209,0.9637004681197998,0.9637004681197998,0.0,0.033977786343116025
innings_specific,0.0-0.1,0.0,0.1,193249,0.03640381062773934,0.03640381062773934,0.0,0.03405615107994352
innings_specific,0.1-0.2,0.1,0.2,127677,0.14380037124932446,0.14380037124932446,0.0,0.12245758819105938
