method,segment,brier,ece,logloss,n_samples
raw,overall,0.1813951605025919,0.03891943947225962,0.5378997160229665,143369
raw,innings_1,0.21036644378315933,0.04622440120296591,0.6113207352965635,78313
raw,innings_2,0.14652015884938432,0.03086037771504094,0.4495170874818141,65056
raw,inn1_powerplay,0.22283652192449094,0.044674607631410145,0.63560623378589,15457
raw,inn1_middle,0.20998058712344256,0.061450077512404076,0.6087401420289482,39618
raw,inn1_setup,0.20581804993799624,0.0641131314714864,0.6036035418490693,9094
raw,inn1_death,0.2007439865533804,0.06996571621159749,0.5969709863668679,14144
raw,inn2_powerplay,0.17420642253795718,0.04760383994110141,0.5231452226620529,15437
raw,inn2_middle,0.14530857950401085,0.03209054535417353,0.4448777950993113,36365
raw,inn2_setup,0.11627450497429453,0.06256268753126705,0.3712076072087775,6720
raw,inn2_death,0.11895925042799023,0.05493465063109994,0.38192450287011764,6534
combined,overall,0.1786505538328353,6.634823324906973e-17,0.5275057830314752,143369
combined,innings_1,0.20671185231325512,0.017179624938561407,0.5983071612293787,78313
combined,innings_2,0.14487097212020128,0.02068045941671124,0.44227662152734926,65056
combined,inn1_powerplay,0.22114514725759502,0.03271629875998099,0.6308750062441169,15457
combined,inn1_middle,0.20531737265642894,0.025258016464793656,0.5936761212291298,39618
combined,inn1_setup,0.20178780914112388,0.04194209597179881,0.5861386266267161,9094
combined,inn1_death,0.1980106577216856,0.04568158291187815,0.5835116306873586,14144
combined,inn2_powerplay,0.17161642935745683,0.03662063455901357,0.5151421766315462,15437
combined,inn2_middle,0.1437854389050262,0.016519049125299723,0.4380784618548892,36365
combined,inn2_setup,0.11475326031522337,0.058426863044739506,0.36283323777277177,6720
combined,inn2_death,0.11869968582203472,0.05004421762217434,0.37519673802203635,6534
innings_specific,overall,0.17746963951941327,4.0269629188494434e-17,0.5228379489729239,143369
innings_specific,innings_1,0.2055414099791844,5.967166994656521e-17,0.5930160091785758,78313
innings_specific,innings_2,0.14367745186545272,6.580771206972912e-17,0.4383591241314763,65056
innings_specific,inn1_powerplay,0.22083851833081278,0.015796381928324128,0.6300913069841186,15457
innings_specific,inn1_middle,0.20416066750981066,0.023262963309261288,0.5879469784686469,39618
innings_specific,inn1_setup,0.199601153157429,0.0371548051899076,0.5787498971546196,9094
innings_specific,inn1_death,0.19651111776323235,0.04321998239161877,0.5758700818052406,14144
innings_specific,inn2_powerplay,0.16969617621469907,0.019875734679082192,0.5090148668530736,15437
innings_specific,inn2_middle,0.14337077538683288,0.014093283463719691,0.4369092254546813,36365
innings_specific,inn2_setup,0.11192817095043875,0.04302732569979947,0.353888843544924,6720
innings_specific,inn2_death,0.11656640352057812,0.04085793471001415,0.3663746047757963,6534
innings_phase,overall,0.17525169558967538,3.1180471431433525e-17,0.5161027539398106,143369
innings_phase,innings_1,0.20300758976926167,4.6568109341543934e-17,0.5863069897078635,78313
innings_phase,innings_2,0.1418397529420189,2.0281673536887717e-17,0.431592419524791,65056
innings_phase,inn1_powerplay,0.21713051787630258,7.668023196701829e-17,0.6184204584719675,15457
innings_phase,inn1_middle,0.20311166677383916,7.362394470812365e-17,0.5853835073822395,39618
innings_phase,inn1_setup,0.19619981058353733,1.6428712604333334e-16,0.5703337236541732,9094
innings_phase,inn1_death,0.19165921034315117,2.1546187879362383e-17,0.5640692576364603,14144
innings_phase,inn2_powerplay,0.16822238270594214,1.0438951640006472e-16,0.5029236052275262,15437
innings_phase,inn2_middle,0.14273137633045038,2.302524014677666e-17,0.43464930913352434,36365
innings_phase,inn2_setup,0.10645361886510814,4.6077559757136336e-17,0.3338629801675108,6720
innings_phase,inn2_death,0.11094019383746491,2.582704311953226e-17,0.34656617651380384,6534
brier_optimized,overall,0.1700482003274481,0.0,0.5005204326018713,143369
brier_optimized,innings_1,0.19790223641947155,0.0,0.5725129579604922,78313
brier_optimized,innings_2,0.1365181165769158,0.0,0.41385739401342925,65056
brier_optimized,inn1_powerplay,0.21357229861729252,1.413187423788572e-17,0.6096259329669094,15457
brier_optimized,inn1_middle,0.19666504437144317,0.0,0.568034870989605,39618
brier_optimized,inn1_setup,0.19293738398785076,0.0,0.5611719084455936,9094
brier_optimized,inn1_death,0.18743513313753077,1.388171252156101e-17,0.5517899021931636,14144
brier_optimized,inn2_powerplay,0.16424315983317087,0.0,0.4913000286045924,15437
brier_optimized,inn2_middle,0.1366567352338431,0.0,0.41410300147849494,36365
brier_optimized,inn2_setup,0.10313600504298943,2.0915808767491788e-17,0.32188459291156785,6720
brier_optimized,inn2_death,0.10457679874741065,4.3022416564905055e-17,0.32411814665401806,6534
ece_optimized,overall,0.17676572700481663,0.008508493708559921,0.522569686348691,143369
ece_optimized,innings_1,0.2044154143616,0.009733527031178925,0.5904364443342766,78313
ece_optimized,innings_2,0.14348163382399123,0.007427959144044954,0.4408731569259606,65056
ece_optimized,inn1_powerplay,0.21879513653094668,0.005560480126734853,0.6236996929601287,15457
ece_optimized,inn1_middle,0.2040309559100658,0.015057891873070401,0.5882512586166412,39618
ece_optimized,inn1_setup,0.19806457220781337,0.011308899806293425,0.5760235954219717,9094
ece_optimized,inn1_death,0.193861021538341,0.012657680043924133,0.5694730041306552,14144
ece_optimized,inn2_powerplay,0.16958990324691411,0.011321818554766433,0.5083693048658672,15437
ece_optimized,inn2_middle,0.1438022149619588,0.00927563647617643,0.44136270175935893,36365
ece_optimized,inn2_setup,0.10965876955540295,0.01162963757074769,0.35471054230443333,6720
ece_optimized,inn2_death,0.11480063592393966,0.029722778009923883,0.3672999149060328,6534
logloss_optimized,overall,0.18067420313730226,0.028402527123628313,0.5359058456394662,143369
logloss_optimized,innings_1,0.20839952423089414,0.035048465135595744,0.6039260436825109,78313
logloss_optimized,innings_2,0.14729906370662008,0.04097640798752866,0.454024608407774,65056
logloss_optimized,inn1_powerplay,0.22154098851456158,0.02587383435626791,0.6329716814386378,15457
logloss_optimized,inn1_middle,0.20786192785290455,0.04667303710421319,0.6024747196953192,39618
logloss_optimized,inn1_setup,0.2037971436537244,0.07203392563831079,0.5935054733142313,9094
logloss_optimized,inn1_death,0.1985030966884257,0.05737100136396862,0.5829492901373502,14144
logloss_optimized,inn2_powerplay,0.17422453494706913,0.046561512962656634,0.5235954731059544,15437
logloss_optimized,inn2_middle,0.1467455566889257,0.045935364876874364,0.45322273556522347,36365
logloss_optimized,inn2_setup,0.11758718813947472,0.05046353752867699,0.37532268656365053,6720
logloss_optimized,inn2_death,0.11732409997396925,0.04480582802898789,0.37506403025749013,6534
resource_win_prob,overall,0.18794954200510272,0.0441450442473873,0.5525830709530788,143369
resource_win_prob,innings_1,0.22148100777717405,0.059450754638765084,0.6332313376329782,78313
resource_win_prob,innings_2,0.14758509170062312,0.039224928879186584,0.4555004389360015,65056
resource_win_prob,inn1_powerplay,0.24726783100838873,0.059287310861909026,0.6876776597070251,15457
resource_win_prob,inn1_middle,0.22068035919685566,0.06953139658067936,0.6317502326690136,39618
resource_win_prob,inn1_setup,0.20873897747474307,0.060030277496473335,0.6056504982139457,9094
resource_win_prob,inn1_death,0.2037356169641421,0.05352660829716785,0.5956126844825609,14144
resource_win_prob,inn2_powerplay,0.17506052639678246,0.05246094973193492,0.5296232317652229,15437
resource_win_prob,inn2_middle,0.14239762505423373,0.032752074932039674,0.4393607428158977,36365
resource_win_prob,inn2_setup,0.11887693187529025,0.08217775386390103,0.3688875591722701,6720
resource_win_prob,inn2_death,0.14106883415816462,0.1439768767833915,0.45928449900872254,6534
