method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,63230,0.049263573142947055,0.04078760082239443,0.008475972320552624,0.03835522056381351
raw,0.1-0.2,0.1,0.2,57553,0.15018906630660675,0.1546226956023144,0.004433629295707647,0.12919947628420364
raw,0.2-0.3,0.2,0.30000000000000004,71036,0.2522504536116086,0.26182499014584154,0.009574536534232958,0.19279257885092654
raw,0.3-0.4,0.30000000000000004,0.4,89942,0.3519785865415308,0.3737742100464744,0.021795623504943573,0.23333072664441645
raw,0.4-0.5,0.4,0.5,110829,0.45114660585753413,0.461702262043328,0.010555656185793849,0.24818007231014438
raw,0.5-0.6,0.5,0.6000000000000001,109926,0.5490028604196323,0.5506431599439623,0.00164029952432998,0.24647689596452838
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,89414,0.648107313525383,0.6309861990292348,0.01712111449614817,0.23260233997945787
raw,0.7-0.8,0.7000000000000001,0.8,67808,0.7482902093828927,0.7283801321378008,0.01991007724509186,0.19713156730105036
raw,0.8-0.9,0.8,0.9,59449,0.8497477978572662,0.8377769180305809,0.011970879826685321,0.13463558658875796
raw,0.9-1.0,0.9,1.0,58987,0.945551551213333,0.966941868547307,0.021390317333974007,0.03173293031546109
combined,0.0-0.1,0.0,0.1,69118,0.044908706849156516,0.044908706849156516,0.0,0.04186604325170638
combined,0.1-0.2,0.1,0.2,33639,0.13778649781503613,0.13778649781503613,0.0,0.11826214802910223
combined,0.2-0.3,0.2,0.30000000000000004,92193,0.2517653184081221,0.2517653184081221,0.0,0.18729626034405178
combined,0.3-0.4,0.30000000000000004,0.4,64629,0.36412446424979494,0.364124464249795,5.551115123125783e-17,0.230680318215
combined,0.4-0.5,0.4,0.5,118270,0.4477805022406358,0.4477805022406358,0.0,0.24669062422686505
combined,0.5-0.6,0.5,0.6000000000000001,141705,0.5509403337920329,0.5509403337920328,1.1102230246251565e-16,0.2461318524381267
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,90280,0.6470425343376163,0.6470425343376163,0.0,0.2278371130219535
combined,0.7-0.8,0.7000000000000001,0.8,71589,0.7608431462934249,0.760843146293425,1.1102230246251565e-16,0.18117829376280403
combined,0.8-0.9,0.8,0.9,32255,0.8560533250658813,0.8560533250658813,0.0,0.12274368389300526
combined,0.9-1.0,0.9,1.0,64496,0.9618891094021335,0.9618891094021335,0.0,0.03565670620854919
innings_specific,0.0-0.1,0.0,0.1,66776,0.041107583562956754,0.041107583562956754,0.0,0.038572330057111026
innings_specific,0.1-0.2,0.1,0.2,58711,0.1543152049871404,0.1543152049871404,0.0,0.129602980275897
innings_specific,0.2-0.3,0.2,0.30000000000000004,50479,0.2619703242932705,0.2619703242932705,0.0,0.19298851485891713
innings_specific,0.3-0.4,0.30000000000000004,0.4,69428,0.3389410612433025,0.3389410612433024,5.551115123125783e-17,0.22314566629329355
innings_specific,0.4-0.5,0.4,0.5,132649,0.44435314250390134,0.4443531425039013,5.551115123125783e-17,0.24625954819885434
innings_specific,0.5-0.6,0.5,0.6000000000000001,138555,0.5492548085597777,0.5492548085597777,0.0,0.24639337922330176
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,94017,0.6459470095833731,0.6459470095833733,1.1102230246251565e-16,0.2279070294294099
innings_specific,0.7-0.8,0.7000000000000001,0.8,64792,0.7556025435238919,0.7556025435238919,0.0,0.18397806318607862
innings_specific,0.8-0.9,0.8,0.9,40096,0.8551975259377494,0.8551975259377494,0.0,0.12307147187982208
innings_specific,0.9-1.0,0.9,1.0,62671,0.9647683936749054,0.9647683936749054,0.0,0.03315334144141494
innings_phase,0.0-0.1,0.0,0.1,67449,0.04089015404231345,0.04089015404231345,0.0,0.03829102013208982
innings_phase,0.1-0.2,0.1,0.2,52080,0.14692780337941627,0.14692780337941627,0.0,0.12441109312331859
innings_phase,0.2-0.3,0.2,0.30000000000000004,65574,0.258532345136792,0.258532345136792,0.0,0.19096958057954044
innings_phase,0.3-0.4,0.30000000000000004,0.4,69312,0.3507040627885503,0.3507040627885503,0.0,0.22662079034422286
innings_phase,0.4-0.5,0.4,0.5,128903,0.44754582903423507,0.44754582903423507,0.0,0.2464826025192162
innings_phase,0.5-0.6,0.5,0.6000000000000001,118204,0.5460982707860987,0.5460982707860986,1.1102230246251565e-16,0.2470398059607746
