feature,importance
wickets_last_12,0.26370725
ml_prob_delta_12,0.19315785
runs_last_12,0.08138906
ml_prob_delta_6,0.031035218
runs_last_18,0.013373151
resource_pct,0.010467821
boundary_pct_last_18,0.010053832
phase_middle,0.008278884
dls_pressure_index,0.008189416
overs_remaining,0.008166316
ml_prob,0.008082982
rrr_times_wickets,0.00787958
wickets_lost,0.007499954
ball_number,0.007287083
is_middle_overs,0.0072247824
run_rate_diff,0.007224066
crr_minus_target_rr,0.0070509776
league_ipl,0.0069840704
chase_difficulty,0.0067344345
pressure_index,0.0064526657
league_psl,0.006393787
acceleration_potential,0.006288458
resource_win_prob,0.0062212176
required_run_rate,0.0062175784
batting_team_high_run_rate,0.006181324
wickets_last_30,0.0059778607
crr_times_res,0.0059107617
target_minus_team_avg_score,0.005873249
crr_minus_venue_avg_rr,0.005753307
target_minus_team_venue_avg_score,0.0057378486
target_minus_venue_avg_score,0.0057076435
batting_team_venue_high_run_rate,0.0056992522
resource_team_adjusted,0.0055992957
projected_score,0.0055146306
run_rate_team_adj,0.0054862117
batting_team_avg_innings_score,0.0054492424
ml_rwp_gap,0.0054011713
venue_avg_innings_score,0.0053008855
target_score,0.005289754
batting_team_venue_avg_run_rate,0.0052788826
score_adjusted_by_team,0.005169872
score_vs_par,0.005142903
target_implied_run_rate,0.0050598467
expected_final_score,0.0050234897
bowling_team_situation_wr,0.0050116456
venue_avg_run_rate,0.004956976
over,0.0049277944
batting_team_situation_wr,0.004897682
batting_team_venue_avg_innings_score,0.0048815804
situation_advantage,0.004879438
batting_team_venue_high_innings_score,0.0047760666
batting_team_high_innings_score,0.004766414
batsman_rolling_sr,0.0047168047
crr_minus_team_venue_avg_rr,0.004711581
team_strength_diff,0.004704068
batting_team_avg_run_rate,0.0046907165
wickets_times_balls,0.0046207565
bowler_rolling_econ,0.0045954315
crr_minus_team_avg_rr,0.0045702644
bowler_venue_sr,0.0045521595
bowler_rolling_sr,0.0045022257
batting_team_win_rate,0.0044443817
current_run_rate,0.004400476
batsman_venue_sr,0.004400415
bowling_team_win_rate,0.0043900823
resources_remaining,0.0043217745
score_per_wicket,0.004256718
batsman_vs_team_avg,0.0039953003
bowler_venue_econ,0.0039327135
ball,0.0038735585
batsman_rolling_avg,0.0036069707
projected_vs_team_venue_high_score,0.0036003578
runs_extras,0.0035909624
batting_pair_strength,0.003516322
projected_adjusted,0.0034461333
bowler_vs_team_econ,0.0034138863
ml_rwp_gap_delta_6,0.0033769906
batsman_venue_avg,0.0033094026
is_death_overs,0.003135547
projected_vs_team_avg_score,0.0030361838
runs_total,0.0029079928
projected_vs_venue_avg,0.0025211815
projected_vs_team_high_score,0.0024451134
projected_vs_team_venue_avg_score,0.0023899756
runs_batter,0.0007064771
innings,0.00030151044
is_super_over,0.0
is_powerplay,0.0
phase_death,0.0
phase_powerplay,0.0
