feature,importance
required_run_rate,0.07651716
is_middle_overs,0.0722225
phase_middle,0.052272893
chase_difficulty,0.034770474
pressure_index,0.03345398
rrr_times_wickets,0.024111101
resource_win_prob,0.023595914
overs_remaining,0.01836488
run_rate_diff,0.01734895
ball_number,0.016716165
league_psl,0.016356373
acceleration_potential,0.014756919
league_ipl,0.014069605
ml_prob,0.013515591
crr_times_res,0.013400564
dls_pressure_index,0.013391619
resource_pct,0.013154387
target_minus_venue_avg_score,0.011560018
target_score,0.01117038
projected_score,0.010583336
projected_vs_team_avg_score,0.010537138
projected_vs_team_venue_high_score,0.010507024
projected_vs_team_high_score,0.010424466
target_minus_team_avg_score,0.0103307925
target_implied_run_rate,0.010313682
resources_remaining,0.0103090415
score_adjusted_by_team,0.009990235
target_minus_team_venue_avg_score,0.009781641
venue_avg_run_rate,0.009574345
score_vs_par,0.009291248
current_run_rate,0.009134401
crr_minus_team_avg_rr,0.009065744
batting_team_situation_wr,0.008998897
batting_team_avg_innings_score,0.008958191
crr_minus_venue_avg_rr,0.0089082895
score_per_wicket,0.00890447
batting_team_venue_high_innings_score,0.008808102
batting_team_high_innings_score,0.008706891
crr_minus_target_rr,0.008687428
venue_avg_innings_score,0.008515277
situation_advantage,0.008504554
batting_team_high_run_rate,0.008491074
resource_team_adjusted,0.008449962
batting_team_venue_high_run_rate,0.0083338795
expected_final_score,0.008328423
bowling_team_win_rate,0.0082938885
batting_team_venue_avg_innings_score,0.008275503
over,0.008210655
team_strength_diff,0.008189542
batting_team_venue_avg_run_rate,0.008103646
batting_team_win_rate,0.008036926
projected_adjusted,0.007968961
projected_vs_venue_avg,0.007945825
crr_minus_team_venue_avg_rr,0.007915698
projected_vs_team_venue_avg_score,0.007892759
run_rate_team_adj,0.007859623
wickets_times_balls,0.007775497
runs_extras,0.0077360757
wickets_last_30,0.0076560937
batting_team_avg_run_rate,0.007612608
bowler_rolling_econ,0.007560613
bowling_team_situation_wr,0.007554113
ball,0.0073928963
wickets_lost,0.007375132
ml_rwp_gap,0.0073720217
batsman_rolling_sr,0.007346581
bowler_venue_sr,0.006785405
batsman_rolling_avg,0.006753758
bowler_rolling_sr,0.0065988554
wickets_last_12,0.006543071
batsman_venue_sr,0.0065129553
batsman_venue_avg,0.006509438
batsman_vs_team_avg,0.006313061
runs_last_18,0.006047799
ml_prob_delta_12,0.0059865955
ml_rwp_gap_delta_6,0.005959986
batting_pair_strength,0.005897806
bowler_vs_team_econ,0.005733006
bowler_venue_econ,0.0056754076
runs_total,0.0049880156
runs_last_12,0.0047410694
boundary_pct_last_18,0.0044533587
ml_prob_delta_6,0.0039342567
runs_batter,0.0033034973
innings,0.0
is_super_over,0.0
is_death_overs,0.0
is_powerplay,0.0
phase_death,0.0
phase_powerplay,0.0
