feature,importance
is_middle_overs,0.055298302
overs_remaining,0.02462796
league_psl,0.022332357
ball_number,0.019398255
batting_team_avg_run_rate,0.018990645
phase_middle,0.018966662
league_ipl,0.016166419
rrr_times_wickets,0.015852952
target_minus_team_avg_score,0.015814263
resource_win_prob,0.015518606
batting_team_venue_high_run_rate,0.015213773
projected_score,0.013908395
run_rate_diff,0.013843073
pressure_index,0.01355083
resource_pct,0.013432972
ml_rwp_gap,0.013239178
crr_minus_team_venue_avg_rr,0.0131888
chase_difficulty,0.013164284
situation_advantage,0.013116343
batting_team_avg_innings_score,0.012972322
target_implied_run_rate,0.012914915
target_score,0.012805288
team_strength_diff,0.012791806
current_run_rate,0.012648449
target_minus_venue_avg_score,0.012590958
run_rate_team_adj,0.01258629
target_minus_team_venue_avg_score,0.012573106
dls_pressure_index,0.012472105
wickets_lost,0.012212733
venue_avg_run_rate,0.012203136
batting_team_high_innings_score,0.012101959
wickets_last_30,0.012089441
bowling_team_win_rate,0.011973674
bowler_venue_sr,0.011935848
over,0.011913618
batting_team_venue_high_innings_score,0.011772712
crr_minus_target_rr,0.011729313
crr_minus_team_avg_rr,0.011686493
crr_minus_venue_avg_rr,0.011616168
bowling_team_situation_wr,0.011610355
required_run_rate,0.011468329
batting_team_situation_wr,0.01132883
venue_avg_innings_score,0.01127979
batting_team_venue_avg_run_rate,0.011192798
batting_team_high_run_rate,0.010826062
runs_last_18,0.010717092
resource_team_adjusted,0.010652779
ml_prob,0.010602188
crr_times_res,0.010424028
score_vs_par,0.010406119
batting_team_venue_avg_innings_score,0.01029905
resources_remaining,0.010268587
batsman_venue_sr,0.010058567
batsman_venue_avg,0.009997339
bowler_rolling_econ,0.009995952
batting_team_win_rate,0.009927633
projected_vs_team_avg_score,0.009792388
batsman_rolling_sr,0.0095799295
bowler_rolling_sr,0.0095335785
expected_final_score,0.009520122
ball,0.009438381
score_per_wicket,0.00941032
score_adjusted_by_team,0.009396547
ml_prob_delta_12,0.008912496
runs_extras,0.008878097
acceleration_potential,0.008874565
batsman_rolling_avg,0.008390794
batsman_vs_team_avg,0.008387397
bowler_venue_econ,0.00825055
ml_rwp_gap_delta_6,0.0077787125
batting_pair_strength,0.0077178976
ml_prob_delta_6,0.0076289796
projected_vs_team_high_score,0.007628647
projected_vs_team_venue_high_score,0.0076026665
runs_last_12,0.007363866
wickets_times_balls,0.0072759287
bowler_vs_team_econ,0.0071866806
boundary_pct_last_18,0.006802193
projected_vs_venue_avg,0.006698591
runs_total,0.0066883448
is_death_overs,0.006231083
projected_adjusted,0.0057540038
projected_vs_team_venue_avg_score,0.005277369
wickets_last_12,0.0043834145
innings,0.0037301355
runs_batter,0.0036163968
is_super_over,0.0
is_powerplay,0.0
phase_death,0.0
phase_powerplay,0.0
