feature,importance
resource_win_prob,0.22551997
score_vs_par,0.083418
dls_pressure_index,0.059062082
batting_won_toss,0.039509084
inn1_defendability,0.03940881
venue_chase_success,0.035127025
score_per_wicket,0.034246847
inn1_pp_runs,0.03238135
expected_final_score,0.030814372
situation_advantage,0.030694608
inn1_death_rr,0.030513529
inn1_wickets_lost,0.029722089
target_above_par,0.029638708
bowling_team_situation_wr,0.029545436
batting_team_situation_wr,0.02835558
chase_difficulty,0.02819576
team_strength_diff,0.027313512
batting_team_win_rate,0.026258916
bowling_team_win_rate,0.026139049
run_rate_diff,0.018320408
pressure_index,0.016884414
projected_vs_venue_avg,0.014786741
overs_remaining,0.014371424
rrr_times_wickets,0.014211179
projected_score,0.013784244
required_run_rate,0.012808254
wickets_times_balls,0.010910958
wickets_last_12,0.005963665
boundary_pct_last_18,0.004791153
runs_last_18,0.0047128727
runs_last_12,0.0025899212
is_powerplay,0.0
