method,segment,brier,ece,logloss,n_samples
raw,overall,0.19502646957640402,0.04952886100063829,0.5690318151629143,78040
raw,innings_1,0.23259140604496836,0.06507297091774387,0.6588594156803067,40473
raw,innings_2,0.1545556927325729,0.03358587111761842,0.4722555893333188,37567
raw,inn1_powerplay,0.25806645352059904,0.09094300946675823,0.7137558284165882,10216
raw,inn1_middle,0.22713126278659976,0.057847477582086165,0.6493317843943696,18246
raw,inn1_death,0.21921805568955663,0.07995401532705258,0.62664056695242,12011
raw,inn2_powerplay,0.19575458140725957,0.08392113044638033,0.589673448808071,10272
raw,inn2_middle,0.15398562675845026,0.0375280658565172,0.4698437550894796,18092
raw,inn2_death,0.1096919145230158,0.03234653184514826,0.3459401109691857,9203
combined,overall,0.19087079797582956,2.7652879274534437e-17,0.5564769439025351,78040
combined,innings_1,0.22557498904137352,0.01930466362447534,0.6401669151319743,40473
combined,innings_2,0.15348205985471894,0.020797978302057353,0.46631312444479056,37567
combined,inn1_powerplay,0.2497118706046688,0.04671156153240727,0.6933244620113448,10216
combined,inn1_middle,0.22103609176984734,0.026626343309249262,0.6315638682870254,18246
combined,inn1_death,0.21194034892528354,0.05754671136686818,0.6080225219768073,12011
combined,inn2_powerplay,0.19216040860860512,0.07823601935066338,0.571601339385679,10272
combined,inn2_middle,0.15241365308034258,0.017084700222608752,0.4629677064438053,18092
combined,inn2_death,0.1124112804308462,0.05827380501356617,0.3553715574124115,9203
innings_specific,overall,0.18939406358911795,5.111023512839017e-17,0.5525384089079444,78040
innings_specific,innings_1,0.22419467940952992,2.3673127029167844e-17,0.636148495416829,40473
innings_specific,innings_2,0.15190144176412437,4.339140617845146e-17,0.4624606536633389,37567
innings_specific,inn1_powerplay,0.2488409411133155,0.05022036746709824,0.691189151725512,10216
innings_specific,inn1_middle,0.22033551742814703,0.021391088602234248,0.6293597605755399,18246
innings_specific,inn1_death,0.2090941931841064,0.03669370754985121,0.5996462817014563,12011
innings_specific,inn2_powerplay,0.18924830787381816,0.056216618095928976,0.5640728518169802,10272
innings_specific,inn2_middle,0.15129970750585225,0.01658574171203718,0.46049372980325015,18092
innings_specific,inn2_death,0.11139938455689681,0.05560189615842302,0.3529121463333947,9203
innings_phase,overall,0.18636922925103183,2.8883723819790557e-17,0.5435551875995279,78040
innings_phase,innings_1,0.2216992473796564,8.604619335468562e-17,0.6303334941737626,40473
innings_phase,innings_2,0.14830625313582915,3.391814532335007e-17,0.450064134228777,37567
innings_phase,inn1_powerplay,0.24424266612398773,9.718798462434197e-17,0.6812606844207166,10216
innings_phase,inn1_middle,0.21898874002206659,1.7889157581924586e-18,0.6260867327260972,18246
innings_phase,inn1_death,0.20664241209154505,1.960452725420956e-16,0.5934684732605353,12011
innings_phase,inn2_powerplay,0.18245303288038217,7.24963097514918e-17,0.5420116422342142,10272
innings_phase,inn2_middle,0.1504589441443345,5.2094631946711866e-17,0.45788505958658765,18092
innings_phase,inn2_death,0.10596112575759073,9.80658803344333e-17,0.33206120216256385,9203
brier_optimized,overall,0.1829952792159469,0.0,0.5333759443989673,78040
brier_optimized,innings_1,0.21906447160175804,0.0,0.6234712501381066,40473
brier_optimized,innings_2,0.14413594992611986,0.0,0.4363113049765969,37567
brier_optimized,inn1_powerplay,0.24242351651253152,4.0209721917708293e-19,0.6774811333312508,10216
brier_optimized,inn1_middle,0.21576160527124097,7.796082704707782e-20,0.6178539583612827,18246
brier_optimized,inn1_death,0.20421375944274983,0.0,0.5860662163406514,12011
brier_optimized,inn2_powerplay,0.17966915000805564,1.558549066890066e-17,0.5342123874045412,10272
brier_optimized,inn2_middle,0.145398050814288,1.0020971695848334e-17,0.44080396440778863,18092
brier_optimized,inn2_death,0.10199415263063129,2.2438496422935903e-17,0.3182062182517285,9203
ece_optimized,overall,0.18811564151561838,0.010129022040937385,0.5488406620644222,78040
ece_optimized,innings_1,0.223942942187943,0.016017604745533476,0.6359888723411729,40473
ece_optimized,innings_2,0.14951691550313423,0.006157492163068223,0.4549510910438206,37567
ece_optimized,inn1_powerplay,0.2493776776879558,0.05658738224902071,0.6920686629813676,10216
ece_optimized,inn1_middle,0.2201737534782347,0.009771278181789947,0.6296717193982959,18246
ece_optimized,inn1_death,0.20803513761956455,0.005201397837744581,0.5978864355262118,12011
ece_optimized,inn2_powerplay,0.18343651016865048,0.007477734685746917,0.5451034659786587,10272
ece_optimized,inn2_middle,0.15176300975511695,0.009555085473240132,0.463415668724804,18092
ece_optimized,inn2_death,0.10724174288430835,0.007320793199905449,0.3376864670369742,9203
logloss_optimized,overall,0.19174641550717053,0.0262613189608485,0.5606275368469064,78040
logloss_optimized,innings_1,0.22654552498864217,0.03827879656894771,0.6435437177844462,40473
logloss_optimized,innings_2,0.1542554165441551,0.036273070664413154,0.47129736432620883,37567
logloss_optimized,inn1_powerplay,0.24558637837989886,0.010826333300916842,0.684250021158173,10216
logloss_optimized,inn1_middle,0.22275869779451207,0.04108999173581445,0.6361615389560368,18246
logloss_optimized,inn1_death,0.21610285499771867,0.0793613166067645,0.6201351456120345,12011
logloss_optimized,inn2_powerplay,0.1920917646957657,0.07563294628246704,0.5673221857760713,10272
logloss_optimized,inn2_middle,0.154908978415948,0.03842267651991939,0.4748156390226965,18092
logloss_optimized,inn2_death,0.11073925772661498,0.038451165977283756,0.35720200501491417,9203
resource_win_prob,overall,0.18555791522859805,0.027763744523939555,0.5444971345809765,78040
resource_win_prob,innings_1,0.2193347323996617,0.04141402792507329,0.6297051288285417,40473
resource_win_prob,innings_2,0.1491682881259691,0.02919397110522102,0.452697865244013,37567
resource_win_prob,inn1_powerplay,0.23948970603597397,0.032354445414617856,0.67181861169535,10216
resource_win_prob,inn1_middle,0.21659412621258356,0.053796450559587164,0.6283911179962649,18246
resource_win_prob,inn1_death,0.20635512119500457,0.07654692460858592,0.5958814755672319,12011
resource_win_prob,inn2_powerplay,0.18111167427607347,0.06718701901112117,0.5372674073211575,10272
resource_win_prob,inn2_middle,0.1536110674827371,0.062161774396985094,0.46581328704382424,18092
resource_win_prob,inn2_death,0.1047804551740493,0.03434718039042866,0.3325215588853681,9203
