method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,7480,0.049657437695574125,0.08262032085561498,0.032962883160040854,0.07486455278177467
raw,0.1-0.2,0.1,0.2,7503,0.15181804227804663,0.23017459682793548,0.07835655454988885,0.18318963142510825
raw,0.2-0.3,0.2,0.30000000000000004,7853,0.24905039022745626,0.301413472558258,0.05236308233080175,0.21269864421986825
raw,0.3-0.4,0.30000000000000004,0.4,8759,0.35090682857737854,0.3994748258933668,0.048567997315988265,0.24064741721352634
raw,0.4-0.5,0.4,0.5,8768,0.4495545379255917,0.4755930656934307,0.026038527767838993,0.2502117758966694
raw,0.5-0.6,0.5,0.6000000000000001,8644,0.5490030977567019,0.5335492827394724,0.015453815017229422,0.2484757635574287
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,7466,0.6489681829706607,0.5936244307527457,0.05534375221791499,0.24508028253637265
raw,0.7-0.8,0.7000000000000001,0.8,6875,0.7482737941548754,0.6327272727272727,0.11554652142760269,0.24575296770286123
raw,0.8-0.9,0.8,0.9,6275,0.8507410063444342,0.7619123505976095,0.08882865574682464,0.18694413209784666
raw,0.9-1.0,0.9,1.0,8417,0.9474015862502048,0.939408340263752,0.00799324598645279,0.05621682587385984
combined,0.0-0.1,0.0,0.1,4909,0.043185984925646764,0.04318598492564677,6.938893903907228e-18,0.0410773290420203
combined,0.1-0.2,0.1,0.2,3594,0.16583194212576516,0.16583194212576516,0.0,0.1376542334459353
combined,0.2-0.3,0.2,0.30000000000000004,10240,0.2521484375,0.2521484375,0.0,0.18776076829886135
combined,0.3-0.4,0.30000000000000004,0.4,7965,0.3374764595103578,0.3374764595103578,0.0,0.22293977844978807
combined,0.4-0.5,0.4,0.5,14851,0.46306646017103226,0.46306646017103226,0.0,0.24795664428623856
combined,0.5-0.6,0.5,0.6000000000000001,16916,0.569874674864034,0.5698746748640341,1.1102230246251565e-16,0.2441414812364719
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,6809,0.6594213540901748,0.6594213540901748,0.0,0.224373876762787
combined,0.7-0.8,0.7000000000000001,0.8,2215,0.7801354401805868,0.7801354401805869,1.1102230246251565e-16,0.17125317005066107
combined,0.8-0.9,0.8,0.9,3094,0.8361344537815126,0.8361344537815126,0.0,0.13591256168461022
combined,0.9-1.0,0.9,1.0,7447,0.9484356116557002,0.9484356116557002,0.0,0.0484612814214537
innings_specific,0.0-0.1,0.0,0.1,5172,0.043890177880897135,0.043890177880897135,0.0,0.041434825400856634
innings_specific,0.1-0.2,0.1,0.2,3618,0.1752349364289663,0.1752349364289663,0.0,0.14353557118238272
innings_specific,0.2-0.3,0.2,0.30000000000000004,8877,0.24501520784048664,0.24501520784048664,0.0,0.18455856615814564
