method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,4073,0.03565044200595277,0.03707341026270562,0.0014229682567528518,0.034646492886706036
raw,0.1-0.2,0.1,0.2,1789,0.1517655298320891,0.24538848518725545,0.09362295535516635,0.19116174520442972
raw,0.2-0.3,0.2,0.30000000000000004,2304,0.25252304324229147,0.3706597222222222,0.11813667897993074,0.24801155996684196
raw,0.3-0.4,0.30000000000000004,0.4,2520,0.3500349651601147,0.48333333333333334,0.13329836817321866,0.2664892209867101
raw,0.4-0.5,0.4,0.5,2897,0.4493435059235963,0.48912668277528476,0.03978317685168847,0.2528650590102831
raw,0.5-0.6,0.5,0.6000000000000001,2507,0.5484078326657074,0.5193458316713203,0.02906200099438705,0.24954266225163016
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,2265,0.6504458163205421,0.5342163355408388,0.1162294807797033,0.26441037826492836
raw,0.7-0.8,0.7000000000000001,0.8,2221,0.747445242304664,0.5839711841512832,0.16347405815338079,0.268301188110935
raw,0.8-0.9,0.8,0.9,2126,0.848797337829042,0.8015051740357478,0.04729216379329415,0.15980435709483629
raw,0.9-1.0,0.9,1.0,3419,0.9467912549275032,0.9526177244808424,0.005826469553339209,0.04482088084760333
combined,0.0-0.1,0.0,0.1,3606,0.02634498058790903,0.02634498058790904,1.0408340855860843e-17,0.025090912806310404
combined,0.1-0.2,0.1,0.2,852,0.12676056338028166,0.1267605633802817,2.7755575615628914e-17,0.11041278707598305
combined,0.2-0.3,0.2,0.30000000000000004,858,0.23426573426573427,0.23426573426573427,0.0,0.17920979620242952
combined,0.3-0.4,0.30000000000000004,0.4,2699,0.36087439792515746,0.36087439792515746,0.0,0.2303991976218832
combined,0.4-0.5,0.4,0.5,6827,0.4819100629852058,0.4819100629852058,0.0,0.2492497337105934
combined,0.5-0.6,0.5,0.6000000000000001,5088,0.5467767295597482,0.5467767295597484,2.220446049250313e-16,0.24775240764269696
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,952,0.6796218487394958,0.6796218487394958,0.0,0.21756020375365184
combined,0.7-0.8,0.7000000000000001,0.8,920,0.7934782608695652,0.7934782608695652,0.0,0.16362345274453519
combined,0.8-0.9,0.8,0.9,1014,0.8451676528599608,0.8451676528599605,2.220446049250313e-16,0.13079201845955427
combined,0.9-1.0,0.9,1.0,3305,0.9576399394856279,0.9576399394856279,0.0,0.0401633073467072
innings_specific,0.0-0.1,0.0,0.1,3986,0.026342197691921726,0.026342197691921726,0.0,0.024948907907314802
innings_specific,0.1-0.2,0.1,0.2,548,0.1624087591240876,0.1624087591240876,0.0,0.13549878602324814
innings_specific,0.2-0.3,0.2,0.30000000000000004,1914,0.2847439916405433,0.28474399164054337,5.551115123125783e-17,0.20339682594849048
innings_specific,0.3-0.4,0.30000000000000004,0.4,786,0.3575063613231552,0.3575063613231552,0.0,0.22879403705036486
innings_specific,0.4-0.5,0.4,0.5,4391,0.4495559098155318,0.4495559098155318,0.0,0.24648931852239261
innings_specific,0.5-0.6,0.5,0.6000000000000001,8196,0.5350170815031727,0.5350170815031723,4.440892098500626e-16,0.2481988966720756
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,824,0.6456310679611651,0.6456310679611651,0.0,0.22869091100355393
innings_specific,0.7-0.8,0.7000000000000001,0.8,1537,0.7820429407937542,0.782042940793754,2.220446049250313e-16,0.1702673174884325
innings_specific,0.8-0.9,0.8,0.9,653,0.8376722817764165,0.8376722817764165,0.0,0.13565422506508895
innings_specific,0.9-1.0,0.9,1.0,3286,0.9704808277541084,0.9704808277541084,0.0,0.028264994130099714
innings_phase,0.0-0.1,0.0,0.1,3694,0.01597184623714131,0.01597184623714131,0.0,0.015115006858996383
innings_phase,0.1-0.2,0.1,0.2,1256,0.14490445859872614,0.1449044585987261,2.7755575615628914e-17,0.12341382208809684
innings_phase,0.2-0.3,0.2,0.30000000000000004,1104,0.2590579710144927,0.25905797101449274,5.551115123125783e-17,0.19110012571061213
innings_phase,0.3-0.4,0.30000000000000004,0.4,2605,0.3443378119001919,0.3443378119001919,0.0,0.22504919533545129
innings_phase,0.4-0.5,0.4,0.5,6840,0.4812865497076025,0.4812865497076023,1.6653345369377348e-16,0.24903766917211453
innings_phase,0.5-0.6,0.5,0.6000000000000001,2213,0.5770447356529601,0.5770447356529598,3.3306690738754696e-16,0.2434448990958271
innings_phase,0.6-0.7,0.6000000000000001,0.7000000000000001,2546,0.6182246661429696,0.6182246661429693,2.220446049250313e-16,0.23542367604073572
innings_phase,0.7-0.8,0.7000000000000001,0.8,937,0.743863393810032,0.743863393810032,0.0,0.1902468550252947
innings_phase,0.8-0.9,0.8,0.9,1480,0.8337837837837838,0.8337837837837838,0.0,0.1374771637392795
innings_phase,0.9-1.0,0.9,1.0,3446,0.9724318049912942,0.9724318049912942,0.0,0.02619232663556315
brier_optimized,0.0-0.1,0.0,0.1,3965,0.010844892812105928,0.010844892812105928,0.0,0.010209832455643643
brier_optimized,0.1-0.2,0.1,0.2,971,0.13594232749742532,0.13594232749742532,0.0,0.11689368384270006
brier_optimized,0.2-0.3,0.2,0.30000000000000004,1703,0.25484439224897243,0.25484439224897243,0.0,0.18882551057836625
brier_optimized,0.3-0.4,0.30000000000000004,0.4,2228,0.35323159784560143,0.35323159784560143,0.0,0.2277856284405768
brier_optimized,0.4-0.5,0.4,0.5,3746,0.46235985050720774,0.4623598505072077,5.551115123125783e-17,0.24826444452379806
brier_optimized,0.5-0.6,0.5,0.6000000000000001,4980,0.5423694779116466,0.5423694779116466,0.0,0.24702882572011556
brier_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,2844,0.629746835443038,0.629746835443038,0.0,0.23225247114186048
brier_optimized,0.7-0.8,0.7000000000000001,0.8,873,0.7445589919816724,0.7445589919816724,0.0,0.18967813456791718
brier_optimized,0.8-0.9,0.8,0.9,1053,0.8480531813865148,0.8480531813865148,0.0,0.1281748162470601
brier_optimized,0.9-1.0,0.9,1.0,3758,0.9808408728046834,0.9808408728046834,0.0,0.018057178285094407
ece_optimized,0.0-0.1,0.0,0.1,3552,0.031034723764167074,0.019144144144144143,0.01189057962002293,0.018250999529101197
ece_optimized,0.1-0.2,0.1,0.2,1409,0.14687874223977354,0.13981547196593327,0.007063270273840266,0.11959495595226434
ece_optimized,0.2-0.3,0.2,0.30000000000000004,1104,0.2620766853093008,0.26811594202898553,0.006039256719684749,0.1950063113765806
ece_optimized,0.3-0.4,0.30000000000000004,0.4,2682,0.33794477689234237,0.34638329604772555,0.008438519155383184,0.22555720354122796
ece_optimized,0.4-0.5,0.4,0.5,3645,0.47358455977191505,0.4691358024691358,0.0044487573027792715,0.2480833044336918
ece_optimized,0.5-0.6,0.5,0.6000000000000001,5716,0.5468488641467908,0.5370888733379986,0.009759990808792196,0.24688452339129222
ece_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,2251,0.6270891149769919,0.6192803198578409,0.007808795119151002,0.23564427729023799
ece_optimized,0.7-0.8,0.7000000000000001,0.8,1270,0.7504058377165287,0.7795275590551181,0.029121721338589368,0.17198739652837666
ece_optimized,0.8-0.9,0.8,0.9,1086,0.842711323907392,0.8204419889502762,0.022269334957115805,0.14626130577288335
ece_optimized,0.9-1.0,0.9,1.0,3406,0.9669183642988597,0.9700528479154433,0.0031344836165836387,0.02880157746419005
logloss_optimized,0.0-0.1,0.0,0.1,3391,0.06837484079615307,0.033028605131229724,0.03534623566492334,0.03238928722128907
logloss_optimized,0.1-0.2,0.1,0.2,1947,0.14664311983152797,0.21468926553672316,0.06804614570519518,0.17386768676432815
logloss_optimized,0.2-0.3,0.2,0.30000000000000004,1838,0.2524256966219754,0.2176278563656148,0.034797840256360596,0.17150587658119446
logloss_optimized,0.3-0.4,0.30000000000000004,0.4,2137,0.35021199092497246,0.41881141787552645,0.06859942695055399,0.2467344146380347
logloss_optimized,0.4-0.5,0.4,0.5,2933,0.4589942481433278,0.5202863961813843,0.06129214803805649,0.254528627181861
logloss_optimized,0.5-0.6,0.5,0.6000000000000001,4959,0.5427814847065479,0.5353901996370236,0.007391285069524245,0.24654535879606038
logloss_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,2056,0.6544494857961497,0.5389105058365758,0.11553897995957385,0.26376695909821113
logloss_optimized,0.7-0.8,0.7000000000000001,0.8,2492,0.7506009428298113,0.6581059390048154,0.09249500382499587,0.23051127533167484
logloss_optimized,0.8-0.9,0.8,0.9,2496,0.8454233059861076,0.9166666666666666,0.07124336068055903,0.08014925180947254
logloss_optimized,0.9-1.0,0.9,1.0,1872,0.9373991521378277,0.9652777777777778,0.02787862563995014,0.03619174387208355
