method,segment,brier,ece,logloss,n_samples
raw,overall,0.1867023904351176,0.04158863440425223,0.5491826018779024,55470
raw,innings_1,0.22867132184838937,0.06928762870191998,0.6481855038478969,28916
raw,innings_2,0.14100028827551203,0.023908496650541722,0.44137331087223985,26554
raw,inn1_powerplay,0.2618033530585169,0.11262520213645841,0.7199858609128783,7316
raw,inn1_middle,0.23042130275381922,0.08199059844902956,0.6538630031542253,13027
raw,inn1_death,0.19773804976296686,0.03640053435349991,0.57828556266617,8573
raw,inn2_powerplay,0.16727806294530342,0.05789100740047528,0.5082257902789461,7296
raw,inn2_middle,0.14370049484902397,0.035697476561307014,0.4527768715076626,12723
raw,inn2_death,0.10640543407113702,0.04988830307153454,0.34453426087747097,6535
combined,overall,0.18343686516682908,2.5675033279054458e-17,0.539040404831302,55470
combined,innings_1,0.2222232060009866,0.02721870777736562,0.6322415498597026,28916
combined,innings_2,0.1412004476191715,0.029639834077363324,0.4375489417883995,26554
combined,inn1_powerplay,0.25072529535730226,0.048456319803759196,0.6948454306020964,7316
combined,inn1_middle,0.22274101885541875,0.04103615920721002,0.6338647012943712,13027
combined,inn1_death,0.1971133455337648,0.037250014682700644,0.5763504049570103,8573
combined,inn2_powerplay,0.16701099411487294,0.05032347098271556,0.5030351573430156,7296
combined,inn2_middle,0.14286398404361278,0.032956270761085184,0.4422672341509099,12723
combined,inn2_death,0.10914552471774779,0.0560215451106211,0.35525081441048095,6535
innings_specific,overall,0.18170493364650675,1.9594525709537194e-17,0.5334242528277733,55470
innings_specific,innings_1,0.22062645325310476,0.0,0.6261359178081086,28916
innings_specific,innings_2,0.1393213130641317,5.456206398794265e-18,0.43246580948321617,26554
innings_specific,inn1_powerplay,0.24855934202819135,0.04272630643015916,0.6901213946430732,7316
innings_specific,inn1_middle,0.22003728914449777,0.013996716949510164,0.6243709925274344,13027
innings_specific,inn1_death,0.19768442905670774,0.040679924976396144,0.5742140623440636,8573
innings_specific,inn2_powerplay,0.16444500469057233,0.040927390180067295,0.4966944174249504,7296
innings_specific,inn2_middle,0.1408640597316053,0.013260417168637916,0.43689758597619316,12723
innings_specific,inn2_death,0.10826839493761645,0.056664006829237765,0.3521295560994304,6535
innings_phase,overall,0.17870246337513507,4.151077254502568e-17,0.5250345702607596,55470
innings_phase,innings_1,0.21796658610601208,1.6157668953278622e-16,0.6200265738371101,28916
innings_phase,innings_2,0.13594576484060011,4.6837664507657286e-18,0.4215929503385727,26554
innings_phase,inn1_powerplay,0.24412281297407215,4.8504727359341e-16,0.6805177967785508,7316
innings_phase,inn1_middle,0.21905189244222673,5.070873567605498e-19,0.6220214036373637,13027
innings_phase,inn1_death,0.19399630249367153,2.99441641046252e-17,0.5653735428272553,8573
innings_phase,inn2_powerplay,0.16118927835291172,6.245765357146321e-17,0.4873785520785023,7296
innings_phase,inn2_middle,0.14003858410107162,1.8259385986230763e-17,0.43393085404126747,12723
innings_phase,inn2_death,0.09979433193519784,2.4285597761310807e-17,0.32412594205947365,6535
brier_optimized,overall,0.17429259474572545,2.075738775624211e-17,0.5112371030033867,55470
brier_optimized,innings_1,0.2136448189202348,1.8813434848053904e-18,0.6086673314268183,28916
brier_optimized,innings_2,0.13143995807215034,0.0,0.40514037614144705,26554
brier_optimized,inn1_powerplay,0.24078401798686655,5.38494587600105e-17,0.6732463642519183,7316
brier_optimized,inn1_middle,0.21417423951240533,6.004084753576593e-18,0.6088007599582596,13027
brier_optimized,inn1_death,0.18968037911786886,3.2181315947667255e-18,0.553354328087553,8573
brier_optimized,inn2_powerplay,0.1570770286020558,3.8803025120533844e-18,0.4741116787867047,7296
brier_optimized,inn2_middle,0.13512646800028533,2.1309161566726653e-17,0.416546111074614,12723
brier_optimized,inn2_death,0.09564018264723044,6.549211568370281e-18,0.3059315330420617,6535
ece_optimized,overall,0.1803202497612887,0.008561520293596523,0.5305666687743348,55470
ece_optimized,innings_1,0.21973110510098035,0.0129443365917955,0.6246577606103103,28916
ece_optimized,innings_2,0.13740376663247483,0.005160307879710408,0.42810609742805655,26554
ece_optimized,inn1_powerplay,0.24572721683781296,0.01465968596809011,0.6843072115270299,7316
ece_optimized,inn1_middle,0.22067031104941326,0.013672639850063001,0.6261459502109622,13027
ece_optimized,inn1_death,0.19611946514333384,0.013484649924190064,0.5714929374638729,8573
ece_optimized,inn2_powerplay,0.16267815890929063,0.011779893456480567,0.49262895881925145,7296
ece_optimized,inn2_middle,0.14154149380028563,0.006254002117361201,0.44140830779513107,12723
ece_optimized,inn2_death,0.10113042787077564,0.009753420553581386,0.3301714655672382,6535
logloss_optimized,overall,0.1831061593458945,0.018721399966780544,0.5407260462238533,55470
logloss_optimized,innings_1,0.2229587804522827,0.03075423684711833,0.6350998453767221,28916
logloss_optimized,innings_2,0.13970861502442425,0.02325757348830864,0.437957620513815,26554
logloss_optimized,inn1_powerplay,0.2480976897962171,0.021710813560936168,0.6893020402750661,7316
logloss_optimized,inn1_middle,0.22532599649227641,0.05434664601700879,0.6409794066804005,13027
logloss_optimized,inn1_death,0.1979087414795518,0.03672859238037007,0.5799107280339831,8573
logloss_optimized,inn2_powerplay,0.1656747181517858,0.04282309121629424,0.5046473440385452,7296
logloss_optimized,inn2_middle,0.1436102036287178,0.03652311111319953,0.4501002636086827,12723
logloss_optimized,inn2_death,0.10312275423947291,0.03525099898359519,0.3398613587031902,6535
