feature,importance
score_vs_par,0.20738523
resource_win_prob,0.14935015
run_rate_diff,0.081414685
dls_pressure_index,0.071650505
projected_score,0.061685573
score_vs_venue_over_par,0.050763927
score_per_wicket,0.040807802
required_run_rate,0.025994455
team_strength_diff,0.024434477
dot_pct_last_12,0.019590212
chase_difficulty,0.015274465
is_powerplay,0.013705431
target_above_par,0.0135396635
batting_recent_nrr_l5,0.013251047
inn1_wickets_lost,0.013166062
expected_final_score,0.012661632
bowling_team_win_rate,0.012514101
rrr_times_wickets,0.012125745
overs_remaining,0.012012038
situation_advantage,0.011787146
current_run_rate,0.011213945
pressure_index,0.0109545
inn1_defendability,0.01057161
batting_team_venue_wr,0.0103580365
bowling_team_situation_wr,0.010187388
venue_chase_success,0.009011471
wickets_times_balls,0.008989359
projected_vs_venue_avg,0.008430778
inn1_death_rr,0.008301554
batting_won_toss,0.008245261
batting_team_situation_wr,0.0075230864
batting_team_win_rate,0.006315886
is_low_target,0.005921244
inn1_pp_runs,0.0057017403
boundary_pct_last_18,0.004834943
set_batter_exposure,0.003881346
balls_since_wicket,0.0036775854
wickets_last_12,0.0012477019
runs_last_18,0.00084149954
runs_last_12,0.000676594
wickets_last_6,0.0
