method,segment,brier,ece,logloss,n_samples
raw,overall,0.15169110399530078,0.006228288777196079,0.45437172095731676,1226834
raw,innings_1,0.18923144053133253,0.007491144376236452,0.5562123397300411,659049
raw,innings_2,0.10811665019018933,0.010818737283873482,0.33616155696646594,567785
raw,inn1_powerplay,0.21128557113596283,0.014637458920984853,0.6091285978658479,169665
raw,inn1_middle,0.185681876772233,0.008994565010008978,0.5479203354902497,300216
raw,inn1_death,0.17508434252568275,0.012658444721497037,0.5219113766085912,189168
raw,inn2_powerplay,0.14667342477802853,0.017921981615100693,0.44324892806337896,168605
raw,inn2_middle,0.1030200441443572,0.014933995269286671,0.3226265161281124,275767
raw,inn2_death,0.06682935290431485,0.023895167347706133,0.22010450789606964,123413
combined,overall,0.15156888486229603,0.0,0.45361180769009574,1226834
combined,innings_1,0.1891439526364629,0.007010701357423368,0.5560921866307258,659049
combined,innings_2,0.10795411722754537,0.00813757975097706,0.3346590504660704,567785
combined,inn1_powerplay,0.21123825004339244,0.015690139310140967,0.6089657250840149,169665
combined,inn1_middle,0.18556499518645675,0.008717487180434077,0.5477373276552857,300216
combined,inn1_death,0.175007477758388,0.012381838516926019,0.5219292914290712,189168
combined,inn2_powerplay,0.14648411551016005,0.015407536932592664,0.4421786031905967,168605
combined,inn2_middle,0.10285487349465869,0.010040875141766905,0.32087433289320233,275767
combined,inn2_death,0.06670929525617048,0.023066007673934484,0.21856946528297247,123413
innings_specific,overall,0.15143329074888104,2.1269710828876216e-18,0.45282648447428464,1226834
innings_specific,innings_1,0.1890314602537509,0.0,0.5552477475405203,659049
innings_specific,innings_2,0.1077917080828807,5.190498197147649e-18,0.33394234522696487,567785
innings_specific,inn1_powerplay,0.2111435250090818,0.012543404863847902,0.6087131236893544,169665
innings_specific,inn1_middle,0.1854252450359495,0.00378737180762428,0.546758249911077,300216
innings_specific,inn1_death,0.17492230881753684,0.010743572252350326,0.5207677085065875,189168
innings_specific,inn2_powerplay,0.14620362662412786,0.01284927161028036,0.44159209849847664,168605
innings_specific,inn2_middle,0.10265061771088066,0.005289050944774233,0.3202469999983029,275767
innings_specific,inn2_death,0.0668017114291113,0.022352641178793528,0.21747517902347868,123413
innings_phase,overall,0.1510769710876503,0.0,0.4516340325094247,1226834
innings_phase,innings_1,0.18881883445852282,2.0772598269101092e-18,0.5546094353546436,659049
innings_phase,innings_2,0.10726859764927109,2.1610618223724173e-18,0.3321066827736291,567785
innings_phase,inn1_powerplay,0.21077748224891418,5.478644548772064e-18,0.6075850334389239,169665
innings_phase,inn1_middle,0.1853433208697979,8.885933443655759e-18,0.5464924984807373,300216
innings_phase,inn1_death,0.17463985498099965,1.7623076774048405e-18,0.5199774123463504,189168
innings_phase,inn2_powerplay,0.14578913900123522,6.043161121258191e-18,0.4401938670818642,168605
innings_phase,inn2_middle,0.1025537769001775,9.497206391956775e-18,0.31988380600495064,275767
innings_phase,inn2_death,0.06517770040884566,4.28803211102418e-17,0.21175166626465644,123413
brier_optimized,overall,0.15034530278790498,0.0,0.44931507328128933,1226834
brier_optimized,innings_1,0.1881873705591279,0.0,0.5526950727899498,659049
brier_optimized,innings_2,0.10642061840463189,0.0,0.3293180932691665,567785
brier_optimized,inn1_powerplay,0.21015324555475828,0.0,0.6058650474109905,169665
brier_optimized,inn1_middle,0.18471078948804628,0.0,0.5444773594947552,300216
brier_optimized,inn1_death,0.1740036031233154,0.0,0.518048648820522,189168
brier_optimized,inn2_powerplay,0.14516361027542063,0.0,0.43805690482384607,168605
brier_optimized,inn2_middle,0.10167189619240657,4.571864170710519e-18,0.31695928849276694,275767
brier_optimized,inn2_death,0.06410156558138315,1.3395040098424462e-18,0.2083765651853879,123413
ece_optimized,overall,0.15126959462177114,0.002061130723478166,0.4525959499380624,1226834
ece_optimized,innings_1,0.18901538729423975,0.0011671678768792916,0.555503134663654,659049
ece_optimized,innings_2,0.10745666029804334,0.0035066600715891304,0.3331477834908751,567785
ece_optimized,inn1_powerplay,0.21097255954457075,0.002054010575838516,0.608141983230017,169665
ece_optimized,inn1_middle,0.1855145923922106,0.0014179212782133967,0.5473239726501429,300216
ece_optimized,inn1_death,0.17487785352772103,0.0031009059951802795,0.5212718960875538,189168
ece_optimized,inn2_powerplay,0.14600433442442393,0.0029096580803352613,0.44157447656285154,168605
ece_optimized,inn2_middle,0.10272178378521316,0.003794866880041029,0.32085007474219396,275767
ece_optimized,inn2_death,0.06537350937581662,0.005681340203010989,0.2124961476267193,123413
logloss_optimized,overall,0.1529220141492627,0.024351071640113756,0.4612766747034721,1226834
logloss_optimized,innings_1,0.18989855464700195,0.02078705089075253,0.5593931883255059,659049
logloss_optimized,innings_2,0.11000197920911015,0.0350018140748109,0.3473892169754806,567785
logloss_optimized,inn1_powerplay,0.21142294751495308,0.015384450682041471,0.6097747308645523,169665
logloss_optimized,inn1_middle,0.1864547436534081,0.022222920313666662,0.5515332560052167,300216
logloss_optimized,inn1_death,0.17605874582791958,0.023353876092379492,0.5266799018636338,189168
logloss_optimized,inn2_powerplay,0.14887568897294787,0.04572643299538441,0.4547962263218168,168605
logloss_optimized,inn2_middle,0.10526142861298823,0.03671573976620034,0.3353437745600772,275767
logloss_optimized,inn2_death,0.0674860820306029,0.016678338482252187,0.22756696735614979,123413
resource_win_prob,overall,0.19977723535734312,0.0943678450533723,0.5814495720554461,1226834
resource_win_prob,innings_1,0.2428864053936641,0.1665735924313957,0.6807255773195133,659049
resource_win_prob,innings_2,0.14973883102600766,0.1225851170256223,0.4662162495948701,567785
resource_win_prob,inn1_powerplay,0.2617081256966283,0.1465879730178713,0.7176207412017116,169665
resource_win_prob,inn1_middle,0.23271847506310986,0.15279891414421565,0.6571572070297776,300216
resource_win_prob,inn1_death,0.2421420310645769,0.2063595971174933,0.6850380607989079,189168
resource_win_prob,inn2_powerplay,0.22731358667705523,0.22888476908813393,0.6782874649109595,168605
resource_win_prob,inn2_middle,0.13716715147884193,0.11963590803173488,0.43611971033004615,275767
resource_win_prob,inn2_death,0.07184884113141293,0.026407687706728918,0.24373859395951128,123413
