method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,196696,0.03079580912011942,0.024764102981250254,0.006031706138869167,0.02338911287566602
raw,0.1-0.2,0.1,0.2,98409,0.1496515904015318,0.14525094249509699,0.004400647906434824,0.12321033425568391
raw,0.2-0.3,0.2,0.30000000000000004,104888,0.2511938655467106,0.2573792998245748,0.006185434277864221,0.19010681721311837
raw,0.3-0.4,0.30000000000000004,0.4,113783,0.35025779410492325,0.3609678071416644,0.010710013036741128,0.22967439116166213
raw,0.4-0.5,0.4,0.5,117170,0.45052528896730293,0.45333276435947767,0.002807475392174741,0.24734791424325708
raw,0.5-0.6,0.5,0.6000000000000001,119753,0.5496671150754556,0.5412056482927359,0.008461466782719751,0.24750045001829785
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,115078,0.6498721422063869,0.6465093241106032,0.0033628180957836484,0.22755728800793495
raw,0.7-0.8,0.7000000000000001,0.8,110204,0.74940796776051,0.749056295597256,0.0003516721632540465,0.18724815607192113
raw,0.8-0.9,0.8,0.9,109703,0.8503291833112535,0.853559155173514,0.0032299718622604834,0.12372555014950015
raw,0.9-1.0,0.9,1.0,141150,0.9536812768485474,0.9680765143464399,0.01439523749789251,0.030359292550569437
combined,0.0-0.1,0.0,0.1,208438,0.028876692349763478,0.028876692349763478,0.0,0.026983695618347407
combined,0.1-0.2,0.1,0.2,87597,0.15186593148167174,0.15186593148167174,0.0,0.1280024917765431
combined,0.2-0.3,0.2,0.30000000000000004,99205,0.2552794718008165,0.2552794718008165,0.0,0.1891445636342406
combined,0.3-0.4,0.30000000000000004,0.4,91594,0.3461471275411053,0.3461471275411053,0.0,0.22549826329342573
combined,0.4-0.5,0.4,0.5,153773,0.44705507468801414,0.44705507468801414,0.0,0.24628287717284764
combined,0.5-0.6,0.5,0.6000000000000001,119405,0.5496587245090239,0.5496587245090239,0.0,0.24661342512156526
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,102758,0.6491173436618074,0.6491173436618074,0.0,0.2269162120445797
combined,0.7-0.8,0.7000000000000001,0.8,103732,0.7429819149346393,0.7429819149346393,0.0,0.19036389213990113
combined,0.8-0.9,0.8,0.9,95344,0.8362351065615036,0.8362351065615036,0.0,0.13597261038728292
combined,0.9-1.0,0.9,1.0,164988,0.9586091109656459,0.9586091109656459,0.0,0.03847210869051817
innings_specific,0.0-0.1,0.0,0.1,201481,0.026275430437609503,0.026275430437609503,0.0,0.02462404831250164
innings_specific,0.1-0.2,0.1,0.2,90986,0.1460004835908821,0.1460004835908821,0.0,0.123868224627702
innings_specific,0.2-0.3,0.2,0.30000000000000004,94015,0.24836462266659573,0.24836462266659576,2.7755575615628914e-17,0.18583555829204368
innings_specific,0.3-0.4,0.30000000000000004,0.4,100629,0.34234663963668527,0.34234663963668527,0.0,0.22423351905482827
innings_specific,0.4-0.5,0.4,0.5,160418,0.4497313269084517,0.4497313269084517,0.0,0.24650605410711807
innings_specific,0.5-0.6,0.5,0.6000000000000001,110647,0.550896092980379,0.550896092980379,0.0,0.24652751062973316
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,104108,0.6485956890920966,0.6485956890920966,0.0,0.2270263037349975
innings_specific,0.7-0.8,0.7000000000000001,0.8,120310,0.7500124677915385,0.7500124677915385,0.0,0.18670879871298215
innings_specific,0.8-0.9,0.8,0.9,88143,0.8490180729042579,0.8490180729042579,0.0,0.12731097609009231
innings_specific,0.9-1.0,0.9,1.0,156097,0.9629909607487652,0.9629909607487652,0.0,0.03443329360894771
innings_phase,0.0-0.1,0.0,0.1,209416,0.028474424112770753,0.028474424112770753,0.0,0.02657516261608301
innings_phase,0.1-0.2,0.1,0.2,84104,0.15151479121088177,0.15151479121088177,0.0,0.12778511279545335
innings_phase,0.2-0.3,0.2,0.30000000000000004,96504,0.2490052225814474,0.2490052225814474,0.0,0.18621915100212896
innings_phase,0.3-0.4,0.30000000000000004,0.4,100627,0.346149641746251,0.346149641746251,0.0,0.22556265839987352
innings_phase,0.4-0.5,0.4,0.5,160874,0.4517013314768079,0.4517013314768079,0.0,0.2467975542746079
innings_phase,0.5-0.6,0.5,0.6000000000000001,109882,0.5537940700023661,0.5537940700023661,0.0,0.2462996357291838
innings_phase,0.6-0.7,0.6000000000000001,0.7000000000000001,94152,0.6462103832101284,0.6462103832101284,0.0,0.2278796126841502
innings_phase,0.7-0.8,0.7000000000000001,0.8,125123,0.7461298082686636,0.7461298082686636,0.0,0.18844280308355615
innings_phase,0.8-0.9,0.8,0.9,83655,0.8466678620524775,0.8466678620524775,0.0,0.1290785710946269
innings_phase,0.9-1.0,0.9,1.0,162497,0.9617162162993779,0.9617162162993779,0.0,0.03548465795137175
brier_optimized,0.0-0.1,0.0,0.1,207796,0.026420142832393308,0.026420142832393308,0.0,0.02470632325777168
brier_optimized,0.1-0.2,0.1,0.2,90412,0.15163916294297217,0.15163916294297217,0.0,0.12790146734908836
brier_optimized,0.2-0.3,0.2,0.30000000000000004,96545,0.2531669169817184,0.2531669169817184,0.0,0.18818619421704746
brier_optimized,0.3-0.4,0.30000000000000004,0.4,97477,0.347507617181489,0.347507617181489,0.0,0.2259827814769235
brier_optimized,0.4-0.5,0.4,0.5,148402,0.4488753520842037,0.4488753520842037,0.0,0.2465836550706156
brier_optimized,0.5-0.6,0.5,0.6000000000000001,117395,0.5480301546062438,0.5480301546062438,0.0,0.24681228416379483
brier_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,106917,0.6503175360326234,0.6503175360326234,0.0,0.22651501743600627
brier_optimized,0.7-0.8,0.7000000000000001,0.8,110117,0.747759201576505,0.747759201576505,0.0,0.1878313461465935
brier_optimized,0.8-0.9,0.8,0.9,94431,0.8483125244887801,0.8483125244887801,0.0,0.12775151639908186
brier_optimized,0.9-1.0,0.9,1.0,157342,0.9657116345286064,0.9657116345286064,0.0,0.031911360533348906
ece_optimized,0.0-0.1,0.0,0.1,202070,0.03244209119491374,0.02622853466620478,0.006213556528708957,0.024674004370377933
ece_optimized,0.1-0.2,0.1,0.2,93629,0.14823360432073468,0.14903502120069637,0.0008014168799616861,0.12587793235665085
ece_optimized,0.2-0.3,0.2,0.30000000000000004,97370,0.25107359903121146,0.2521105063161138,0.0010369072849023553,0.1876873356218995
ece_optimized,0.3-0.4,0.30000000000000004,0.4,104674,0.3512593695125061,0.3511569253109655,0.00010244420154059686,0.22693792468779517
ece_optimized,0.4-0.5,0.4,0.5,143429,0.4502332466436663,0.4505295302902481,0.0002962836465817964,0.24688370688822422
ece_optimized,0.5-0.6,0.5,0.6000000000000001,117376,0.5485129745645505,0.5481785032715376,0.0003344712930128946,0.24674061846315684
ece_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,105217,0.6495035148646738,0.6491441497096477,0.00035936515502610344,0.22674318420886372
ece_optimized,0.7-0.8,0.7000000000000001,0.8,115411,0.7492795535283338,0.7485508313765585,0.0007287221517752185,0.1873384448860724
ece_optimized,0.8-0.9,0.8,0.9,93599,0.8483694154454656,0.850265494289469,0.001896078844003335,0.12633744350051984
ece_optimized,0.9-1.0,0.9,1.0,154059,0.9599489183664348,0.9645265774800563,0.004577659113621513,0.03314601146528226
logloss_optimized,0.0-0.1,0.0,0.1,200607,0.04983836325831643,0.03397688016868803,0.015861483089628398,0.032290751444650524
logloss_optimized,0.1-0.2,0.1,0.2,131944,0.14739092682582358,0.16049990905232522,0.013108982226501642,0.1332034935271313
logloss_optimized,0.2-0.3,0.2,0.30000000000000004,108528,0.24879449579778906,0.29007260799056467,0.04127811219277561,0.20658387041687257
logloss_optimized,0.3-0.4,0.30000000000000004,0.4,96255,0.34917760063376485,0.39101345384655345,0.0418358532127886,0.23920566463969245
logloss_optimized,0.4-0.5,0.4,0.5,92492,0.45016294421211184,0.4601803399212905,0.010017395709178645,0.24833664879834982
logloss_optimized,0.5-0.6,0.5,0.6000000000000001,94693,0.550113679771108,0.5306094431478567,0.019504236623251292,0.24876706930740314
