method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,7897,0.04406338244812098,0.08800810434342156,0.043944721895300576,0.08007751309141474
raw,0.1-0.2,0.1,0.2,5779,0.14828804608810733,0.19605468074061255,0.04776663465250522,0.15892636370230137
raw,0.2-0.3,0.2,0.30000000000000004,5335,0.24901315124028695,0.27778819119025305,0.028775039949966108,0.2003093416414568
raw,0.3-0.4,0.30000000000000004,0.4,5391,0.35198804062003347,0.3082915971062883,0.04369644351374519,0.2156052200803606
raw,0.4-0.5,0.4,0.5,5355,0.44964461049282317,0.45714285714285713,0.007498246650033957,0.24564789852001712
raw,0.5-0.6,0.5,0.6000000000000001,6063,0.5510467534043252,0.5657265380174831,0.014679784613157887,0.24608986001277297
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,5365,0.6486036491582341,0.6635601118359739,0.014956462677739757,0.22188483584391305
raw,0.7-0.8,0.7000000000000001,0.8,5172,0.750886964267354,0.7242846094354215,0.026602354831932518,0.19892503419984342
raw,0.8-0.9,0.8,0.9,5242,0.8517452237051694,0.8012209080503625,0.05052431565480686,0.16115427478039843
raw,0.9-1.0,0.9,1.0,6400,0.9471822301259413,0.923125,0.024057230125941298,0.06954885035989783
combined,0.0-0.1,0.0,0.1,4376,0.04250457038391225,0.04250457038391225,0.0,0.03989566402572149
combined,0.1-0.2,0.1,0.2,6759,0.1547566208018938,0.15475662080189378,2.7755575615628914e-17,0.13041223815297717
combined,0.2-0.3,0.2,0.30000000000000004,5990,0.24173622704507514,0.24173622704507514,0.0,0.1831066520820033
combined,0.3-0.4,0.30000000000000004,0.4,8070,0.319826517967782,0.3198265179677819,1.1102230246251565e-16,0.21718978211953258
combined,0.4-0.5,0.4,0.5,2844,0.4381153305203938,0.4381153305203938,0.0,0.24521912133227045
combined,0.5-0.6,0.5,0.6000000000000001,8939,0.5593466830741693,0.5593466830741693,0.0,0.24589613322943327
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,6958,0.6884162115550445,0.6884162115550445,0.0,0.2142700824517246
combined,0.7-0.8,0.7000000000000001,0.8,5845,0.7727972626176217,0.7727972626176219,2.220446049250313e-16,0.17512221069248576
combined,0.8-0.9,0.8,0.9,4939,0.8617128973476412,0.8617128973476412,0.0,0.11875609509431509
combined,0.9-1.0,0.9,1.0,3279,0.9740774626410491,0.9740774626410491,0.0,0.02449251077773265
innings_specific,0.0-0.1,0.0,0.1,4685,0.04567769477054429,0.04567769477054429,0.0,0.042433050238741735
innings_specific,0.1-0.2,0.1,0.2,8201,0.16119985367638093,0.16119985367638093,0.0,0.1347604362200531
innings_specific,0.2-0.3,0.2,0.30000000000000004,5866,0.27531537674735773,0.2753153767473577,5.551115123125783e-17,0.19887667225575933
innings_specific,0.3-0.4,0.30000000000000004,0.4,6441,0.32572581897220926,0.32572581897220926,0.0,0.21923402108851678
innings_specific,0.4-0.5,0.4,0.5,3484,0.4417336394948335,0.4417336394948335,0.0,0.24533174346948294
innings_specific,0.5-0.6,0.5,0.6000000000000001,7762,0.565833548054625,0.565833548054625,0.0,0.24481909423136688
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,6534,0.6781450872359962,0.6781450872359963,1.1102230246251565e-16,0.21731531617449917
innings_specific,0.7-0.8,0.7000000000000001,0.8,4816,0.7290282392026578,0.7290282392026578,0.0,0.19735161161817005
innings_specific,0.8-0.9,0.8,0.9,6758,0.8527670908552825,0.8527670908552827,2.220446049250313e-16,0.12480257240320576
innings_specific,0.9-1.0,0.9,1.0,3452,0.9788528389339514,0.9788528389339514,0.0,0.01989967281261749
innings_phase,0.0-0.1,0.0,0.1,4655,0.037379162191192264,0.037379162191192264,0.0,0.03480929628502487
innings_phase,0.1-0.2,0.1,0.2,7948,0.15928535480624056,0.15928535480624056,0.0,0.13324777037939783
innings_phase,0.2-0.3,0.2,0.30000000000000004,7559,0.26365921418177,0.2636592141817701,5.551115123125783e-17,0.19304767206731616
innings_phase,0.3-0.4,0.30000000000000004,0.4,4520,0.34446902654867256,0.34446902654867256,0.0,0.22495585747920177
innings_phase,0.4-0.5,0.4,0.5,3939,0.4315816197004316,0.4315816197004316,0.0,0.2445274479310458
innings_phase,0.5-0.6,0.5,0.6000000000000001,7245,0.5609385783298826,0.5609385783298827,1.1102230246251565e-16,0.24577976291673753
innings_phase,0.6-0.7,0.6000000000000001,0.7000000000000001,5562,0.6632506292700467,0.6632506292700467,0.0,0.22200221637759393
innings_phase,0.7-0.8,0.7000000000000001,0.8,6818,0.730859489586389,0.730859489586389,0.0,0.19593857019454994
innings_phase,0.8-0.9,0.8,0.9,5918,0.8594119635011829,0.8594119635011829,0.0,0.1204568838631248
innings_phase,0.9-1.0,0.9,1.0,3835,0.9783572359843546,0.9783572359843546,0.0,0.020390698975013694
brier_optimized,0.0-0.1,0.0,0.1,5015,0.030707876370887337,0.030707876370887337,0.0,0.028477690421174907
brier_optimized,0.1-0.2,0.1,0.2,7244,0.14784649364991717,0.14784649364991717,0.0,0.12536502160581237
brier_optimized,0.2-0.3,0.2,0.30000000000000004,6669,0.255510571300045,0.255510571300045,0.0,0.18945386142615323
brier_optimized,0.3-0.4,0.30000000000000004,0.4,6550,0.34045801526717556,0.34045801526717556,0.0,0.22387247082235007
brier_optimized,0.4-0.5,0.4,0.5,3077,0.4423139421514462,0.4423139421514462,0.0,0.24585673063903024
brier_optimized,0.5-0.6,0.5,0.6000000000000001,6327,0.5512881302354986,0.5512881302354986,0.0,0.24680442132575664
brier_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,6937,0.65518235548508,0.65518235548508,0.0,0.2252168831325897
brier_optimized,0.7-0.8,0.7000000000000001,0.8,5860,0.7389078498293515,0.7389078498293515,0.0,0.19208324032858226
brier_optimized,0.8-0.9,0.8,0.9,5235,0.8477554918815664,0.8477554918815664,0.0,0.12825916080673797
brier_optimized,0.9-1.0,0.9,1.0,5085,0.9720747295968535,0.9720747295968535,0.0,0.025884575812934005
ece_optimized,0.0-0.1,0.0,0.1,5112,0.06460814008967644,0.05672926447574335,0.007878875613933092,0.052657104019214244
ece_optimized,0.1-0.2,0.1,0.2,6826,0.1545535113589602,0.15528860240257839,0.0007350910436181857,0.13084468544298347
ece_optimized,0.2-0.3,0.2,0.30000000000000004,8677,0.2640247518319263,0.26437708885559524,0.00035233702366893604,0.19303770181152863
ece_optimized,0.3-0.4,0.30000000000000004,0.4,4110,0.34930604700301005,0.3484184914841849,0.0008875555188251338,0.22514069021585395
ece_optimized,0.4-0.5,0.4,0.5,3761,0.4401576569896068,0.421164583887264,0.018993073102342772,0.24340752628494502
ece_optimized,0.5-0.6,0.5,0.6000000000000001,7421,0.5557021680423297,0.5605713515698693,0.004869183527539511,0.24603440838796536
ece_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,8449,0.674572397828917,0.6870635578174932,0.012491159988576195,0.21357590485805358
ece_optimized,0.7-0.8,0.7000000000000001,0.8,3899,0.7467710554172864,0.7276224672993075,0.019148588117978926,0.19779651417856217
ece_optimized,0.8-0.9,0.8,0.9,5294,0.8502951800677548,0.8564412542500944,0.006146074182339589,0.12328383249674156
ece_optimized,0.9-1.0,0.9,1.0,4450,0.9560461944877372,0.9591011235955056,0.0030549291077683893,0.0378513689709963
logloss_optimized,0.0-0.1,0.0,0.1,5395,0.07524720947754406,0.06746987951807229,0.007777329959471765,0.06235378874993651
logloss_optimized,0.1-0.2,0.1,0.2,7121,0.14751774884617108,0.15798342929363854,0.010465680447467457,0.13279624404024715
logloss_optimized,0.2-0.3,0.2,0.30000000000000004,6199,0.24998741482900974,0.2734311985804162,0.02344378375140646,0.19891019957168235
logloss_optimized,0.3-0.4,0.30000000000000004,0.4,5456,0.34990417684764863,0.3101173020527859,0.0397868747948627,0.21611408046191177
logloss_optimized,0.4-0.5,0.4,0.5,5429,0.449424696471032,0.45164855406152143,0.002223857590489431,0.2452514738885122
logloss_optimized,0.5-0.6,0.5,0.6000000000000001,6118,0.5512503826779895,0.5622752533507682,0.011024870672778686,0.2469033161315512
logloss_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,5776,0.6500952779325215,0.6651662049861495,0.015070927053628003,0.2222877339378626
logloss_optimized,0.7-0.8,0.7000000000000001,0.8,5739,0.7511960618358093,0.7177208572922111,0.0334752045435982,0.20413273180679944
logloss_optimized,0.8-0.9,0.8,0.9,6748,0.8517190175304804,0.8396561944279787,0.01206282310250173,0.1334168109676374
logloss_optimized,0.9-1.0,0.9,1.0,4018,0.9263803744152739,0.9629168740666999,0.036536499651426024,0.036673631891259426
