method,segment,brier,ece,logloss,n_samples
raw,overall,0.1628682090058394,0.011104237022067323,0.4852489082375063,328855
raw,innings_1,0.20007835754932699,0.02082994794604311,0.5813606792203393,172446
raw,innings_2,0.12184281228486898,0.012668501428229773,0.3792825606558094,156409
raw,inn1_powerplay,0.22352469421452642,0.021244442129610547,0.6366647308881758,44189
raw,inn1_middle,0.1958209488972101,0.018730014993297413,0.5726806334634867,78237
raw,inn1_death,0.18602431336334477,0.030659356897453808,0.5460801914300323,50020
raw,inn2_powerplay,0.1698515427660422,0.020529239759121166,0.5098878553100807,44267
raw,inn2_middle,0.11891091371296077,0.011803616235918118,0.37249327026987844,75878
raw,inn2_death,0.06937381073041164,0.020448044631787697,0.2340601140818805,36264
combined,overall,0.16252125790776178,1.2782140775370715e-17,0.48393023406302815,328855
combined,innings_1,0.19949607500982242,0.009814639467330424,0.5799116196246752,172446
combined,innings_2,0.12175532174052114,0.010820958625036027,0.37810764064088626,156409
combined,inn1_powerplay,0.22304980884120018,0.015641120214109704,0.6354407076094506,44189
combined,inn1_middle,0.19526221421379086,0.00976978799173156,0.5713107270864254,78237
combined,inn1_death,0.18531032176760664,0.020491606814111538,0.544308524074012,50020
combined,inn2_powerplay,0.16979032254789717,0.019846521060639673,0.5093918780200416,44267
combined,inn2_middle,0.11874306759217083,0.008873346655347067,0.37142742277918,75878
combined,inn2_death,0.06942238658522695,0.018729017663744883,0.23182819642203217,36264
innings_specific,overall,0.16222551254704923,2.5917413868558677e-17,0.4827666892727868,328855
innings_specific,innings_1,0.19924938113273577,5.142199779139452e-17,0.5787365099679089,172446
innings_specific,innings_2,0.12140549552675434,9.816461532938388e-18,0.3769568464914186,156409
innings_specific,inn1_powerplay,0.22290048435496299,0.012907926301387292,0.6350922631736342,44189
innings_specific,inn1_middle,0.19514953934742402,0.009374031140018843,0.5710471607504245,78237
innings_specific,inn1_death,0.18476798811934997,0.011528279175567428,0.5409773583549651,50020
innings_specific,inn2_powerplay,0.1691549981797315,0.010420603844084058,0.5078247029907932,44267
innings_specific,inn2_middle,0.11848242276487667,0.004107854884043079,0.3705888406148668,75878
innings_specific,inn2_death,0.06923446312785778,0.015871031199909867,0.23053240755040766,36264
innings_phase,overall,0.16173432149497521,0.0,0.48100058387760775,328855
innings_phase,innings_1,0.19872591096296519,5.4528054749691064e-17,0.5769069622683436,172446
innings_phase,innings_2,0.1209498932498167,2.1609772942534167e-17,0.37526068829635073,156409
innings_phase,inn1_powerplay,0.22221774316733997,4.939837968423706e-17,0.632913282459212,44189
innings_phase,inn1_middle,0.1947979259442122,1.8645622189069424e-17,0.5698002220437753,78237
innings_phase,inn1_death,0.1841164185725825,1.8301367352152595e-17,0.5385452419971571,50020
innings_phase,inn2_powerplay,0.1687363788755534,6.356250656322726e-18,0.5060208947506185,44267
innings_phase,inn2_middle,0.11831020525282579,2.1763077412867418e-17,0.36979388260384205,75878
innings_phase,inn2_death,0.06814076812962011,5.7403159363891695e-18,0.22708200484237714,36264
brier_optimized,overall,0.16030909365942098,0.0,0.47635189573666564,328855
brier_optimized,innings_1,0.19720982799989076,1.0914173610845115e-17,0.5723470293947251,172446
brier_optimized,innings_2,0.11962483614178039,6.844088513727317e-18,0.37051414459192505,156409
brier_optimized,inn1_powerplay,0.2208914215062658,3.3132829747774904e-18,0.6294702215839041,44189
brier_optimized,inn1_middle,0.1929910135092154,7.575604403238107e-18,0.564168858326623,78237
brier_optimized,inn1_death,0.1828875859737763,1.8061655063748924e-18,0.5346744750206246,50020
brier_optimized,inn2_powerplay,0.16756795356338167,0.0,0.5020975306905805,44267
brier_optimized,inn2_middle,0.11671352951626635,3.2745711920597543e-18,0.36409198781598096,75878
brier_optimized,inn2_death,0.0671928414701703,5.936252053684587e-18,0.22332957199695222,36264
ece_optimized,overall,0.1622605415598444,0.0033958499240665206,0.48349898988475026,328855
ece_optimized,innings_1,0.1993151280085881,0.003626770776807449,0.5789315425574639,172446
ece_optimized,innings_2,0.12140665709833605,0.003473176792141452,0.37828150253940057,156409
ece_optimized,inn1_powerplay,0.22288848201190248,0.0049949749428308925,0.6349872340260428,44189
ece_optimized,inn1_middle,0.19533436170425988,0.005252112455088845,0.5715923877628362,78237
ece_optimized,inn1_death,0.18471617305655433,0.003452397757583996,0.5408897293499922,50020
ece_optimized,inn2_powerplay,0.16924069609214407,0.002168261916513571,0.5081141595070181,44267
ece_optimized,inn2_middle,0.11870245486988898,0.0037269077291931835,0.37229937624005893,75878
ece_optimized,inn2_death,0.06867447235730383,0.006217887602945641,0.2323133124157496,36264
logloss_optimized,overall,0.16379130909941086,0.02112507339711256,0.49023239715822026,328855
logloss_optimized,innings_1,0.2007860879917704,0.026124298822424244,0.5845191950517281,172446
logloss_optimized,innings_2,0.12300336441034676,0.02487750242247983,0.386278141651543,156409
logloss_optimized,inn1_powerplay,0.2236357721224095,0.022041771442548888,0.6373131205667018,44189
logloss_optimized,inn1_middle,0.1964852181598389,0.02510931383689129,0.575430839856746,78237
logloss_optimized,inn1_death,0.18732712079848798,0.03771001101075734,0.5520948622010414,50020
logloss_optimized,inn2_powerplay,0.1703292882099265,0.024931559960262945,0.5121422315723911,44267
logloss_optimized,inn2_middle,0.12065527335376038,0.03421966924770889,0.3816611520320699,75878
logloss_optimized,inn2_death,0.07014631015145827,0.013571994745928958,0.24229794834193008,36264
resource_win_prob,overall,0.2038430607929808,0.09029535784535936,0.5903069199743682,328855
resource_win_prob,innings_1,0.24199396519038108,0.14984479397117073,0.6772751909406773,172446
resource_win_prob,innings_2,0.1617804502033467,0.13688209672959117,0.49442157798601627,156409
resource_win_prob,inn1_powerplay,0.2594290214749763,0.12980483410923,0.7129355898387216,44189
resource_win_prob,inn1_middle,0.23243032270196723,0.13441396480202483,0.6565589212092301,78237
resource_win_prob,inn1_death,0.24155000267950652,0.19168420956584814,0.6781744597946072,50020
resource_win_prob,inn2_powerplay,0.2481993719024998,0.2447320369773907,0.7222993826655508,44267
resource_win_prob,inn2_middle,0.15365588489725765,0.14042144206949145,0.478550265654667,75878
resource_win_prob,inn2_death,0.07328964277556745,0.01586566928617731,0.2494628491455452,36264
