method,segment,brier,ece,logloss,n_samples
raw,overall,0.15994814030508725,0.004140588215458632,0.47775460000124575,686832
raw,innings_1,0.19798439537676554,0.009974006289575373,0.5776286443115636,366089
raw,innings_2,0.11653439602092319,0.009003621973055528,0.36376056425449543,320743
raw,inn1_powerplay,0.22213776055797102,0.011570873550044629,0.6339953101384701,94291
raw,inn1_middle,0.19515027367644242,0.01240956290469131,0.5713650009773027,166116
raw,inn1_death,0.18088922310589473,0.01773868047896854,0.5371829874223041,105682
raw,inn2_powerplay,0.15865800413105546,0.019216193113488666,0.4801918021404802,93877
raw,inn2_middle,0.11146547902062406,0.01073030342296255,0.35110850752159983,155634
raw,inn2_death,0.07209450762623631,0.024775662300664844,0.23795860556380688,71232
combined,overall,0.15980570703267408,2.320763959789225e-18,0.4769988564277541,686832
combined,innings_1,0.19781938371322969,0.007714377521279533,0.5773328779514472,366089
combined,innings_2,0.1164177332271415,0.008805020693788223,0.36247981281468294,320743
combined,inn1_powerplay,0.2219866838354874,0.010333013050083517,0.6336558168947676,94291
combined,inn1_middle,0.19496827524547733,0.01021749408756438,0.5710382006892706,166116
combined,inn1_death,0.18073847909750843,0.01769375355701296,0.5369750154221526,105682
combined,inn2_powerplay,0.1585496964701445,0.019211990433075646,0.4793702849729182,93877
combined,inn2_middle,0.11135442815148873,0.00852664138187965,0.3497620220537066,155634
combined,inn2_death,0.07195457213073475,0.023828807499172766,0.2362162485808434,71232
innings_specific,overall,0.15961877645125144,2.3539252355454288e-17,0.4760070992494601,686832
innings_specific,innings_1,0.19764086110644474,5.556130382603598e-17,0.5761955966563594,366089
innings_specific,innings_2,0.11622120596854393,6.338187833845553e-18,0.3616541536600182,320743
innings_specific,inn1_powerplay,0.2219451869386501,0.010203106934754748,0.6335152371991394,94291
innings_specific,inn1_middle,0.19476097429142764,0.003011943279545836,0.569747504013043,166116
innings_specific,inn1_death,0.180482935358625,0.010836777827875036,0.5351896082299281,105682
innings_specific,inn2_powerplay,0.15816739707386587,0.012221110854788523,0.47832128351901093,93877
innings_specific,inn2_middle,0.11117928350404027,0.00325022590267508,0.3491494888743885,155634
