method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,99337,0.03365533725063964,0.030673364406011858,0.0029819728446277838,0.028740931218206194
raw,0.1-0.2,0.1,0.2,54640,0.15127896719533862,0.14957906295754025,0.0016999042377983664,0.12642619512707032
raw,0.2-0.3,0.2,0.30000000000000004,61350,0.2508491452352084,0.25162184189079057,0.0007726966555821613,0.18716496248720646
raw,0.3-0.4,0.30000000000000004,0.4,66274,0.3504890252025412,0.35522225910613514,0.004733233903593925,0.2282462218921616
raw,0.4-0.5,0.4,0.5,69572,0.4504270259196022,0.4528114758811016,0.002384449961499391,0.24696319877066708
raw,0.5-0.6,0.5,0.6000000000000001,71294,0.5498580208785661,0.5489522259937722,0.0009057948847938091,0.2471353834007584
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,70174,0.6498750220036178,0.6532903924530453,0.003415370449427524,0.22555796150216662
raw,0.7-0.8,0.7000000000000001,0.8,65829,0.7488951897276892,0.7421349253368577,0.00676026439083155,0.19095401671715773
raw,0.8-0.9,0.8,0.9,60114,0.8503090031657007,0.8460092490933893,0.004299754072311424,0.12889298793811627
raw,0.9-1.0,0.9,1.0,68248,0.947323666076808,0.9608047122259993,0.013481046149191322,0.037177532450784284
combined,0.0-0.1,0.0,0.1,98965,0.030313747284393473,0.030313747284393473,0.0,0.028385036878317057
combined,0.1-0.2,0.1,0.2,53241,0.14723615258917,0.14723615258917,0.0,0.12481558696414094
combined,0.2-0.3,0.2,0.30000000000000004,57429,0.24383151369517145,0.24383151369517142,2.7755575615628914e-17,0.1834508665593069
combined,0.3-0.4,0.30000000000000004,0.4,66366,0.34591507699725765,0.34591507699725765,0.0,0.22567877564121108
combined,0.4-0.5,0.4,0.5,69797,0.44650916228491194,0.44650916228491194,0.0,0.24650809257457365
combined,0.5-0.6,0.5,0.6000000000000001,81392,0.548948299587183,0.548948299587183,0.0,0.2468828451760671
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,65113,0.6571652358208039,0.6571652358208039,0.0,0.22445662283158915
combined,0.7-0.8,0.7000000000000001,0.8,74435,0.7463693155101767,0.7463693155101767,0.0,0.18860143789314007
combined,0.8-0.9,0.8,0.9,45216,0.8482837933474876,0.8482837933474876,0.0,0.12798895478852473
combined,0.9-1.0,0.9,1.0,74878,0.9565025775261091,0.9565025775261091,0.0,0.04075816032587689
innings_specific,0.0-0.1,0.0,0.1,101163,0.03148384290699169,0.03148384290699169,0.0,0.02936339344290484
innings_specific,0.1-0.2,0.1,0.2,49501,0.14767378436799256,0.14767378436799256,0.0,0.1253125037758311
innings_specific,0.2-0.3,0.2,0.30000000000000004,56407,0.23796691899941497,0.23796691899941497,0.0,0.18054924655435595
innings_specific,0.3-0.4,0.30000000000000004,0.4,71144,0.34791408973349824,0.34791408973349824,0.0,0.22612799163223055
innings_specific,0.4-0.5,0.4,0.5,70777,0.44997668734193313,0.44997668734193313,0.0,0.24682564409972416
innings_specific,0.5-0.6,0.5,0.6000000000000001,72555,0.5476535042381642,0.5476535042381642,0.0,0.247207744947875
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,66706,0.6495667556141875,0.6495667556141876,1.1102230246251565e-16,0.22668336188733315
innings_specific,0.7-0.8,0.7000000000000001,0.8,78918,0.7438227020451607,0.7438227020451608,1.1102230246251565e-16,0.1897502975066654
innings_specific,0.8-0.9,0.8,0.9,46110,0.8476252439817827,0.8476252439817827,0.0,0.12845722851598393
innings_specific,0.9-1.0,0.9,1.0,73551,0.9598645837582086,0.9598645837582086,0.0,0.037539331749673596
innings_phase,0.0-0.1,0.0,0.1,100356,0.030112798437562278,0.030112798437562278,0.0,0.028127019805309905
innings_phase,0.1-0.2,0.1,0.2,55567,0.15095290370183742,0.15095290370183742,0.0,0.1273604147438138
innings_phase,0.2-0.3,0.2,0.30000000000000004,54837,0.24726006163721576,0.24726006163721576,0.0,0.1853161694015186
