method,segment,brier,ece,logloss,n_samples
raw,overall,0.1734949460244696,0.005530252884784448,0.5118891370233374,1893892
raw,innings_1,0.21196177827718848,0.008258276360044895,0.6103531518907035,994770
raw,innings_2,0.13093603775613985,0.010675503044830895,0.4029505857815597,899122
raw,inn1_powerplay,0.23327566007359116,0.010473856042503036,0.6584834159521334,253089
raw,inn1_middle,0.20989384322232932,0.01079254596846363,0.6061209676238349,449509
raw,inn1_death,0.1966805274680928,0.014748328874441151,0.5751723834275123,292172
raw,inn2_powerplay,0.17577072637652755,0.02085428844849173,0.52475751262959,252837
raw,inn2_middle,0.1286854315502209,0.012726753442070332,0.3990972997799285,433372
raw,inn2_death,0.08227523050603547,0.028474647539114207,0.26614639015998376,212913
combined,overall,0.17338318756443527,1.6166580950069055e-17,0.511002213719551,1893892
combined,innings_1,0.21188828856043337,0.006054535119903407,0.6102655224978079,994770
combined,innings_2,0.1307819395493839,0.006698612536703925,0.40117934021256696,899122
combined,inn1_powerplay,0.2332387426575033,0.010235026970381172,0.6584128395413911,253089
combined,inn1_middle,0.20979839708259107,0.007668418164262622,0.6059593129937826,449509
combined,inn1_death,0.19660913775659203,0.014529724231268651,0.575183870610226,292172
combined,inn2_powerplay,0.17568359961799707,0.01928692415043318,0.5244724221664872,252837
combined,inn2_middle,0.12849616089313312,0.00880439577744181,0.39704597505178923,433372
combined,inn2_death,0.08211319429216037,0.021596805779867907,0.26318040057277636,212913
innings_specific,overall,0.17326878594898315,1.389352761146281e-17,0.5104999654757972,1893892
innings_specific,innings_1,0.21177598270173953,8.827030292492562e-18,0.6096431029054424,994770
innings_specific,innings_2,0.13066521923196422,1.5093835674762956e-17,0.40081004706551704,899122
innings_specific,inn1_powerplay,0.23320610874549397,0.008246675292437,0.6583283032652784,253089
innings_specific,inn1_middle,0.20966532762406836,0.003243381435774279,0.6052788060326231,449509
innings_specific,inn1_death,0.19645976240349436,0.010093666576884685,0.5741848866805255,292172
innings_specific,inn2_powerplay,0.17540692556773277,0.012770138638871322,0.5237480974687452,252837
innings_specific,inn2_middle,0.12834010823868156,0.0036292761739023004,0.39657645694779103,433372
innings_specific,inn2_death,0.08226647982462038,0.022140831519764443,0.2634367141393836,212913
innings_phase,overall,0.17290238412471978,0.0,0.5095354576303753,1893892
innings_phase,innings_1,0.21157526999003123,8.84365958676854e-19,0.6091504914161987,994770
innings_phase,innings_2,0.13011550239761718,1.6784072135730595e-17,0.39932344284359045,899122
innings_phase,inn1_powerplay,0.23293283062279377,5.701819863398956e-18,0.6576628187182852,253089
innings_phase,inn1_middle,0.2095870350317204,2.1891779662667102e-17,0.6050554459443606,449509
innings_phase,inn1_death,0.19613356388845443,1.3874747891533293e-17,0.5734277780502456,292172
innings_phase,inn2_powerplay,0.17502171552115445,1.1719306234538776e-17,0.5224739115545556,252837
innings_phase,inn2_middle,0.12825968406851312,2.2214253066807952e-17,0.39630349338774995,433372
innings_phase,inn2_death,0.08056619114562555,5.100248178297547e-18,0.2592275655514674,212913
brier_optimized,overall,0.17234822978666864,0.0,0.5079374318557879,1893892
brier_optimized,innings_1,0.21103220181200386,5.397545264577152e-18,0.607713102028068,994770
brier_optimized,innings_2,0.1295490825612168,0.0,0.39754769229065745,899122
brier_optimized,inn1_powerplay,0.2325666983852984,2.156058211156014e-19,0.6567897550263,253089
brier_optimized,inn1_middle,0.20899962996500873,9.406759747108482e-19,0.6034789974534517,449509
brier_optimized,inn1_death,0.19550544064095537,1.753879698417327e-17,0.5717154947370263,292172
brier_optimized,inn2_powerplay,0.17465934852838536,9.998448910054626e-18,0.521365294820579,252837
brier_optimized,inn2_middle,0.1275781139645999,0.0,0.39411316211164776,433372
brier_optimized,inn2_death,0.07999183751893216,3.56928726924105e-18,0.25750343967047934,212913
ece_optimized,overall,0.1730716154681397,0.0013464949201618585,0.5103464895392053,1893892
ece_optimized,innings_1,0.21174733863399903,0.0007036036714216713,0.609662153506174,994770
ece_optimized,innings_2,0.13028159461034527,0.002966537483954975,0.4004656913333761,899122
ece_optimized,inn1_powerplay,0.23311089174546717,0.0014682175644425614,0.6581050891081904,253089
ece_optimized,inn1_middle,0.2097444634698782,0.0017076598817073222,0.6055000184044551,449509
ece_optimized,inn1_death,0.1963229657259874,0.001453580775969072,0.5741027674556965,292172
ece_optimized,inn2_powerplay,0.17519740270060444,0.0016952475570457366,0.5232445671952917,252837
ece_optimized,inn2_middle,0.12842029537152316,0.0031626489915893437,0.3978171454647179,433372
ece_optimized,inn2_death,0.08073204528085377,0.005555656247058772,0.2600551151069032,212913
logloss_optimized,overall,0.17407230679435165,0.015035329651750865,0.5158857441925405,1893892
logloss_optimized,innings_1,0.21216915929253316,0.012468022927939065,0.6114244957058318,994770
logloss_optimized,innings_2,0.13192273648062786,0.02577063593007977,0.4101836438736998,899122
logloss_optimized,inn1_powerplay,0.23315801030646252,0.00266171819433548,0.6582709945474952,253089
logloss_optimized,inn1_middle,0.2101860800130928,0.014904692790175955,0.6074260936227536,449509
logloss_optimized,inn1_death,0.19703890954087167,0.020763788295322463,0.5769960911243686,292172
logloss_optimized,inn2_powerplay,0.1761164394803604,0.024042440438471962,0.52682981486777,252837
logloss_optimized,inn2_middle,0.1300709594938393,0.03254650609972696,0.40737977591930863,433372
logloss_optimized,inn2_death,0.08321131449594463,0.029085179523615813,0.27737188473970015,212913
resource_win_prob,overall,0.18961036175343335,0.048749407958235305,0.5554100236253824,1893892
resource_win_prob,innings_1,0.22784896286399492,0.09024474492334311,0.6452144048407812,994770
resource_win_prob,innings_2,0.14730396370427723,0.05418257561573061,0.45605231210053654,899122
resource_win_prob,inn1_powerplay,0.2555216345340394,0.11671642331411285,0.7048733104121115,253089
resource_win_prob,inn1_middle,0.22262212988503105,0.07294524711567911,0.6344808135660458,449509
resource_win_prob,inn1_death,0.2119195092039631,0.09392952425806285,0.6100496153612027,292172
resource_win_prob,inn2_powerplay,0.19744975605334733,0.12744157731565683,0.5848946288677818,252837
resource_win_prob,inn2_middle,0.1410939992852819,0.042883968523633506,0.4409421037139399,433372
resource_win_prob,inn2_death,0.10039519345552309,0.07702852730650339,0.3338063073212895,212913
