method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,209018,0.040827544008347316,0.03546584504683807,0.005361698961509245,0.033026055640842315
raw,0.1-0.2,0.1,0.2,135406,0.15000851738775905,0.1541586044931539,0.004150087105394856,0.1294884537947599
raw,0.2-0.3,0.2,0.30000000000000004,169511,0.2520316752609303,0.2499896761862062,0.002041999074724077,0.18670008326212026
raw,0.3-0.4,0.30000000000000004,0.4,205676,0.35112299955107723,0.3500359789182987,0.0010870206327785459,0.2266560346222944
raw,0.4-0.5,0.4,0.5,242272,0.4511593909698023,0.4529619601109497,0.0018025691411474032,0.2469728278017215
raw,0.5-0.6,0.5,0.6000000000000001,252899,0.5492314571895064,0.5530547768081329,0.003823319618626475,0.24634530188352483
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,209764,0.6482102209679499,0.6399382162811541,0.008272004686795786,0.22987742394159366
raw,0.7-0.8,0.7000000000000001,0.8,170588,0.7482340415538206,0.7394189509226909,0.008815090631129618,0.19190887405641083
raw,0.8-0.9,0.8,0.9,143937,0.8492644174550688,0.8522756483739414,0.003011230918872676,0.12472921011203743
raw,0.9-1.0,0.9,1.0,154821,0.947246321288143,0.9675625399655086,0.02031621867736555,0.031217493334545075
combined,0.0-0.1,0.0,0.1,202093,0.032935331753202735,0.032935331753202735,0.0,0.030708183090861572
combined,0.1-0.2,0.1,0.2,130081,0.14682390203027343,0.14682390203027346,2.7755575615628914e-17,0.12445558355742563
combined,0.2-0.3,0.2,0.30000000000000004,195471,0.2502775347749794,0.2502775347749794,0.0,0.18666488314438276
combined,0.3-0.4,0.30000000000000004,0.4,189115,0.35321894085609284,0.35321894085609284,0.0,0.22776725591172556
combined,0.4-0.5,0.4,0.5,249574,0.45308004840247784,0.45308004840247784,0.0,0.24692378571459228
combined,0.5-0.6,0.5,0.6000000000000001,230184,0.5505421749556876,0.5505421749556876,0.0,0.24673814221059664
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,243260,0.6407341938666449,0.6407341938666448,1.1102230246251565e-16,0.22929072287067384
combined,0.7-0.8,0.7000000000000001,0.8,165371,0.746654492020971,0.746654492020971,0.0,0.18823817353276115
combined,0.8-0.9,0.8,0.9,119030,0.8500882130555322,0.8500882130555322,0.0,0.12654040709514938
combined,0.9-1.0,0.9,1.0,169713,0.9622362458974858,0.9622362458974858,0.0,0.035487027852475754
innings_specific,0.0-0.1,0.0,0.1,211647,0.035908848223693224,0.035908848223693224,0.0,0.03328103747534702
innings_specific,0.1-0.2,0.1,0.2,124722,0.1521624091980565,0.1521624091980565,0.0,0.12823785520408607
innings_specific,0.2-0.3,0.2,0.30000000000000004,172821,0.24491815230787925,0.24491815230787925,0.0,0.18414159368180968
innings_specific,0.3-0.4,0.30000000000000004,0.4,216336,0.351351601212928,0.351351601212928,0.0,0.22696077531014106
innings_specific,0.4-0.5,0.4,0.5,243048,0.45553141766235483,0.4555314176623548,5.551115123125783e-17,0.24720759404053355
innings_specific,0.5-0.6,0.5,0.6000000000000001,242968,0.5537437028744526,0.5537437028744526,0.0,0.24635373439928193
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,233908,0.644941600971322,0.644941600971322,0.0,0.2281472916895402
innings_specific,0.7-0.8,0.7000000000000001,0.8,164970,0.7487906892162212,0.7487906892162212,0.0,0.1872087110963713
innings_specific,0.8-0.9,0.8,0.9,115481,0.8536902174383666,0.8536902174383665,1.1102230246251565e-16,0.12415136431397471
innings_specific,0.9-1.0,0.9,1.0,167991,0.9641349834217309,0.9641349834217309,0.0,0.033723987961785384
innings_phase,0.0-0.1,0.0,0.1,206549,0.03408876344112051,0.03408876344112051,0.0,0.031621280605047486
innings_phase,0.1-0.2,0.1,0.2,145029,0.15303835784567224,0.15303835784567224,0.0,0.12864208301620939
innings_phase,0.2-0.3,0.2,0.30000000000000004,156088,0.25015375941776435,0.25015375941776435,0.0,0.18687153831066883
innings_phase,0.3-0.4,0.30000000000000004,0.4,215657,0.3488502575849613,0.3488502575849613,0.0,0.22625015817963237
innings_phase,0.4-0.5,0.4,0.5,247276,0.45449619049159645,0.45449619049159645,0.0,0.24709316421125724
innings_phase,0.5-0.6,0.5,0.6000000000000001,241950,0.5537177102707171,0.5537177102707171,0.0,0.24642894770031976
innings_phase,0.6-0.7,0.6000000000000001,0.7000000000000001,228882,0.6454810775858303,0.6454810775858303,0.0,0.22799312582208264
innings_phase,0.7-0.8,0.7000000000000001,0.8,164192,0.7489524459169753,0.7489524459169753,0.0,0.18720989501136287
innings_phase,0.8-0.9,0.8,0.9,115275,0.8499154196486662,0.8499154196486662,0.0,0.12683758405497544
innings_phase,0.9-1.0,0.9,1.0,172994,0.962761714279108,0.962761714279108,0.0,0.0349297959308138
brier_optimized,0.0-0.1,0.0,0.1,205350,0.032203554906257606,0.032203554906257606,0.0,0.02993405162322702
brier_optimized,0.1-0.2,0.1,0.2,145312,0.15009772076635103,0.15009772076635103,0.0,0.1266585820469244
brier_optimized,0.2-0.3,0.2,0.30000000000000004,168958,0.25286757655748765,0.25286757655748765,0.0,0.1881078714125327
brier_optimized,0.3-0.4,0.30000000000000004,0.4,198596,0.35092348284960423,0.35092348284960423,0.0,0.22693528700114207
brier_optimized,0.4-0.5,0.4,0.5,236902,0.44950654701100035,0.44950654701100035,0.0,0.2466137589301384
brier_optimized,0.5-0.6,0.5,0.6000000000000001,262587,0.5512953801978011,0.5512953801978011,0.0,0.24655001995425177
brier_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,217477,0.6462200600523273,0.6462200600523273,0.0,0.22779800006388537
brier_optimized,0.7-0.8,0.7000000000000001,0.8,166690,0.7476393304937309,0.7476393304937309,0.0,0.18782285485833097
brier_optimized,0.8-0.9,0.8,0.9,115971,0.847987859033724,0.847987859033724,0.0,0.12818399922429494
brier_optimized,0.9-1.0,0.9,1.0,176049,0.9628739725871774,0.9628739725871774,0.0,0.03480523898709632
ece_optimized,0.0-0.1,0.0,0.1,203489,0.0398237414730154,0.033441611094457195,0.006382130378558205,0.03121245172429595
ece_optimized,0.1-0.2,0.1,0.2,140990,0.14958615714028523,0.1498191361089439,0.00023297896865867584,0.12646982956062872
ece_optimized,0.2-0.3,0.2,0.30000000000000004,173285,0.25069874318359464,0.2511642669590559,0.000465523775461274,0.1872178882884417
ece_optimized,0.3-0.4,0.30000000000000004,0.4,201534,0.35112582694390815,0.3508936457371957,0.00023218120671242293,0.22695967635973288
ece_optimized,0.4-0.5,0.4,0.5,237748,0.4507871197920593,0.45095647492302776,0.00016935513096844046,0.24676599159785897
ece_optimized,0.5-0.6,0.5,0.6000000000000001,260197,0.5517153356345537,0.551728113698467,1.2778063913310156e-05,0.24646399791684448
