method,segment,brier,ece,logloss,n_samples
raw,overall,0.1377943681877545,0.007104879641044217,0.4171188671517601,414237
raw,innings_1,0.1708905269299608,0.010166223060942845,0.5079555460237731,224939
raw,innings_2,0.09846686947507326,0.010025606797588009,0.30917947154910336,189298
raw,inn1_powerplay,0.19510087694258807,0.010230153470133837,0.5701504402078578,57732
raw,inn1_middle,0.16725869003981983,0.011893650527466795,0.4995171697701299,102943
raw,inn1_death,0.15495874954375358,0.021309773113467555,0.465599579007142,64264
raw,inn2_powerplay,0.13834133665051807,0.023388083804596695,0.4239346706794583,57284
raw,inn2_middle,0.09238583901096406,0.009395239141534954,0.2931653940164709,92127
raw,inn2_death,0.05524622404896472,0.01813407508443898,0.18136068582607523,39887
combined,overall,0.1375870466477807,1.9835892509000363e-17,0.41614743996592635,414237
combined,innings_1,0.1706391505424447,0.0060440365234517785,0.5070961495100867,224939
combined,innings_2,0.09831189742295098,0.00718200684396409,0.3080749205724098,189298
combined,inn1_powerplay,0.19504553507996775,0.013373311325414436,0.5697062089493606,57732
combined,inn1_middle,0.1670267764512544,0.010611934707954447,0.49869534328784804,102943
combined,inn1_death,0.15450008720914946,0.01703334265029,0.4643070334169047,64264
combined,inn2_powerplay,0.13819817931648676,0.019971984146160398,0.4227540182480908,57284
combined,inn2_middle,0.09218516420246463,0.004229183780273077,0.291838563872835,92127
combined,inn2_death,0.05517984385698813,0.017655777506256937,0.18087882666732819,39887
innings_specific,overall,0.13746373221548114,1.204814046692465e-17,0.4157245920205388,414237
innings_specific,innings_1,0.17056002984005325,2.7082104444733234e-17,0.5067849722846586,224939
innings_specific,innings_2,0.09813606847168234,2.0093020376414726e-17,0.30751937656009637,189298
innings_specific,inn1_powerplay,0.19507372791625985,0.015813272345244475,0.5697994523527922,57732
innings_specific,inn1_middle,0.1669305149584046,0.006628668687426956,0.4984553075361836,102943
innings_specific,inn1_death,0.15435201809360108,0.013721054613543901,0.46351858231373805,64264
innings_specific,inn2_powerplay,0.13768005775587927,0.011380953861833819,0.42155074750861893,57284
innings_specific,inn2_middle,0.09211765511502523,0.0044565448876230165,0.29157391508653596,92127
innings_specific,inn2_death,0.055245414503041164,0.01661640324749456,0.18058163934645616,39887
innings_phase,overall,0.13695297082236466,0.0,0.4140119402256437,414237
innings_phase,innings_1,0.17005760392871533,2.285409241271778e-17,0.5051119119372113,224939
innings_phase,innings_2,0.09761540219348631,2.9650247234479387e-18,0.305759679045767,189298
innings_phase,inn1_powerplay,0.1942870379827069,4.271124051985853e-17,0.5669893985478995,57732
innings_phase,inn1_middle,0.16670573578860484,4.724619475124958e-17,0.4976621697486964,102943
innings_phase,inn1_death,0.1536602068656996,3.4396566988089605e-17,0.4614574203572291,64264
innings_phase,inn2_powerplay,0.13722723995140343,3.225391309233268e-17,0.41979496137202127,57284
innings_phase,inn2_middle,0.09194403917104055,1.3702295033751438e-17,0.290980237730543,92127
innings_phase,inn2_death,0.05382572503161238,1.8835408046828376e-17,0.1761231678333545,39887
brier_optimized,overall,0.13577785069332862,0.0,0.41003790206296503,414237
brier_optimized,innings_1,0.16885378095880482,6.380577912608179e-18,0.5011497607816034,224939
brier_optimized,innings_2,0.09647438907204389,0.0,0.3017715157920492,189298
brier_optimized,inn1_powerplay,0.19326130777728898,3.092574580909973e-17,0.5638321073649788,57732
brier_optimized,inn1_middle,0.16532484489368246,0.0,0.4931604468139104,102943
brier_optimized,inn1_death,0.15258003402532982,3.512032221399976e-17,0.45763654521495356,64264
brier_optimized,inn2_powerplay,0.136247955584304,9.223433025262063e-18,0.4165245902282933,57284
brier_optimized,inn2_middle,0.09068126051028688,5.841122581173959e-18,0.28657035588101226,92127
brier_optimized,inn2_death,0.052733685858482544,9.704396358100654e-18,0.17207818571253194,39887
ece_optimized,overall,0.13732979866635134,0.003137870386271833,0.41578919900221567,414237
ece_optimized,innings_1,0.17046599955433855,0.0034951029303796678,0.5069882435927237,224939
ece_optimized,innings_2,0.09795471867848586,0.004827055668707003,0.3074192115161128,189298
ece_optimized,inn1_powerplay,0.19474645947021121,0.004428336511541933,0.5684598589256027,57732
ece_optimized,inn1_middle,0.16704308553972297,0.0035493079649172006,0.4993836115243355,102943
ece_optimized,inn1_death,0.15413656978873747,0.0046139635094655795,0.463946483705669,64264
ece_optimized,inn2_powerplay,0.13761938140760696,0.005886435826232282,0.42175663952426307,57284
ece_optimized,inn2_middle,0.09222537268424232,0.0047871373811532196,0.29255138551974985,92127
ece_optimized,inn2_death,0.05422309982113139,0.005308686546306361,0.17755291371352167,39887
logloss_optimized,overall,0.13951127502039967,0.030292265357184604,0.42659867116808503,414237
logloss_optimized,innings_1,0.17229118776065044,0.03062208768948914,0.5148072777739507,224939
logloss_optimized,innings_2,0.10055956506108017,0.03049064375134336,0.3217821608968894,189298
logloss_optimized,inn1_powerplay,0.19573174468779225,0.026290534169188647,0.5725798542142919,57732
logloss_optimized,inn1_middle,0.1685540264657139,0.030650081301470164,0.5064809796137337,102943
logloss_optimized,inn1_death,0.15721967591368938,0.04547014015843012,0.47624459459913204,64264
logloss_optimized,inn2_powerplay,0.13958354758163416,0.03455535091885035,0.43093934582916915,57284
logloss_optimized,inn2_middle,0.09494782936170035,0.03382662557379854,0.3075064210722736,92127
logloss_optimized,inn2_death,0.057476419175687736,0.02308450657210165,0.19798796482201939,39887
resource_win_prob,overall,0.22082262363331268,0.14690218626316096,0.6375041412617606,414237
resource_win_prob,innings_1,0.26528298005608264,0.2304536259484189,0.7348689817432803,224939
resource_win_prob,innings_2,0.16799127774808706,0.1892687957066127,0.5218074627280597,189298
resource_win_prob,inn1_powerplay,0.26651302327277715,0.1671272097329641,0.7274374755967815,57732
resource_win_prob,inn1_middle,0.25118285418220604,0.2189760826763008,0.6997966851314088,102943
resource_win_prob,inn1_death,0.2867646245669794,0.3057289495823709,0.797726618102137,64264
resource_win_prob,inn2_powerplay,0.27303166298402837,0.31603504804755195,0.8180475328082223,57284
resource_win_prob,inn2_middle,0.14964461487879183,0.18379222869986303,0.47526821748817527,92127
resource_win_prob,inn2_death,0.059512063525505816,0.02000561108251165,0.203851859943764,39887
