method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,81879,0.025719912010279174,0.02087226272914911,0.004847649281130063,0.01978527711785924
raw,0.1-0.2,0.1,0.2,32070,0.14878066917708885,0.14664795759276583,0.002132711584323016,0.1242972808067182
raw,0.2-0.3,0.2,0.30000000000000004,31106,0.25070383666118906,0.26560792130135663,0.01490408464016757,0.19401576853840358
raw,0.3-0.4,0.30000000000000004,0.4,33547,0.3500370444917235,0.3520732107192894,0.002036166227565861,0.2277071834312464
raw,0.4-0.5,0.4,0.5,34568,0.4498886121311497,0.4591819023374219,0.009293290206272176,0.2470642237837968
raw,0.5-0.6,0.5,0.6000000000000001,34361,0.5500975673788383,0.5487907802450452,0.0013067871337930637,0.24721409561178648
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,33464,0.6493380293511569,0.6379990437485059,0.011338985602651008,0.2301163795537544
raw,0.7-0.8,0.7000000000000001,0.8,32997,0.749758996090462,0.7388853532139286,0.010873642876533474,0.1918944091709632
raw,0.8-0.9,0.8,0.9,38394,0.8528122924600839,0.8556284836172319,0.0028161911571479292,0.1223327923955638
raw,0.9-1.0,0.9,1.0,61851,0.9535924989641423,0.965449224749802,0.01185672578565966,0.03290046422129546
combined,0.0-0.1,0.0,0.1,85065,0.02341738670428496,0.02341738670428496,0.0,0.022017271125066223
combined,0.1-0.2,0.1,0.2,30229,0.1546528168315194,0.1546528168315194,0.0,0.13002850165493604
combined,0.2-0.3,0.2,0.30000000000000004,20723,0.2494329971529219,0.2494329971529219,0.0,0.18662549680033627
combined,0.3-0.4,0.30000000000000004,0.4,45154,0.34590512468441337,0.34590512468441337,0.0,0.2255059283246106
combined,0.4-0.5,0.4,0.5,25548,0.45299044935024263,0.4529904493502427,5.551115123125783e-17,0.24711499338420176
combined,0.5-0.6,0.5,0.6000000000000001,47829,0.551255514436848,0.551255514436848,0.0,0.2464864228143702
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,31380,0.654302103250478,0.654302103250478,0.0,0.22538425093606085
combined,0.7-0.8,0.7000000000000001,0.8,34385,0.757975861567544,0.757975861567544,0.0,0.1823812664238672
combined,0.8-0.9,0.8,0.9,30618,0.8646874387615131,0.8646874387615129,2.220446049250313e-16,0.11622210159042769
combined,0.9-1.0,0.9,1.0,63306,0.9643161785612738,0.9643161785612738,0.0,0.03373236225746378
innings_specific,0.0-0.1,0.0,0.1,83379,0.021672123676225428,0.021672123676225428,0.0,0.020456223341310215
innings_specific,0.1-0.2,0.1,0.2,31642,0.15150749004487707,0.15150749004487707,0.0,0.12778087448545544
innings_specific,0.2-0.3,0.2,0.30000000000000004,21730,0.250483202945237,0.250483202945237,0.0,0.18700176247136757
innings_specific,0.3-0.4,0.30000000000000004,0.4,43405,0.34530584034097456,0.34530584034097456,0.0,0.2252513194976318
innings_specific,0.4-0.5,0.4,0.5,27011,0.4508533560401318,0.4508533560401318,0.0,0.2468446306628317
innings_specific,0.5-0.6,0.5,0.6000000000000001,44953,0.5493515449469445,0.5493515449469446,1.1102230246251565e-16,0.24679627666086398
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,37950,0.6561791831357049,0.6561791831357049,0.0,0.2245747146041103
innings_specific,0.7-0.8,0.7000000000000001,0.8,27798,0.7612777897690481,0.7612777897690481,0.0,0.18096733313260607
innings_specific,0.8-0.9,0.8,0.9,28460,0.8531974701335208,0.8531974701335208,0.0,0.12468978296953045
innings_specific,0.9-1.0,0.9,1.0,67909,0.9609919156518282,0.9609919156518282,0.0,0.03666016921872322
innings_phase,0.0-0.1,0.0,0.1,84584,0.022072732431665562,0.022072732431665562,0.0,0.02072131386381851
innings_phase,0.1-0.2,0.1,0.2,29706,0.1529657308287888,0.1529657308287888,0.0,0.12876319912100062
