method,segment,brier,ece,logloss,n_samples
raw,overall,0.1731791842448297,0.04466188032571021,0.5130933644746124,15141
raw,innings_1,0.21236231663325705,0.06990385167996399,0.6161508489647415,7985
raw,innings_2,0.12945680971693807,0.029654159150344084,0.39809699588130865,7156
raw,inn1_powerplay,0.2629807024617075,0.16454893864610384,0.7292114461515964,2013
raw,inn1_middle,0.20239313952690616,0.06698075773799882,0.5943401615724871,3607
raw,inn1_death,0.1844824059144143,0.06789285802903712,0.5531826321726582,2365
raw,inn2_powerplay,0.1585666629013856,0.06344611702163136,0.4768847141545072,2018
raw,inn2_middle,0.10977195986826843,0.03338419441123361,0.34226239578542395,3519
raw,inn2_death,0.13595915863062152,0.06619460018777687,0.4212522412562957,1619
combined,overall,0.1678622763288985,2.6772095903735056e-17,0.4969380685851643,15141
combined,innings_1,0.20339182922204557,0.021302648233846356,0.5903573092941565,7985
combined,innings_2,0.12821673694212102,0.023770492753949598,0.3926965038756474,7156
combined,inn1_powerplay,0.24581275302352779,0.10913866468678873,0.6865980739028877,2013
combined,inn1_middle,0.19613507894607893,0.03945952266291682,0.5746651241933227,3607
combined,inn1_death,0.17835241215355846,0.047404534867563575,0.5323738219797088,2365
combined,inn2_powerplay,0.15566501529088062,0.048411273762276504,0.46744660951547656,2018
combined,inn2_middle,0.10901965626271604,0.03270160811924265,0.3393024563933892,3519
combined,inn2_death,0.13572995572101498,0.06740868017335197,0.4155797280318496,1619
innings_specific,overall,0.16598337528725862,4.84957237244213e-17,0.4909998059296596,15141
innings_specific,innings_1,0.20222685274546942,5.5472915623020893e-17,0.5863402662834504,7985
innings_specific,innings_2,0.12554120542926347,1.487072064146468e-17,0.3846144543470689,7156
innings_specific,inn1_powerplay,0.24412521130779719,0.0726644010524451,0.6834385179502448,2013
innings_specific,inn1_middle,0.19537833203061253,0.02964789555245299,0.5710538877663225,3607
innings_specific,inn1_death,0.17700960895372445,0.028503732276560424,0.5270079985058705,2365
innings_specific,inn2_powerplay,0.15347207851401692,0.045495379040003704,0.4602946876186262,2018
innings_specific,inn2_middle,0.10720443533220123,0.02242840191202864,0.3326063406387582,3519
innings_specific,inn2_death,0.13058295471062828,0.05781609041489067,0.4033259067235624,1619
innings_phase,overall,0.1614133209278598,1.3829209592781488e-17,0.47836450980838946,15141
innings_phase,innings_1,0.19738039999746046,4.706108181089541e-17,0.5743940555857637,7985
innings_phase,innings_2,0.12127956933887696,8.429262815352926e-18,0.3712102444321549,7156
innings_phase,inn1_powerplay,0.23349506713527932,6.21570466345033e-17,0.658633032345188,2013
innings_phase,inn1_middle,0.1924659481678658,5.486477797045582e-17,0.563855488704682,3607
innings_phase,inn1_death,0.1741362574185676,5.956006183903456e-17,0.5187659585554637,2365
innings_phase,inn2_powerplay,0.1485769331252925,3.863842953330304e-17,0.447722133151941,2018
innings_phase,inn2_middle,0.10523135198576233,2.1974149947468644e-17,0.32373821954117854,3519
innings_phase,inn2_death,0.12213663959497557,7.094043971431281e-17,0.3790256021559458,1619
brier_optimized,overall,0.15286232425887553,1.461379359406867e-17,0.4529355558891051,15141
brier_optimized,innings_1,0.1905029382952415,0.0,0.5544717787361707,7985
brier_optimized,innings_2,0.11086116396256723,0.0,0.33963668229578226,7156
brier_optimized,inn1_powerplay,0.22934909876258366,0.0,0.6480499233749755,2013
brier_optimized,inn1_middle,0.18434085259488533,2.886123940028948e-17,0.5402982726181796,3607
brier_optimized,inn1_death,0.16683668971191173,1.0937926627385263e-17,0.4964383882117223,2365
brier_optimized,inn2_powerplay,0.13897294708993074,5.886712766843001e-18,0.41910171497955045,2018
brier_optimized,inn2_middle,0.09303666812073258,2.2084572811526276e-19,0.28686424232457486,3519
brier_optimized,inn2_death,0.11456395736367694,0.0,0.3552918894006831,1619
ece_optimized,overall,0.16507220362347325,0.010610374871459978,0.4908576128780901,15141
ece_optimized,innings_1,0.20189696022600176,0.011534735451911934,0.5878749568542414,7985
ece_optimized,innings_2,0.12398141526808056,0.01247771939160768,0.3826011160014035,7156
ece_optimized,inn1_powerplay,0.2374828066804025,0.023340098035517155,0.6678046276217344,2013
ece_optimized,inn1_middle,0.1970330584959431,0.018955896644523164,0.5771131961792981,3607
ece_optimized,inn1_death,0.17902583321864995,0.03156712480905789,0.5362551866637794,2365
ece_optimized,inn2_powerplay,0.1511910543024292,0.012988772358594086,0.4582404533764524,2018
ece_optimized,inn2_middle,0.10731898799727137,0.011536688201605074,0.3330213942465165,3519
ece_optimized,inn2_death,0.12628285442475867,0.026126433661700497,0.39608527784982805,1619
logloss_optimized,overall,0.16935983339349955,0.02616641953637146,0.506836229367257,15141
logloss_optimized,innings_1,0.2047335436012919,0.04066447800619416,0.5955745049784067,7985
logloss_optimized,innings_2,0.12988819057499454,0.03178040216004949,0.4078179047787953,7156
logloss_optimized,inn1_powerplay,0.2375279069762723,0.012008056281278715,0.6679812071367602,2013
logloss_optimized,inn1_middle,0.20046014976706208,0.06150343735146129,0.5865359953072845,3607
logloss_optimized,inn1_death,0.1833378049485357,0.05288595057343451,0.547729774720044,2365
logloss_optimized,inn2_powerplay,0.15814172816655822,0.05156811825371182,0.48286438446563057,2018
logloss_optimized,inn2_middle,0.11183361309416616,0.037029355525805545,0.35812447557750515,3519
logloss_optimized,inn2_death,0.13391439149856432,0.04126178444971162,0.42228818356280196,1619
