method,segment,brier,ece,logloss,n_samples
raw,overall,0.17288669466453588,0.04363386488009547,0.5201926729826042,17062
raw,innings_1,0.21562487993063503,0.09252497228667088,0.6293522369995582,8983
raw,innings_2,0.12536631859752653,0.04399436336975124,0.39881869556407495,8079
raw,inn1_powerplay,0.25408354024872337,0.1329907141661777,0.7125949877781844,2262
raw,inn1_middle,0.21135642255075843,0.07974608244306645,0.6165128673395132,4055
raw,inn1_death,0.1894865097265403,0.09996876294767269,0.5782526652479566,2666
raw,inn2_powerplay,0.15682259436252066,0.06214357462518494,0.49358557142917436,2265
raw,inn2_middle,0.10786513084069294,0.05412487411371857,0.34492340773256963,3958
raw,inn2_death,0.12430017448860178,0.05392421520586949,0.3981024107594673,1856
combined,overall,0.16844657661829493,5.239430192405205e-17,0.5025140189083734,17062
combined,innings_1,0.20573460909692018,0.046916748277426375,0.5958038668920455,8983
combined,innings_2,0.12698619838392303,0.052166499539066824,0.3987854999781438,8079
combined,inn1_powerplay,0.23970491409283776,0.08070931120640783,0.6739397815778221,2262
combined,inn1_middle,0.20267147992083526,0.029149283891171242,0.5891267043323201,4055
combined,inn1_death,0.18157112781719723,0.08090929966805707,0.5396645027361789,2666
combined,inn2_powerplay,0.1574745756136803,0.05720146840149476,0.48291274883859936,2265
combined,inn2_middle,0.11048127333219894,0.06234419506008777,0.35195770124580433,3958
combined,inn2_death,0.1249766719449811,0.061115205542306504,0.39598173312128393,1856
innings_specific,overall,0.1628052779172542,3.8589717779507036e-17,0.48769674270761687,17062
innings_specific,innings_1,0.2018385871742424,6.339938284059775e-17,0.5855803349178859,8983
innings_specific,innings_2,0.11940433509567665,5.675480989852577e-18,0.3788604623728171,8079
innings_specific,inn1_powerplay,0.23452372473324493,0.04146377251530526,0.6621097888961941,2262
innings_specific,inn1_middle,0.20070128399078546,0.01646690129047922,0.5849016228793597,4055
innings_specific,inn1_death,0.17583633032895132,0.05557905510481076,0.5216803170699077,2666
innings_specific,inn2_powerplay,0.1526183614108956,0.0335074750759342,0.47431127432954456,2265
innings_specific,inn2_middle,0.10092247496455999,0.015535965527304206,0.3249746883117726,3958
innings_specific,inn2_death,0.11828441742056288,0.02922251641937935,0.37728923643080553,1856
innings_phase,overall,0.15949820320982436,0.0,0.47682709057086103,17062
innings_phase,innings_1,0.19858802945334758,2.591869598705367e-17,0.5762156778431896,8983
innings_phase,innings_2,0.11603441943143977,1.3756685686208947e-17,0.36631741369657833,8079
innings_phase,inn1_powerplay,0.23060203841837273,1.0820011749717762e-16,0.6521895873888768,2262
innings_phase,inn1_middle,0.19905202988583623,2.7594723327844133e-17,0.5792232802810368,4055
innings_phase,inn1_death,0.1707196085858951,7.621851803526604e-17,0.5071801147232293,2666
innings_phase,inn2_powerplay,0.14850460930987197,6.455468977621772e-17,0.45959526417921354,2265
innings_phase,inn2_middle,0.09900417357482974,7.897506128934129e-17,0.31430307100018995,3958
innings_phase,inn2_death,0.11272662472552038,1.399742390960596e-17,0.363407088830811,1856
brier_optimized,overall,0.15101539487881127,0.0,0.4506984546618526,17062
brier_optimized,innings_1,0.1905927618127279,4.7829935492589956e-18,0.5539293092970633,8983
brier_optimized,innings_2,0.10700951702667942,0.0,0.33591657977782013,8079
brier_optimized,inn1_powerplay,0.2241796860988456,1.2417613847487383e-17,0.6357250891060408,2262
brier_optimized,inn1_middle,0.18861361215248085,4.627070065638754e-18,0.5492890029528543,4055
brier_optimized,inn1_death,0.16510582600518992,1.3742445541121592e-18,0.49158661923624575,2666
brier_optimized,inn2_powerplay,0.1383142820461582,1.7204780646509047e-17,0.4257744892229169,2265
brier_optimized,inn2_middle,0.09035832239795856,6.7881246073594715e-18,0.2852212502095505,3958
brier_optimized,inn2_death,0.10431562455435058,1.944086654111939e-17,0.33436698362376166,1856
ece_optimized,overall,0.1626900810535507,0.0054076998646128294,0.4895408694148539,17062
ece_optimized,innings_1,0.20201300471869696,0.009814851775445794,0.5874428183017574,8983
ece_optimized,innings_2,0.11896711740903913,0.006604118125714004,0.3806841783824177,8079
ece_optimized,inn1_powerplay,0.23423597990218628,0.012361022638413424,0.6611126215290289,2262
ece_optimized,inn1_middle,0.20202805462419599,0.022588143976453152,0.5889129213580554,4055
ece_optimized,inn1_death,0.17465014004058318,0.017296590587517674,0.5227007467363496,2666
ece_optimized,inn2_powerplay,0.15155299675355952,0.010096915198305351,0.47263930986704344,2265
ece_optimized,inn2_middle,0.10138994447211759,0.01023170923775259,0.3278846302413503,3958
ece_optimized,inn2_death,0.11668448474147272,0.019439325809914317,0.3810625397669369,1856
logloss_optimized,overall,0.16681112034418447,0.027086696609535294,0.5037187588285409,17062
logloss_optimized,innings_1,0.20690966055517854,0.034395219358837804,0.6020143416947668,8983
logloss_optimized,innings_2,0.12222575251210621,0.029635310576499325,0.39442438812829267,8079
logloss_optimized,inn1_powerplay,0.23513934335531148,0.011446157870377935,0.6629585443846906,2262
logloss_optimized,inn1_middle,0.2059946365109051,0.045849457461755665,0.5993475153150507,4055
logloss_optimized,inn1_death,0.18434960054228589,0.07106284348996857,0.5543617514791399,2666
logloss_optimized,inn2_powerplay,0.1540143272080216,0.03518988607502468,0.47913765091600335,2265
logloss_optimized,inn2_middle,0.10461945095039048,0.04176297677352662,0.3465043720143137,3958
logloss_optimized,inn2_death,0.120978241679683,0.03673286180336058,0.39323467022148456,1856
resource_win_prob,overall,0.16251151366996977,0.030176461298302572,0.48985139516778864,17062
resource_win_prob,innings_1,0.1965925122115711,0.04940620388059936,0.5757902936876264,8983
resource_win_prob,innings_2,0.12461702055210802,0.03644531569105027,0.39429636046006467,8079
resource_win_prob,inn1_powerplay,0.23328630199354497,0.040595992931920205,0.6585993294483444,2262
resource_win_prob,inn1_middle,0.1944106134023001,0.045467167686454424,0.5717945308442831,4055
resource_win_prob,inn1_death,0.16877790125311987,0.0824508449778716,0.5116075402889065,2666
resource_win_prob,inn2_powerplay,0.14015327126718177,0.06958871404409209,0.4327995544621825,2265
resource_win_prob,inn2_middle,0.107950286620035,0.04140082595539362,0.33497885906221636,3958
resource_win_prob,inn2_death,0.14119963102274544,0.12238436041064975,0.47380548552358126,1856
